game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801149""",2018-2019 Regular Season,2019-03-31,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801149""",2018-2019 Regular Season,2019-03-31,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,0,0,00:12:00,00:00:00,00:00:00,4,SAS,jump ball,,Willie Cauley-Stein,LaMarcus Aldridge,,,,,,,LaMarcus Aldridge,,DeMar DeRozan,,,,jump ball,,,,,,Jump Ball Aldridge vs. Cauley-Stein: Tip to DeRozan
"=""0021801149""",2018-2019 Regular Season,2019-03-31,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,0,2,00:11:38,00:00:22,00:00:22,7,SAS,shot,Bryn Forbes,,,,,,,,,LaMarcus Aldridge,2,,,made,,Jump Shot,17,-158,60,9.2,83.0,Aldridge 17' Jump Shot (2 PTS) (Forbes 1 AST)
"=""0021801149""",2018-2019 Regular Season,2019-03-31,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,0,2,00:11:23,00:00:37,00:00:15,8,SAC,miss,,,,,,,,,,Willie Cauley-Stein,0,,,missed,,Hook Bank Shot,6,8,55,24.2,10.5,MISS Cauley-Stein 6' Hook Bank Shot
"=""0021801149""",2018-2019 Regular Season,2019-03-31,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,0,2,00:11:18,00:00:42,00:00:05,9,SAS,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,rebound defensive,,,,,,Aldridge REBOUND (Off:0 Def:1)
"=""0021801149""",2018-2019 Regular Season,2019-03-31,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,0,2,00:11:05,00:00:55,00:00:13,10,SAS,miss,,,,,,,,,,Derrick White,0,,,missed,,Jump Shot,24,-239,18,1.1,87.2,MISS White 24' 3PT Jump Shot
"=""0021801149""",2018-2019 Regular Season,2019-03-31,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,0,2,00:11:03,00:00:57,00:00:02,11,SAC,rebound,,,,,,,,,,Buddy Hield,,,,,,rebound defensive,,,,,,Hield REBOUND (Off:0 Def:1)
"=""0021801149""",2018-2019 Regular Season,2019-03-31,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,0,2,00:10:42,00:01:18,00:00:21,13,SAC,miss,,,,,,,,,,De'Aaron Fox,0,,,missed,,Step Back Jump Shot,26,106,234,14.4,28.4,MISS Fox 26' 3PT Step Back Jump Shot
"=""0021801149""",2018-2019 Regular Season,2019-03-31,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,0,2,00:10:35,00:01:25,00:00:07,14,SAC,rebound,,,,,,,,,,Nemanja Bjelica,,,,,,rebound offensive,,,,,,Bjelica REBOUND (Off:1 Def:0)
"=""0021801149""",2018-2019 Regular Season,2019-03-31,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,2,2,00:10:35,00:01:25,00:00:00,15,SAC,shot,,,,,,,,,,Nemanja Bjelica,2,,,made,,unknown,1,0,-6,25.0,4.4,Bjelica 1' Tip Layup Shot (2 PTS)
"=""0021801149""",2018-2019 Regular Season,2019-03-31,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,2,4,00:10:27,00:01:33,00:00:08,16,SAS,shot,DeMar DeRozan,,,,,,,,,LaMarcus Aldridge,2,,,made,,Jump Shot,21,-66,204,18.4,68.6,Aldridge 21' Jump Shot (4 PTS) (DeRozan 1 AST)
"=""0021801149""",2018-2019 Regular Season,2019-03-31,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,2,4,00:10:19,00:01:41,00:00:08,18,SAC,miss,,,,,,,,,,Harrison Barnes,0,,,missed,,Jump Shot,27,116,245,13.4,29.5,MISS Barnes 27' 3PT Jump Shot
"=""0021801149""",2018-2019 Regular Season,2019-03-31,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,2,4,00:10:14,00:01:46,00:00:05,19,SAS,rebound,,,,,,,,,,Bryn Forbes,,,,,,rebound defensive,,,,,,Forbes REBOUND (Off:0 Def:1)
