game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801151""",2018-2019 Regular Season,2019-03-31,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Tyler Dorsey,Delon Wright,Patrick Beverley,Danilo Gallinari,Ivica Zubac,Landry Shamet,Shai Gilgeous-Alexander,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801151""",2018-2019 Regular Season,2019-03-31,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Tyler Dorsey,Delon Wright,Patrick Beverley,Danilo Gallinari,Ivica Zubac,Landry Shamet,Shai Gilgeous-Alexander,1,0,0,00:12:00,00:00:00,00:00:00,4,LAC,jump ball,,Jonas Valanciunas,Ivica Zubac,,,,,,,Ivica Zubac,,Shai Gilgeous-Alexander,,,,jump ball,,,,,,Jump Ball Zubac vs. Valanciunas: Tip to Gilgeous-Alexander
"=""0021801151""",2018-2019 Regular Season,2019-03-31,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Tyler Dorsey,Delon Wright,Patrick Beverley,Danilo Gallinari,Ivica Zubac,Landry Shamet,Shai Gilgeous-Alexander,1,0,0,00:11:43,00:00:17,00:00:17,7,LAC,miss,,,,,,,,,,Shai Gilgeous-Alexander,0,,,missed,,Jump Shot,18,-57,172,19.3,71.8,MISS Gilgeous-Alexander 18' Jump Shot
"=""0021801151""",2018-2019 Regular Season,2019-03-31,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Tyler Dorsey,Delon Wright,Patrick Beverley,Danilo Gallinari,Ivica Zubac,Landry Shamet,Shai Gilgeous-Alexander,1,0,0,00:11:38,00:00:22,00:00:05,8,MEM,rebound,,,,,,,,,,Delon Wright,,,,,,rebound defensive,,,,,,Wright REBOUND (Off:0 Def:1)
"=""0021801151""",2018-2019 Regular Season,2019-03-31,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Tyler Dorsey,Delon Wright,Patrick Beverley,Danilo Gallinari,Ivica Zubac,Landry Shamet,Shai Gilgeous-Alexander,1,2,0,00:11:23,00:00:37,00:00:15,9,MEM,shot,,,,,,,,,,Jonas Valanciunas,2,,,made,,Driving Hook Shot,5,13,44,23.7,9.4,Valanciunas 5' Driving Hook Shot (2 PTS)
"=""0021801151""",2018-2019 Regular Season,2019-03-31,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Tyler Dorsey,Delon Wright,Patrick Beverley,Danilo Gallinari,Ivica Zubac,Landry Shamet,Shai Gilgeous-Alexander,1,2,0,00:11:09,00:00:51,00:00:14,10,LAC,turnover,,,,,,,,,,Ivica Zubac,,,lost ball ,,Delon Wright,lost ball ,,,,,,"Wright STEAL (1 STL), Zubac Lost Ball Turnover (P1.T1)"
"=""0021801151""",2018-2019 Regular Season,2019-03-31,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Tyler Dorsey,Delon Wright,Patrick Beverley,Danilo Gallinari,Ivica Zubac,Landry Shamet,Shai Gilgeous-Alexander,1,2,0,00:11:05,00:00:55,00:00:04,12,MEM,turnover,,,,,,,,,,Delon Wright,,,lost ball ,,Shai Gilgeous-Alexander,lost ball ,,,,,,"Wright Lost Ball Turnover (P1.T1), Gilgeous-Alexander STEAL (1 STL)"
"=""0021801151""",2018-2019 Regular Season,2019-03-31,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Tyler Dorsey,Delon Wright,Patrick Beverley,Danilo Gallinari,Ivica Zubac,Landry Shamet,Shai Gilgeous-Alexander,1,2,2,00:10:52,00:01:08,00:00:13,14,LAC,shot,Patrick Beverley,,,,,,,,,Danilo Gallinari,2,,,made,,unknown,1,1,13,25.1,87.7,Gallinari 1' Cutting Layup Shot (2 PTS) (Beverley 1 AST)
"=""0021801151""",2018-2019 Regular Season,2019-03-31,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Tyler Dorsey,Delon Wright,Patrick Beverley,Danilo Gallinari,Ivica Zubac,Landry Shamet,Shai Gilgeous-Alexander,1,2,2,00:10:36,00:01:24,00:00:16,16,MEM,miss,,,,,,,,,,Tyler Dorsey,0,,,missed,,Jump Shot,18,38,181,21.2,23.1,MISS Dorsey 18' Jump Shot
"=""0021801151""",2018-2019 Regular Season,2019-03-31,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Tyler Dorsey,Delon Wright,Patrick Beverley,Danilo Gallinari,Ivica Zubac,Landry Shamet,Shai Gilgeous-Alexander,1,2,2,00:10:34,00:01:26,00:00:02,17,LAC,rebound,,,,,,,,,,Danilo Gallinari,,,,,,rebound defensive,,,,,,Gallinari REBOUND (Off:0 Def:1)
"=""0021801151""",2018-2019 Regular Season,2019-03-31,Justin Holiday,Bruno Caboclo,Jonas Valanciunas,Tyler Dorsey,Delon Wright,Patrick Beverley,Danilo Gallinari,Ivica Zubac,Landry Shamet,Shai Gilgeous-Alexander,1,2,2,00:10:25,00:01:35,00:00:09,18,MEM,foul,,,,,,,,Danilo Gallinari,,Bruno Caboclo,,,s.foul,,,s.foul,,,,,,Caboclo S.FOUL (P1.T1) (M.Smith)
