game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801153""",2018-2019 Regular Season,2019-04-01,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801153""",2018-2019 Regular Season,2019-04-01,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,1,0,0,00:12:00,00:00:00,00:00:00,4,BOS,jump ball,,Bam Adebayo,Aron Baynes,,,,,,,Aron Baynes,,Al Horford,,,,jump ball,,,,,,Jump Ball Baynes vs. Adebayo: Tip to Horford
"=""0021801153""",2018-2019 Regular Season,2019-04-01,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,1,0,0,00:11:42,00:00:18,00:00:18,7,BOS,miss,,,,,,,,,,Jayson Tatum,0,,,missed,,Jump Shot,23,230,-3,48.0,89.3,MISS Tatum  3PT Jump Shot
"=""0021801153""",2018-2019 Regular Season,2019-04-01,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,1,0,0,00:11:40,00:00:20,00:00:02,8,MIA,rebound,,,,,,,,,,Derrick Jones Jr.,,,,,,rebound defensive,,,,,,Jones Jr. REBOUND (Off:0 Def:1)
"=""0021801153""",2018-2019 Regular Season,2019-04-01,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,1,0,0,00:11:24,00:00:36,00:00:16,9,MIA,miss,,,,,,,,,,Kelly Olynyk,0,,,missed,,Jump Shot,25,-185,174,43.5,22.4,MISS Olynyk 25' 3PT Jump Shot
"=""0021801153""",2018-2019 Regular Season,2019-04-01,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,1,0,0,00:11:22,00:00:38,00:00:02,10,BOS,rebound,,,,,,,,,,Kyrie Irving,,,,,,rebound defensive,,,,,,Irving REBOUND (Off:0 Def:1)
"=""0021801153""",2018-2019 Regular Season,2019-04-01,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,1,0,0,00:11:07,00:00:53,00:00:15,11,BOS,miss,,,,,,,,,,Jayson Tatum,0,,,missed,,Pullup Jump Shot,20,154,131,40.4,75.9,MISS Tatum 20' Pullup Jump Shot
"=""0021801153""",2018-2019 Regular Season,2019-04-01,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,1,0,0,00:11:05,00:00:55,00:00:02,12,BOS,rebound,,,,,,,,,,Marcus Smart,,,,,,rebound offensive,,,,,,Smart REBOUND (Off:1 Def:0)
"=""0021801153""",2018-2019 Regular Season,2019-04-01,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,1,0,2,00:11:05,00:00:55,00:00:00,13,BOS,shot,,,,,,,,,,Marcus Smart,2,,,made,,unknown,1,0,-6,25.0,89.6,Smart 1' Tip Layup Shot (2 PTS)
"=""0021801153""",2018-2019 Regular Season,2019-04-01,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,1,2,2,00:10:48,00:01:12,00:00:17,14,MIA,shot,Goran Dragic,,,,,,,,,Bam Adebayo,2,,,made,,Alley Oop Layup,1,-2,8,25.2,5.8,Adebayo 1' Alley Oop Layup (2 PTS) (Dragic 1 AST)
"=""0021801153""",2018-2019 Regular Season,2019-04-01,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,1,2,2,00:10:35,00:01:25,00:00:13,16,BOS,miss,,,,,,,,,,Kyrie Irving,0,,,missed,,Turnaround Fadeaway ,13,129,0,37.9,89.0,MISS Irving 13' Turnaround Fadeaway Shot
"=""0021801153""",2018-2019 Regular Season,2019-04-01,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,1,2,2,00:10:34,00:01:26,00:00:01,17,MIA,rebound,,,,,,,,,,Bam Adebayo,,,,,,rebound defensive,,,,,,Adebayo REBOUND (Off:0 Def:1)
"=""0021801153""",2018-2019 Regular Season,2019-04-01,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,1,2,2,00:10:21,00:01:39,00:00:13,18,MIA,miss,,,,,,,,,,Derrick Jones Jr.,0,,,missed,,Jump Shot,23,-231,-5,48.1,4.5,MISS Jones Jr.  3PT Jump Shot
"=""0021801153""",2018-2019 Regular Season,2019-04-01,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,1,2,2,00:10:19,00:01:41,00:00:02,19,MIA,rebound,,,,,,,,,,Bam Adebayo,,,,,,rebound offensive,,,,,,Adebayo REBOUND (Off:1 Def:1)
"=""0021801153""",2018-2019 Regular Season,2019-04-01,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,1,2,2,00:10:10,00:01:50,00:00:09,20,MIA,miss,,,,,,,,,,Bam Adebayo,0,,,missed,,unknown,10,-82,63,33.2,11.3,MISS Adebayo 10' Driving Floating Jump Shot
"=""0021801153""",2018-2019 Regular Season,2019-04-01,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,1,2,2,00:10:06,00:01:54,00:00:04,21,BOS,rebound,,,,,,,,,,Kyrie Irving,,,,,,rebound defensive,,,,,,Irving REBOUND (Off:0 Def:2)
"=""0021801153""",2018-2019 Regular Season,2019-04-01,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,1,2,2,00:10:01,00:01:59,00:00:05,22,BOS,miss,,,,,,,,,,Marcus Smart,0,,,missed,,Jump Shot,25,206,138,45.6,75.2,MISS Smart 25' 3PT Jump Shot
"=""0021801153""",2018-2019 Regular Season,2019-04-01,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,1,2,2,00:09:58,00:02:02,00:00:03,23,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Heat Rebound
"=""0021801153""",2018-2019 Regular Season,2019-04-01,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,1,2,2,00:09:58,00:02:02,00:00:00,24,BOS,foul,,,,,,,,Derrick Jones Jr.,,Aron Baynes,,,l.b.foul,,,l.b.foul,,,,,,Baynes L.B.FOUL (P1.T1) (B.Barnaky)
"=""0021801153""",2018-2019 Regular Season,2019-04-01,Derrick Jones Jr.,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Jayson Tatum,Al Horford,Aron Baynes,Marcus Smart,Kyrie Irving,1,2,2,00:09:50,00:02:10,00:00:08,26,MIA,miss,,,,,,,,,,Bam Adebayo,0,,,missed,,Jump Shot,18,94,153,15.6,20.3,MISS Adebayo 18' Jump Shot
