game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801155""",2018-2019 Regular Season,2019-04-01,Timothe Luwawu-Cabarrot,Wayne Selden,Robin Lopez,Shaquille Harrison,Walter Lemon Jr.,Kevin Knox,Luke Kornet,Mitchell Robinson,Damyean Dotson,Emmanuel Mudiay,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801155""",2018-2019 Regular Season,2019-04-01,Timothe Luwawu-Cabarrot,Wayne Selden,Robin Lopez,Shaquille Harrison,Walter Lemon Jr.,Kevin Knox,Luke Kornet,Mitchell Robinson,Damyean Dotson,Emmanuel Mudiay,1,0,0,00:12:00,00:00:00,00:00:00,4,CHI,jump ball,,Robin Lopez,Mitchell Robinson,,,,,,,Mitchell Robinson,,Wayne Selden,,,,jump ball,,,,,,Jump Ball Robinson vs. Lopez: Tip to Selden
"=""0021801155""",2018-2019 Regular Season,2019-04-01,Timothe Luwawu-Cabarrot,Wayne Selden,Robin Lopez,Shaquille Harrison,Walter Lemon Jr.,Kevin Knox,Luke Kornet,Mitchell Robinson,Damyean Dotson,Emmanuel Mudiay,1,2,0,00:11:44,00:00:16,00:00:16,7,CHI,shot,Walter Lemon Jr.,,,,,,,,,Shaquille Harrison,2,,,made,,unknown,1,2,8,24.8,5.8,Harrison 1' Driving Layup (2 PTS) (Lemon Jr. 1 AST)
"=""0021801155""",2018-2019 Regular Season,2019-04-01,Timothe Luwawu-Cabarrot,Wayne Selden,Robin Lopez,Shaquille Harrison,Walter Lemon Jr.,Kevin Knox,Luke Kornet,Mitchell Robinson,Damyean Dotson,Emmanuel Mudiay,1,2,2,00:11:31,00:00:29,00:00:13,9,NYK,shot,,,,,,,,,,Kevin Knox,2,,,made,,unknown,2,9,13,25.9,87.7,Knox 2' Driving Layup (2 PTS)
"=""0021801155""",2018-2019 Regular Season,2019-04-01,Timothe Luwawu-Cabarrot,Wayne Selden,Robin Lopez,Shaquille Harrison,Walter Lemon Jr.,Kevin Knox,Luke Kornet,Mitchell Robinson,Damyean Dotson,Emmanuel Mudiay,1,2,2,00:11:26,00:00:34,00:00:05,10,CHI,turnover,,,,,,,,,,Timothe Luwawu-Cabarrot,,,bad pass ,,Damyean Dotson,bad pass ,,,,,,"Luwawu-Cabarrot Bad Pass Turnover (P1.T1), Dotson STEAL (1 STL)"
"=""0021801155""",2018-2019 Regular Season,2019-04-01,Timothe Luwawu-Cabarrot,Wayne Selden,Robin Lopez,Shaquille Harrison,Walter Lemon Jr.,Kevin Knox,Luke Kornet,Mitchell Robinson,Damyean Dotson,Emmanuel Mudiay,1,2,5,00:11:21,00:00:39,00:00:05,12,NYK,shot,Mitchell Robinson,,,,,,,,,Emmanuel Mudiay,3,,,made,,Jump Shot,26,125,230,37.5,66.0,Mudiay 26' 3PT Jump Shot (3 PTS) (Robinson 1 AST)
"=""0021801155""",2018-2019 Regular Season,2019-04-01,Timothe Luwawu-Cabarrot,Wayne Selden,Robin Lopez,Shaquille Harrison,Walter Lemon Jr.,Kevin Knox,Luke Kornet,Mitchell Robinson,Damyean Dotson,Emmanuel Mudiay,1,4,5,00:10:58,00:01:02,00:00:23,14,CHI,shot,Timothe Luwawu-Cabarrot,,,,,,,,,Robin Lopez,2,,,made,,Layup,2,-17,2,26.7,5.2,Lopez 2' Layup (2 PTS) (Luwawu-Cabarrot 1 AST)
"=""0021801155""",2018-2019 Regular Season,2019-04-01,Timothe Luwawu-Cabarrot,Wayne Selden,Robin Lopez,Shaquille Harrison,Walter Lemon Jr.,Kevin Knox,Luke Kornet,Mitchell Robinson,Damyean Dotson,Emmanuel Mudiay,1,4,7,00:10:42,00:01:18,00:00:16,16,NYK,shot,,,,,,,,,,Emmanuel Mudiay,2,,,made,,Turnaround Jump Shot,17,-106,127,14.4,76.3,Mudiay 17' Turnaround Jump Shot (5 PTS)
"=""0021801155""",2018-2019 Regular Season,2019-04-01,Timothe Luwawu-Cabarrot,Wayne Selden,Robin Lopez,Shaquille Harrison,Walter Lemon Jr.,Kevin Knox,Luke Kornet,Mitchell Robinson,Damyean Dotson,Emmanuel Mudiay,1,4,7,00:10:23,00:01:37,00:00:19,17,CHI,miss,,,,,,,,,,Shaquille Harrison,0,,,missed,,Floating Jump Shot,9,-6,88,25.6,13.8,MISS Harrison 9' Floating Jump Shot
"=""0021801155""",2018-2019 Regular Season,2019-04-01,Timothe Luwawu-Cabarrot,Wayne Selden,Robin Lopez,Shaquille Harrison,Walter Lemon Jr.,Kevin Knox,Luke Kornet,Mitchell Robinson,Damyean Dotson,Emmanuel Mudiay,1,4,7,00:10:21,00:01:39,00:00:02,18,CHI,rebound,,,,,,,,,,Robin Lopez,,,,,,rebound offensive,,,,,,Lopez REBOUND (Off:1 Def:0)
