game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801158""",2018-2019 Regular Season,2019-04-01,James Ennis III,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Justin Jackson,Dirk Nowitzki,Dwight Powell,Courtney Lee,Jalen Brunson,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801158""",2018-2019 Regular Season,2019-04-01,James Ennis III,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Justin Jackson,Dirk Nowitzki,Dwight Powell,Courtney Lee,Jalen Brunson,1,0,0,00:12:00,00:00:00,00:00:00,4,PHI,jump ball,,Jonah Bolden,Dwight Powell,,,,,,,Dwight Powell,,JJ Redick,,,,jump ball,,,,,,Jump Ball Powell vs. Bolden: Tip to Redick
"=""0021801158""",2018-2019 Regular Season,2019-04-01,James Ennis III,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Justin Jackson,Dirk Nowitzki,Dwight Powell,Courtney Lee,Jalen Brunson,1,0,0,00:11:51,00:00:09,00:00:09,7,PHI,miss,,,,,,,,,,Jonah Bolden,0,,,missed,,Jump Shot,24,-167,177,41.7,22.7,MISS Bolden 24' 3PT Jump Shot
"=""0021801158""",2018-2019 Regular Season,2019-04-01,James Ennis III,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Justin Jackson,Dirk Nowitzki,Dwight Powell,Courtney Lee,Jalen Brunson,1,0,0,00:11:48,00:00:12,00:00:03,8,DAL,rebound,,,,,,,,,,Courtney Lee,,,,,,rebound defensive,,,,,,Lee REBOUND (Off:0 Def:1)
"=""0021801158""",2018-2019 Regular Season,2019-04-01,James Ennis III,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Justin Jackson,Dirk Nowitzki,Dwight Powell,Courtney Lee,Jalen Brunson,1,0,0,00:11:38,00:00:22,00:00:10,9,DAL,miss,,,,,,,,,,Dirk Nowitzki,0,,,missed,,Turnaround Jump Shot,21,-138,158,11.2,73.2,MISS Nowitzki 21' Turnaround Jump Shot
"=""0021801158""",2018-2019 Regular Season,2019-04-01,James Ennis III,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Justin Jackson,Dirk Nowitzki,Dwight Powell,Courtney Lee,Jalen Brunson,1,0,0,00:11:36,00:00:24,00:00:02,10,PHI,rebound,,,,,,,,,,Jonah Bolden,,,,,,rebound defensive,,,,,,Bolden REBOUND (Off:0 Def:1)
"=""0021801158""",2018-2019 Regular Season,2019-04-01,James Ennis III,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Justin Jackson,Dirk Nowitzki,Dwight Powell,Courtney Lee,Jalen Brunson,1,0,0,00:11:30,00:00:30,00:00:06,11,PHI,miss,,,,,,,,,,James Ennis III,0,,,missed,,Jump Shot,23,226,51,2.4,10.1,MISS Ennis III  3PT Jump Shot
"=""0021801158""",2018-2019 Regular Season,2019-04-01,James Ennis III,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Justin Jackson,Dirk Nowitzki,Dwight Powell,Courtney Lee,Jalen Brunson,1,0,0,00:11:27,00:00:33,00:00:03,12,DAL,rebound,,,,,,,,,,Justin Jackson,,,,,,rebound defensive,,,,,,Jackson REBOUND (Off:0 Def:1)
"=""0021801158""",2018-2019 Regular Season,2019-04-01,James Ennis III,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Justin Jackson,Dirk Nowitzki,Dwight Powell,Courtney Lee,Jalen Brunson,1,0,2,00:11:10,00:00:50,00:00:17,14,DAL,shot,Jalen Brunson,,,,,,,,,Dwight Powell,2,,,made,,Alley Oop Layup,3,-29,4,22.1,88.6,Powell 3' Alley Oop Layup (2 PTS) (Brunson 1 AST)
"=""0021801158""",2018-2019 Regular Season,2019-04-01,James Ennis III,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Justin Jackson,Dirk Nowitzki,Dwight Powell,Courtney Lee,Jalen Brunson,1,0,2,00:11:00,00:01:00,00:00:10,16,PHI,miss,,,,,,,,,,Ben Simmons,0,,,missed,,unknown,3,-33,-2,28.3,4.8,MISS Simmons 3' Driving Layup
"=""0021801158""",2018-2019 Regular Season,2019-04-01,James Ennis III,Tobias Harris,Jonah Bolden,JJ Redick,Ben Simmons,Justin Jackson,Dirk Nowitzki,Dwight Powell,Courtney Lee,Jalen Brunson,1,0,2,00:10:58,00:01:02,00:00:02,17,DAL,rebound,,,,,,,,,,Courtney Lee,,,,,,rebound defensive,,,,,,Lee REBOUND (Off:0 Def:2)
