game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801159""",2018-2019 Regular Season,2019-04-01,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Joe Ingles,Jae Crowder,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801159""",2018-2019 Regular Season,2019-04-01,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Joe Ingles,Jae Crowder,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,4,UTA,jump ball,,Bismack Biyombo,Rudy Gobert,,,,,,,Rudy Gobert,,Jae Crowder,,,,jump ball,,,,,,Jump Ball Gobert vs. Biyombo: Tip to Crowder
"=""0021801159""",2018-2019 Regular Season,2019-04-01,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Joe Ingles,Jae Crowder,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,2,00:11:37,00:00:23,00:00:23,7,UTA,shot,,,,,,,,,,Ricky Rubio,2,,,made,,Fadeaway Jumper,10,-99,18,15.1,87.2,Rubio 10' Fadeaway Jumper (2 PTS)
"=""0021801159""",2018-2019 Regular Season,2019-04-01,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Joe Ingles,Jae Crowder,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,2,00:11:11,00:00:49,00:00:26,8,CHA,miss,,,,,,,,,,Kemba Walker,0,,,missed,,unknown,2,-22,9,27.2,5.9,MISS Walker 2' Driving Layup
"=""0021801159""",2018-2019 Regular Season,2019-04-01,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Joe Ingles,Jae Crowder,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,2,00:11:09,00:00:51,00:00:02,9,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Hornets Rebound
"=""0021801159""",2018-2019 Regular Season,2019-04-01,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Joe Ingles,Jae Crowder,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,2,00:11:09,00:00:51,00:00:00,11,UTA,violation,,,,,,,,,,Donovan Mitchell,,,,,,violation:kicked ball,,,,,,Mitchell Violation:Kicked Ball (E.Dalen)
"=""0021801159""",2018-2019 Regular Season,2019-04-01,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Joe Ingles,Jae Crowder,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,2,00:11:02,00:00:58,00:00:07,12,UTA,foul,,,,,,,,Dwayne Bacon,,Donovan Mitchell,,,l.b.foul,,,l.b.foul,,,,,,Mitchell L.B.FOUL (P1.T1) (M.Lindsay)
"=""0021801159""",2018-2019 Regular Season,2019-04-01,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Joe Ingles,Jae Crowder,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,2,00:10:49,00:01:11,00:00:13,14,CHA,miss,,,,,,,,,,Bismack Biyombo,0,,,missed,,Jump Shot,18,-100,153,35.0,20.3,MISS Biyombo 18' Jump Shot
"=""0021801159""",2018-2019 Regular Season,2019-04-01,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Joe Ingles,Jae Crowder,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,2,00:10:45,00:01:15,00:00:04,15,UTA,rebound,,,,,,,,,,Jae Crowder,,,,,,rebound defensive,,,,,,Crowder REBOUND (Off:0 Def:1)
"=""0021801159""",2018-2019 Regular Season,2019-04-01,Miles Bridges,Marvin Williams,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Joe Ingles,Jae Crowder,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,4,00:10:38,00:01:22,00:00:07,16,UTA,shot,Joe Ingles,,,,,,,,,Rudy Gobert,2,,,made,,unknown,2,-19,8,23.1,88.2,Gobert 2' Cutting Layup Shot (2 PTS) (Ingles 1 AST)
