game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801160""",2018-2019 Regular Season,2019-04-01,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Brandon Knight,Collin Sexton,Mikal Bridges,Dragan Bender,Richaun Holmes,Devin Booker,Elie Okobo,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801160""",2018-2019 Regular Season,2019-04-01,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Brandon Knight,Collin Sexton,Mikal Bridges,Dragan Bender,Richaun Holmes,Devin Booker,Elie Okobo,1,0,0,00:12:00,00:00:00,00:00:00,4,CLE,jump ball,,Larry Nance Jr.,Richaun Holmes,,,,,,,Richaun Holmes,,Cedi Osman,,,,jump ball,,,,,,Jump Ball Holmes vs. Nance Jr.: Tip to Osman
"=""0021801160""",2018-2019 Regular Season,2019-04-01,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Brandon Knight,Collin Sexton,Mikal Bridges,Dragan Bender,Richaun Holmes,Devin Booker,Elie Okobo,1,0,0,00:11:41,00:00:19,00:00:19,7,PHX,foul,,,,,,,,Tristan Thompson,,Elie Okobo,,,p.foul,,,p.foul,,,,,,Okobo P.FOUL (P1.T1) (M.Ayotte)
"=""0021801160""",2018-2019 Regular Season,2019-04-01,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Brandon Knight,Collin Sexton,Mikal Bridges,Dragan Bender,Richaun Holmes,Devin Booker,Elie Okobo,1,0,0,00:11:35,00:00:25,00:00:06,9,CLE,miss,,,,,,,,,,Collin Sexton,0,,,missed,,Pullup Jump Shot,16,33,153,21.7,20.3,MISS Sexton 16' Pullup Jump Shot
"=""0021801160""",2018-2019 Regular Season,2019-04-01,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Brandon Knight,Collin Sexton,Mikal Bridges,Dragan Bender,Richaun Holmes,Devin Booker,Elie Okobo,1,0,0,00:11:32,00:00:28,00:00:03,10,PHX,rebound,,,,,,,,,,Richaun Holmes,,,,,,rebound defensive,,,,,,Holmes REBOUND (Off:0 Def:1)
"=""0021801160""",2018-2019 Regular Season,2019-04-01,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Brandon Knight,Collin Sexton,Mikal Bridges,Dragan Bender,Richaun Holmes,Devin Booker,Elie Okobo,1,0,0,00:11:18,00:00:42,00:00:14,11,PHX,miss,,,,,,,,,,Dragan Bender,0,,,missed,,Jump Shot,23,-231,-21,1.9,91.1,MISS Bender  3PT Jump Shot
"=""0021801160""",2018-2019 Regular Season,2019-04-01,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Brandon Knight,Collin Sexton,Mikal Bridges,Dragan Bender,Richaun Holmes,Devin Booker,Elie Okobo,1,0,0,00:11:15,00:00:45,00:00:03,12,CLE,rebound,,,,,,,,,,Tristan Thompson,,,,,,rebound defensive,,,,,,Thompson REBOUND (Off:0 Def:1)
"=""0021801160""",2018-2019 Regular Season,2019-04-01,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Brandon Knight,Collin Sexton,Mikal Bridges,Dragan Bender,Richaun Holmes,Devin Booker,Elie Okobo,1,0,0,00:10:58,00:01:02,00:00:17,13,CLE,miss,,,,,,,,,,Tristan Thompson,0,,,missed,,Turnaround Hook Shot,7,67,21,18.3,7.1,MISS Thompson 7' Turnaround Hook Shot
"=""0021801160""",2018-2019 Regular Season,2019-04-01,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Brandon Knight,Collin Sexton,Mikal Bridges,Dragan Bender,Richaun Holmes,Devin Booker,Elie Okobo,1,0,0,00:10:56,00:01:04,00:00:02,14,PHX,rebound,,,,,,,,,,Dragan Bender,,,,,,rebound defensive,,,,,,Bender REBOUND (Off:0 Def:1)
"=""0021801160""",2018-2019 Regular Season,2019-04-01,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Brandon Knight,Collin Sexton,Mikal Bridges,Dragan Bender,Richaun Holmes,Devin Booker,Elie Okobo,1,0,2,00:10:43,00:01:17,00:00:13,15,PHX,shot,Devin Booker,,,,,,,,,Dragan Bender,2,,,made,,Driving Finger Roll Layup,0,3,1,25.3,88.9,Bender  Driving Finger Roll Layup (2 PTS) (Booker 1 AST)
"=""0021801160""",2018-2019 Regular Season,2019-04-01,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Brandon Knight,Collin Sexton,Mikal Bridges,Dragan Bender,Richaun Holmes,Devin Booker,Elie Okobo,1,0,2,00:10:16,00:01:44,00:00:27,17,CLE,miss,,,,,,,,,,Larry Nance Jr.,0,,,missed,,Fadeaway Jumper,21,69,196,18.1,24.6,MISS Nance Jr. 21' Fadeaway Jumper
"=""0021801160""",2018-2019 Regular Season,2019-04-01,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Brandon Knight,Collin Sexton,Mikal Bridges,Dragan Bender,Richaun Holmes,Devin Booker,Elie Okobo,1,0,2,00:10:14,00:01:46,00:00:02,18,PHX,rebound,,,,,,,,,,Mikal Bridges,,,,,,rebound defensive,,,,,,Bridges REBOUND (Off:0 Def:1)
