game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801161""",2018-2019 Regular Season,2019-04-02,Lance Stephenson,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801161""",2018-2019 Regular Season,2019-04-02,Lance Stephenson,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,0,00:12:00,00:00:00,00:00:00,4,LAL,jump ball,,JaVale McGee,Steven Adams,,,,,,,Steven Adams,,Moritz Wagner,,,,jump ball,,,,,,Jump Ball Adams vs. McGee: Tip to Wagner
"=""0021801161""",2018-2019 Regular Season,2019-04-02,Lance Stephenson,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,0,00:11:45,00:00:15,00:00:15,7,LAL,turnover,,,,,,,,,,Rajon Rondo,,,bad pass ,,Terrance Ferguson,bad pass ,,,,,,"Rondo Bad Pass Turnover (P1.T1), Ferguson STEAL (1 STL)"
"=""0021801161""",2018-2019 Regular Season,2019-04-02,Lance Stephenson,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,0,00:11:39,00:00:21,00:00:06,9,OKC,miss,,,,,,,,,,Russell Westbrook,0,,,missed,,Running Layup,2,-14,-6,23.6,89.6,MISS Westbrook 2' Running Layup
"=""0021801161""",2018-2019 Regular Season,2019-04-02,Lance Stephenson,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,0,00:11:37,00:00:23,00:00:02,10,LAL,rebound,,,,,,,,,,Kentavious Caldwell-Pope,,,,,,rebound defensive,,,,,,Caldwell-Pope REBOUND (Off:0 Def:1)
"=""0021801161""",2018-2019 Regular Season,2019-04-02,Lance Stephenson,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,0,00:11:29,00:00:31,00:00:08,11,LAL,miss,,,,,,,,,,Lance Stephenson,0,,,missed,,Turnaround Jump Shot,12,101,64,14.9,11.4,MISS Stephenson 12' Turnaround Jump Shot
"=""0021801161""",2018-2019 Regular Season,2019-04-02,Lance Stephenson,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,0,00:11:27,00:00:33,00:00:02,12,OKC,rebound,,,,,,,,,,Russell Westbrook,,,,,,rebound defensive,,,,,,Westbrook REBOUND (Off:0 Def:1)
"=""0021801161""",2018-2019 Regular Season,2019-04-02,Lance Stephenson,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,0,2,00:11:23,00:00:37,00:00:04,13,OKC,shot,Russell Westbrook,,,,,,,,,Terrance Ferguson,2,,,made,,unknown,1,13,3,26.3,88.7,Ferguson 1' Cutting Layup Shot (2 PTS) (Westbrook 1 AST)
"=""0021801161""",2018-2019 Regular Season,2019-04-02,Lance Stephenson,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,3,2,00:11:10,00:00:50,00:00:13,15,LAL,shot,Lance Stephenson,,,,,,,,,Moritz Wagner,3,,,made,,Jump Shot,26,-120,226,37.0,27.6,Wagner 26' 3PT Jump Shot (3 PTS) (Stephenson 1 AST)
"=""0021801161""",2018-2019 Regular Season,2019-04-02,Lance Stephenson,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,3,4,00:10:52,00:01:08,00:00:18,17,OKC,shot,Paul George,,,,,,,,,Jerami Grant,2,,,made,,unknown,1,6,1,25.6,88.9,Grant 1' Driving Layup (2 PTS) (George 1 AST)
"=""0021801161""",2018-2019 Regular Season,2019-04-02,Lance Stephenson,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,3,4,00:10:31,00:01:29,00:00:21,19,LAL,turnover,,,,,,,,,,Rajon Rondo,,,,,,unknown,,,,,,Rondo Out of Bounds - Bad Pass Turnover Turnover (P2.T2)
"=""0021801161""",2018-2019 Regular Season,2019-04-02,Lance Stephenson,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,3,4,00:10:14,00:01:46,00:00:17,20,OKC,miss,,,,Moritz Wagner,,,,,,Steven Adams,0,,,missed,,Layup,2,9,14,25.9,87.6,"Wagner BLOCK (1 BLK), MISS Adams 2' Layup"
"=""0021801161""",2018-2019 Regular Season,2019-04-02,Lance Stephenson,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,3,4,00:10:14,00:01:46,00:00:00,22,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,THUNDER Rebound
"=""0021801161""",2018-2019 Regular Season,2019-04-02,Lance Stephenson,Moritz Wagner,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,1,3,6,00:10:11,00:01:49,00:00:03,24,OKC,shot,Russell Westbrook,,,,,,,,,Paul George,2,,,made,,unknown,1,-4,-5,24.6,89.5,George 1' Driving Dunk (2 PTS) (Westbrook 2 AST)
