game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801162""",2018-2019 Regular Season,2019-04-02,Justin Anderson,Vince Carter,Alex Len,Kevin Huerter,Trae Young,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801162""",2018-2019 Regular Season,2019-04-02,Justin Anderson,Vince Carter,Alex Len,Kevin Huerter,Trae Young,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,0,0,00:12:00,00:00:00,00:00:00,4,SAS,jump ball,,Alex Len,LaMarcus Aldridge,,,,,,,LaMarcus Aldridge,,Rudy Gay,,,,jump ball,,,,,,Jump Ball Aldridge vs. Len: Tip to Gay
"=""0021801162""",2018-2019 Regular Season,2019-04-02,Justin Anderson,Vince Carter,Alex Len,Kevin Huerter,Trae Young,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,0,2,00:11:49,00:00:11,00:00:11,7,SAS,shot,,,,,,,,,,Bryn Forbes,2,,,made,,Pullup Jump Shot,20,-22,196,22.8,69.4,Forbes 20' Pullup Jump Shot (2 PTS)
"=""0021801162""",2018-2019 Regular Season,2019-04-02,Justin Anderson,Vince Carter,Alex Len,Kevin Huerter,Trae Young,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,2,2,00:11:34,00:00:26,00:00:15,8,ATL,shot,,,,,,,,,,Trae Young,2,,,made,,unknown,10,82,53,16.8,10.3,Young 10' Driving Floating Jump Shot (2 PTS)
"=""0021801162""",2018-2019 Regular Season,2019-04-02,Justin Anderson,Vince Carter,Alex Len,Kevin Huerter,Trae Young,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,2,4,00:11:23,00:00:37,00:00:11,9,SAS,shot,,,,,,,,,,DeMar DeRozan,2,,,made,,Pullup Jump Shot,16,-36,158,21.4,73.2,DeRozan 16' Pullup Jump Shot (2 PTS)
"=""0021801162""",2018-2019 Regular Season,2019-04-02,Justin Anderson,Vince Carter,Alex Len,Kevin Huerter,Trae Young,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,4,4,00:11:06,00:00:54,00:00:17,10,ATL,shot,,,,,,,,,,Vince Carter,2,,,made,,Turnaround Jump Shot,11,-70,90,32.0,14.0,Carter 11' Turnaround Jump Shot (2 PTS)
"=""0021801162""",2018-2019 Regular Season,2019-04-02,Justin Anderson,Vince Carter,Alex Len,Kevin Huerter,Trae Young,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,4,6,00:10:51,00:01:09,00:00:15,11,SAS,shot,Bryn Forbes,,,,,,,,,Rudy Gay,2,,,made,,Jump Shot,16,131,86,38.1,80.4,Gay 16' Jump Shot (2 PTS) (Forbes 1 AST)
"=""0021801162""",2018-2019 Regular Season,2019-04-02,Justin Anderson,Vince Carter,Alex Len,Kevin Huerter,Trae Young,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,4,6,00:10:34,00:01:26,00:00:17,13,SAS,foul,,,,,,,,Vince Carter,,Bryn Forbes,,,p.foul,,,p.foul,,,,,,Forbes P.FOUL (P1.T1) (D.Taylor)
"=""0021801162""",2018-2019 Regular Season,2019-04-02,Justin Anderson,Vince Carter,Alex Len,Kevin Huerter,Trae Young,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,6,6,00:10:22,00:01:38,00:00:12,15,ATL,shot,Vince Carter,,,,,,,,,Alex Len,2,,,made,,Dunk,1,-11,-1,26.1,4.9,Len 1' Dunk (2 PTS) (Carter 1 AST)
"=""0021801162""",2018-2019 Regular Season,2019-04-02,Justin Anderson,Vince Carter,Alex Len,Kevin Huerter,Trae Young,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,6,6,00:09:57,00:02:03,00:00:25,17,SAS,turnover,,,,,,,,,,Rudy Gay,,,bad pass ,,Justin Anderson,bad pass ,,,,,,"Anderson STEAL (1 STL), Gay Bad Pass Turnover (P1.T1)"
"=""0021801162""",2018-2019 Regular Season,2019-04-02,Justin Anderson,Vince Carter,Alex Len,Kevin Huerter,Trae Young,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,6,6,00:09:45,00:02:15,00:00:12,19,ATL,miss,,,,,,,,,,Trae Young,0,,,missed,,Pullup Jump Shot,33,-30,327,28.0,37.7,MISS Young 33' 3PT Pullup Jump Shot
"=""0021801162""",2018-2019 Regular Season,2019-04-02,Justin Anderson,Vince Carter,Alex Len,Kevin Huerter,Trae Young,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,6,6,00:09:45,00:02:15,00:00:00,20,SAS,rebound,,,,,,,,,,LaMarcus Aldridge,,,,,,rebound defensive,,,,,,Aldridge REBOUND (Off:0 Def:1)
"=""0021801162""",2018-2019 Regular Season,2019-04-02,Justin Anderson,Vince Carter,Alex Len,Kevin Huerter,Trae Young,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,6,6,00:09:37,00:02:23,00:00:08,21,ATL,foul,,,,,,,,DeMar DeRozan,,Justin Anderson,,,s.foul,,,s.foul,,,,,,Anderson S.FOUL (P1.T1) (C.Washington)
"=""0021801162""",2018-2019 Regular Season,2019-04-02,Justin Anderson,Vince Carter,Alex Len,Kevin Huerter,Trae Young,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,6,7,00:09:37,00:02:23,00:00:00,23,SAS,free throw,,,,,,,1,,2,DeMar DeRozan,1,,,made,,Free Throw 1 of 2,,,,,,DeRozan Free Throw 1 of 2 (3 PTS)
"=""0021801162""",2018-2019 Regular Season,2019-04-02,Justin Anderson,Vince Carter,Alex Len,Kevin Huerter,Trae Young,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,6,8,00:09:37,00:02:23,00:00:00,24,SAS,free throw,,,,,,,2,,2,DeMar DeRozan,1,,,made,,Free Throw 2 of 2,,,,,,DeRozan Free Throw 2 of 2 (4 PTS)
"=""0021801162""",2018-2019 Regular Season,2019-04-02,Justin Anderson,Vince Carter,Alex Len,Kevin Huerter,Trae Young,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,9,8,00:09:27,00:02:33,00:00:10,25,ATL,shot,Trae Young,,,,,,,,,Alex Len,3,,,made,,Jump Shot,25,-47,246,29.7,29.6,Len 25' 3PT Jump Shot (5 PTS) (Young 1 AST)
"=""0021801162""",2018-2019 Regular Season,2019-04-02,Justin Anderson,Vince Carter,Alex Len,Kevin Huerter,Trae Young,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,9,8,00:09:10,00:02:50,00:00:17,27,SAS,miss,,,,,,,,,,Bryn Forbes,0,,,missed,,unknown,8,2,76,25.2,81.4,MISS Forbes 8' Driving Floating Jump Shot
"=""0021801162""",2018-2019 Regular Season,2019-04-02,Justin Anderson,Vince Carter,Alex Len,Kevin Huerter,Trae Young,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,9,8,00:09:08,00:02:52,00:00:02,28,ATL,rebound,,,,,,,,,,Justin Anderson,,,,,,rebound defensive,,,,,,Anderson REBOUND (Off:0 Def:1)
"=""0021801162""",2018-2019 Regular Season,2019-04-02,Justin Anderson,Vince Carter,Alex Len,Kevin Huerter,Trae Young,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,9,8,00:09:00,00:03:00,00:00:08,29,ATL,miss,,,,,,,,,,Trae Young,0,,,missed,,Driving Finger Roll Layup,1,1,8,24.9,5.8,MISS Young 1' Driving Finger Roll Layup
"=""0021801162""",2018-2019 Regular Season,2019-04-02,Justin Anderson,Vince Carter,Alex Len,Kevin Huerter,Trae Young,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,9,8,00:08:58,00:03:02,00:00:02,30,SAS,rebound,,,,,,,,,,DeMar DeRozan,,,,,,rebound defensive,,,,,,DeRozan REBOUND (Off:0 Def:1)
"=""0021801162""",2018-2019 Regular Season,2019-04-02,Justin Anderson,Vince Carter,Alex Len,Kevin Huerter,Trae Young,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,9,10,00:08:44,00:03:16,00:00:14,31,SAS,shot,Rudy Gay,,,,,,,,,Derrick White,2,,,made,,Driving Finger Roll Layup,2,0,16,25.0,87.4,White 2' Driving Finger Roll Layup (2 PTS) (Gay 1 AST)
"=""0021801162""",2018-2019 Regular Season,2019-04-02,Justin Anderson,Vince Carter,Alex Len,Kevin Huerter,Trae Young,DeMar DeRozan,Rudy Gay,LaMarcus Aldridge,Bryn Forbes,Derrick White,1,11,10,00:08:20,00:03:40,00:00:24,33,ATL,shot,,,,,,,,,,Kevin Huerter,2,,,made,,Step Back Jump Shot,19,-87,164,33.7,21.4,Huerter 19' Step Back Jump Shot (2 PTS)
