game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801167""",2018-2019 Regular Season,2019-04-03,Timothe Luwawu-Cabarrot,Wayne Selden,Robin Lopez,Shaquille Harrison,Walter Lemon Jr.,Troy Brown Jr.,Bobby Portis,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801167""",2018-2019 Regular Season,2019-04-03,Timothe Luwawu-Cabarrot,Wayne Selden,Robin Lopez,Shaquille Harrison,Walter Lemon Jr.,Troy Brown Jr.,Bobby Portis,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,0,00:12:00,00:00:00,00:00:00,4,WAS,jump ball,,Robin Lopez,Thomas Bryant,,,,,,,Thomas Bryant,,Bobby Portis,,,,jump ball,,,,,,Jump Ball Bryant vs. Lopez: Tip to Portis
"=""0021801167""",2018-2019 Regular Season,2019-04-03,Timothe Luwawu-Cabarrot,Wayne Selden,Robin Lopez,Shaquille Harrison,Walter Lemon Jr.,Troy Brown Jr.,Bobby Portis,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,0,00:11:41,00:00:19,00:00:19,7,WAS,miss,,,,,,,,,,Bobby Portis,0,,,missed,,Layup,2,-8,20,24.2,87.0,MISS Portis 2' Layup
"=""0021801167""",2018-2019 Regular Season,2019-04-03,Timothe Luwawu-Cabarrot,Wayne Selden,Robin Lopez,Shaquille Harrison,Walter Lemon Jr.,Troy Brown Jr.,Bobby Portis,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,0,00:11:40,00:00:20,00:00:01,8,WAS,rebound,,,,,,,,,,Bobby Portis,,,,,,rebound offensive,,,,,,Portis REBOUND (Off:1 Def:0)
"=""0021801167""",2018-2019 Regular Season,2019-04-03,Timothe Luwawu-Cabarrot,Wayne Selden,Robin Lopez,Shaquille Harrison,Walter Lemon Jr.,Troy Brown Jr.,Bobby Portis,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,0,00:11:38,00:00:22,00:00:02,9,WAS,miss,,,,,,,,,,Bobby Portis,0,,,missed,,Jump Shot,17,171,10,42.1,88.0,MISS Portis 17' Jump Shot
"=""0021801167""",2018-2019 Regular Season,2019-04-03,Timothe Luwawu-Cabarrot,Wayne Selden,Robin Lopez,Shaquille Harrison,Walter Lemon Jr.,Troy Brown Jr.,Bobby Portis,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,0,00:11:35,00:00:25,00:00:03,10,CHI,rebound,,,,,,,,,,Timothe Luwawu-Cabarrot,,,,,,rebound defensive,,,,,,Luwawu-Cabarrot REBOUND (Off:0 Def:1)
"=""0021801167""",2018-2019 Regular Season,2019-04-03,Timothe Luwawu-Cabarrot,Wayne Selden,Robin Lopez,Shaquille Harrison,Walter Lemon Jr.,Troy Brown Jr.,Bobby Portis,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,0,0,00:11:20,00:00:40,00:00:15,11,WAS,foul,,,,,,,,Robin Lopez,,Bobby Portis,,,s.foul,,,s.foul,,,,,,Portis S.FOUL (P1.T1) (S.Wall)
"=""0021801167""",2018-2019 Regular Season,2019-04-03,Timothe Luwawu-Cabarrot,Wayne Selden,Robin Lopez,Shaquille Harrison,Walter Lemon Jr.,Troy Brown Jr.,Bobby Portis,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,1,0,00:11:20,00:00:40,00:00:00,13,CHI,free throw,,,,,,,1,,2,Robin Lopez,1,,,made,,Free Throw 1 of 2,,,,,,Lopez Free Throw 1 of 2 (1 PTS)
"=""0021801167""",2018-2019 Regular Season,2019-04-03,Timothe Luwawu-Cabarrot,Wayne Selden,Robin Lopez,Shaquille Harrison,Walter Lemon Jr.,Troy Brown Jr.,Bobby Portis,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,2,0,00:11:20,00:00:40,00:00:00,14,CHI,free throw,,,,,,,2,,2,Robin Lopez,1,,,made,,Free Throw 2 of 2,,,,,,Lopez Free Throw 2 of 2 (2 PTS)
"=""0021801167""",2018-2019 Regular Season,2019-04-03,Timothe Luwawu-Cabarrot,Wayne Selden,Robin Lopez,Shaquille Harrison,Walter Lemon Jr.,Troy Brown Jr.,Bobby Portis,Thomas Bryant,Bradley Beal,Tomas Satoransky,1,2,0,00:11:08,00:00:52,00:00:12,15,WAS,miss,,,,,,,,,,Tomas Satoransky,0,,,missed,,Pullup Jump Shot,18,161,83,41.1,80.7,MISS Satoransky 18' Pullup Jump Shot
