game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,0,0,00:12:00,00:00:00,00:00:00,4,CHA,jump ball,,Bismack Biyombo,Jahlil Okafor,,,,,,,Jahlil Okafor,,Michael Kidd-Gilchrist,,,,jump ball,,,,,,Jump Ball Okafor vs. Biyombo: Tip to Kidd-Gilchrist
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,2,0,00:11:43,00:00:17,00:00:17,7,CHA,shot,,,,,,,,,,Miles Bridges,2,,,made,,Layup,2,-20,-1,27.0,4.9,Bridges 2' Layup (2 PTS)
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,2,0,00:11:25,00:00:35,00:00:18,8,NOP,miss,,,,,,,,,,Elfrid Payton,0,,,missed,,Fadeaway Jumper,6,52,26,30.2,86.4,MISS Payton 6' Fadeaway Jumper
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,2,0,00:11:22,00:00:38,00:00:03,9,CHA,rebound,,,,,,,,,,Michael Kidd-Gilchrist,,,,,,rebound defensive,,,,,,Kidd-Gilchrist REBOUND (Off:0 Def:1)
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,2,0,00:11:17,00:00:43,00:00:05,10,CHA,miss,,,,Jahlil Okafor,,,,,,Michael Kidd-Gilchrist,0,,,missed,,unknown,2,-15,-2,26.5,4.8,"MISS Kidd-Gilchrist 2' Driving Layup, Okafor BLOCK (1 BLK)"
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,2,0,00:11:13,00:00:47,00:00:04,12,NOP,rebound,,,,,,,,,,Elfrid Payton,,,,,,rebound defensive,,,,,,Payton REBOUND (Off:0 Def:1)
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,2,2,00:11:09,00:00:51,00:00:04,13,NOP,shot,Ian Clark,,,,,,,,,Julius Randle,2,,,made,,unknown,1,5,5,25.5,88.5,Randle 1' Cutting Layup Shot (2 PTS) (Clark 1 AST)
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,5,2,00:10:53,00:01:07,00:00:16,15,CHA,shot,Miles Bridges,,,,,,,,,Dwayne Bacon,3,,,made,,Jump Shot,23,220,58,3.0,10.8,Bacon  3PT Jump Shot (3 PTS) (Bridges 1 AST)
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,5,2,00:10:41,00:01:19,00:00:12,17,NOP,turnover,,,,,,,,,,Elfrid Payton,,,bad pass ,,Bismack Biyombo,bad pass ,,,,,,"Biyombo STEAL (1 STL), Payton Bad Pass Turnover (P1.T1)"
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,5,2,00:10:35,00:01:25,00:00:06,19,CHA,miss,,,,,,,,,,Michael Kidd-Gilchrist,0,,,missed,,Jump Shot,25,-230,108,48.0,15.8,MISS Kidd-Gilchrist 25' 3PT Jump Shot
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,5,2,00:10:31,00:01:29,00:00:04,20,NOP,rebound,,,,,,,,,,Julius Randle,,,,,,rebound defensive,,,,,,Randle REBOUND (Off:0 Def:1)
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,5,4,00:10:16,00:01:44,00:00:15,21,NOP,shot,Elfrid Payton,,,,,,,,,Julius Randle,2,,,made,,Step Back Jump Shot,15,33,143,28.3,74.7,Randle 15' Step Back Jump Shot (4 PTS) (Payton 1 AST)
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,5,4,00:09:59,00:02:01,00:00:17,23,CHA,miss,,,,,,,,,,Dwayne Bacon,0,,,missed,,Jump Shot,24,-232,69,48.2,11.9,MISS Bacon 24' 3PT Jump Shot
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,5,4,00:09:56,00:02:04,00:00:03,24,NOP,rebound,,,,,,,,,,Jahlil Okafor,,,,,,rebound defensive,,,,,,Okafor REBOUND (Off:0 Def:1)
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,5,4,00:09:45,00:02:15,00:00:11,25,NOP,miss,,,,,,,,,,Julius Randle,0,,,missed,,Layup,4,-34,10,21.6,88.0,MISS Randle 4' Layup
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,5,4,00:09:42,00:02:18,00:00:03,26,NOP,rebound,,,,,,,,,,Kenrich Williams,,,,,,rebound offensive,,,,,,Williams REBOUND (Off:1 Def:0)
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,5,4,00:09:41,00:02:19,00:00:01,27,NOP,miss,,,,,,,,,,Elfrid Payton,0,,,missed,,Jump Shot,26,234,107,48.4,78.3,MISS Payton 26' 3PT Jump Shot
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,5,4,00:09:38,00:02:22,00:00:03,28,NOP,rebound,,,,,,,,,,Jahlil Okafor,,,,,,rebound offensive,,,,,,Okafor REBOUND (Off:1 Def:1)
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,5,6,00:09:32,00:02:28,00:00:06,29,NOP,shot,,,,,,,,,,Jahlil Okafor,2,,,made,,Turnaround Hook Shot,5,-27,46,22.3,84.4,Okafor 5' Turnaround Hook Shot (2 PTS)
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,7,6,00:09:20,00:02:40,00:00:12,30,CHA,shot,,,,,,,,,,Kemba Walker,2,,,made,,unknown,2,-18,15,26.8,6.5,Walker 2' Driving Layup (2 PTS)
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,7,6,00:09:06,00:02:54,00:00:14,31,NOP,miss,,,,,,,,,,Kenrich Williams,0,,,missed,,Jump Shot,23,-231,38,1.9,85.2,MISS Williams  3PT Jump Shot
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,7,6,00:09:03,00:02:57,00:00:03,32,CHA,rebound,,,,,,,,,,Michael Kidd-Gilchrist,,,,,,rebound defensive,,,,,,Kidd-Gilchrist REBOUND (Off:0 Def:2)
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,7,6,00:08:56,00:03:04,00:00:07,33,CHA,miss,,,,Jahlil Okafor,,,,,,Michael Kidd-Gilchrist,0,,,missed,,Layup,2,-20,0,27.0,5.0,"MISS Kidd-Gilchrist 2' Layup, Okafor BLOCK (2 BLK)"
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,7,6,00:08:53,00:03:07,00:00:03,35,NOP,rebound,,,,,,,,,,Jahlil Okafor,,,,,,rebound defensive,,,,,,Okafor REBOUND (Off:1 Def:2)
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,7,6,00:08:51,00:03:09,00:00:02,36,NOP,miss,,,,,,,,,,Ian Clark,0,,,missed,,Jump Shot,25,221,110,47.1,78.0,MISS Clark 25' 3PT Jump Shot
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,7,6,00:08:48,00:03:12,00:00:03,37,CHA,rebound,,,,,,,,,,Miles Bridges,,,,,,rebound defensive,,,,,,Bridges REBOUND (Off:0 Def:1)
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,7,6,00:08:39,00:03:21,00:00:09,38,CHA,miss,,,,,,,,,,Dwayne Bacon,0,,,missed,,unknown,2,16,-1,23.4,4.9,MISS Bacon 2' Driving Layup
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,7,6,00:08:39,00:03:21,00:00:00,39,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Hornets Rebound
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,7,6,00:08:39,00:03:21,00:00:00,40,NOP,foul,,,,,,,,Bismack Biyombo,,Jahlil Okafor,,,l.b.foul,,,l.b.foul,,,,,,Okafor L.B.FOUL (P1.T1) (L.Wood)
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,7,6,00:08:32,00:03:28,00:00:07,42,CHA,miss,,,,,,,,,,Kemba Walker,0,,,missed,,Pullup Jump Shot,19,142,122,10.8,17.2,MISS Walker 19' Pullup Jump Shot
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,7,6,00:08:29,00:03:31,00:00:03,43,NOP,rebound,,,,,,,,,,Jahlil Okafor,,,,,,rebound defensive,,,,,,Okafor REBOUND (Off:1 Def:3)
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,7,9,00:08:07,00:03:53,00:00:22,44,NOP,shot,Elfrid Payton,,,,,,,,,Kenrich Williams,3,,,made,,Jump Shot,23,230,-19,48.0,90.9,Williams  3PT Jump Shot (3 PTS) (Payton 2 AST)
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,7,9,00:07:46,00:04:14,00:00:21,46,CHA,turnover,,,,,,,,,,Kemba Walker,,,bad pass ,,Ian Clark,bad pass ,,,,,,"Walker Bad Pass Turnover (P1.T1), Clark STEAL (1 STL)"
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,7,9,00:07:42,00:04:18,00:00:04,48,NOP,miss,,,,Dwayne Bacon,,,,,,Ian Clark,0,,,missed,,Layup,2,25,0,27.5,89.0,"Bacon BLOCK (1 BLK), MISS Clark 3' Layup"
"=""0021801171""",2018-2019 Regular Season,2019-04-03,Miles Bridges,Michael Kidd-Gilchrist,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Kenrich Williams,Julius Randle,Jahlil Okafor,Ian Clark,Elfrid Payton,1,7,9,00:07:38,00:04:22,00:00:04,50,NOP,rebound,,,,,,,,,,Kenrich Williams,,,,,,rebound offensive,,,,,,Williams REBOUND (Off:2 Def:0)
