game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801172""",2018-2019 Regular Season,2019-04-03,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Justin Jackson,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801172""",2018-2019 Regular Season,2019-04-03,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Justin Jackson,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,0,00:12:00,00:00:00,00:00:00,4,MIN,jump ball,,Karl-Anthony Towns,Dwight Powell,,,,,,,Dwight Powell,,Dario Saric,,,,jump ball,,,,,,Jump Ball Powell vs. Towns: Tip to Saric
"=""0021801172""",2018-2019 Regular Season,2019-04-03,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Justin Jackson,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,0,00:11:44,00:00:16,00:00:16,7,MIN,miss,,,,,,,,,,Andrew Wiggins,0,,,missed,,Pullup Jump Shot,19,8,193,24.2,24.3,MISS Wiggins 19' Pullup Jump Shot
"=""0021801172""",2018-2019 Regular Season,2019-04-03,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Justin Jackson,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,0,00:11:42,00:00:18,00:00:02,8,DAL,rebound,,,,,,,,,,Dwight Powell,,,,,,rebound defensive,,,,,,Powell REBOUND (Off:0 Def:1)
"=""0021801172""",2018-2019 Regular Season,2019-04-03,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Justin Jackson,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,0,00:11:27,00:00:33,00:00:15,9,DAL,miss,,,,,,,,,,Dirk Nowitzki,0,,,missed,,Jump Shot,23,226,17,47.6,87.3,MISS Nowitzki  3PT Jump Shot
"=""0021801172""",2018-2019 Regular Season,2019-04-03,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Justin Jackson,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,0,00:11:24,00:00:36,00:00:03,10,MIN,rebound,,,,,,,,,,Karl-Anthony Towns,,,,,,rebound defensive,,,,,,Towns REBOUND (Off:0 Def:1)
"=""0021801172""",2018-2019 Regular Season,2019-04-03,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Justin Jackson,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,0,00:11:17,00:00:43,00:00:07,11,MIN,miss,,,,,,,,,,Josh Okogie,0,,,missed,,Pullup Jump Shot,21,122,167,12.8,21.7,MISS Okogie 21' Pullup Jump Shot
"=""0021801172""",2018-2019 Regular Season,2019-04-03,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Justin Jackson,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,0,00:11:14,00:00:46,00:00:03,12,DAL,rebound,,,,,,,,,,Jalen Brunson,,,,,,rebound defensive,,,,,,Brunson REBOUND (Off:0 Def:1)
"=""0021801172""",2018-2019 Regular Season,2019-04-03,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Justin Jackson,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,0,00:11:09,00:00:51,00:00:05,13,MIN,foul,,,,,,,,Justin Jackson,,Josh Okogie,,,s.foul,,,s.foul,,,,,,Okogie S.FOUL (P1.T1) (E.Malloy)
"=""0021801172""",2018-2019 Regular Season,2019-04-03,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,Justin Jackson,Dirk Nowitzki,Dwight Powell,Jalen Brunson,Luka Doncic,1,0,0,00:11:09,00:00:51,00:00:00,15,DAL,free throw,,,,,,,1,,2,Justin Jackson,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Jackson Free Throw 1 of 2
