game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801173""",2018-2019 Regular Season,2019-04-03,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801173""",2018-2019 Regular Season,2019-04-03,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,0,00:12:00,00:00:00,00:00:00,4,SAS,jump ball,,Jakob Poeltl,Nikola Jokic,,,,,,,Nikola Jokic,,LaMarcus Aldridge,,,,jump ball,,,,,,Jump Ball Jokic vs. Poeltl: Tip to Aldridge
"=""0021801173""",2018-2019 Regular Season,2019-04-03,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,0,00:11:47,00:00:13,00:00:13,7,SAS,miss,,,,Jamal Murray,,,,,,Derrick White,0,,,missed,,unknown,7,29,61,22.1,11.1,"MISS White 7' Driving Floating Jump Shot, Murray BLOCK (1 BLK)"
"=""0021801173""",2018-2019 Regular Season,2019-04-03,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,0,00:11:40,00:00:20,00:00:07,9,DEN,rebound,,,,,,,,,,Gary Harris,,,,,,rebound defensive,,,,,,Harris REBOUND (Off:0 Def:1)
"=""0021801173""",2018-2019 Regular Season,2019-04-03,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,3,00:11:31,00:00:29,00:00:09,10,DEN,shot,Jamal Murray,,,,,,,,,Will Barton,3,,,made,,Jump Shot,24,33,241,28.3,64.9,Barton 24' 3PT Jump Shot (3 PTS) (Murray 1 AST)
"=""0021801173""",2018-2019 Regular Season,2019-04-03,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,3,00:11:07,00:00:53,00:00:24,12,SAS,miss,,,,,,,,,,LaMarcus Aldridge,0,,,missed,,Turnaround Fadeaway ,13,-127,3,37.7,5.3,MISS Aldridge 13' Turnaround Fadeaway Shot
"=""0021801173""",2018-2019 Regular Season,2019-04-03,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,3,00:11:04,00:00:56,00:00:03,13,DEN,rebound,,,,,,,,,,Gary Harris,,,,,,rebound defensive,,,,,,Harris REBOUND (Off:0 Def:2)
"=""0021801173""",2018-2019 Regular Season,2019-04-03,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,5,00:10:57,00:01:03,00:00:07,14,DEN,shot,Nikola Jokic,,,,,,,,,Jamal Murray,2,,,made,,unknown,1,0,8,25.0,88.2,Murray 1' Cutting Dunk Shot (2 PTS) (Jokic 1 AST)
"=""0021801173""",2018-2019 Regular Season,2019-04-03,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,5,00:10:57,00:01:03,00:00:00,16,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,Spurs Timeout: Regular (Reg.1 Short 0)
"=""0021801173""",2018-2019 Regular Season,2019-04-03,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,5,00:10:57,00:01:03,00:00:00,17,,foul,,,,,,,,,,,,,foul,,,foul,,,,,,
"=""0021801173""",2018-2019 Regular Season,2019-04-03,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,5,00:10:57,00:01:03,00:00:00,18,,foul,,,,,,,,,,,,,foul,,,foul,,,,,,
"=""0021801173""",2018-2019 Regular Season,2019-04-03,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,5,00:10:57,00:01:03,00:00:00,19,,ejection,,,,,,,,,,,,,,,,Ejection:Other,,,,,,
"=""0021801173""",2018-2019 Regular Season,2019-04-03,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,1,0,5,00:10:57,00:01:03,00:00:00,20,DEN,free throw,,,,,,,1,,1,Jamal Murray,0,,,missed,,Free Throw Technical,,,,,,MISS Murray Free Throw Technical
