game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Tyler Dorsey,Delon Wright,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Tyler Dorsey,Delon Wright,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,4,POR,jump ball,,Ivan Rabb,Enes Kanter,,,,,,,Enes Kanter,,Rodney Hood,,,,jump ball,,,,,,Jump Ball Kanter vs. Rabb: Tip to Hood
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Tyler Dorsey,Delon Wright,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,0,0,00:11:39,00:00:21,00:00:21,7,POR,turnover,,,,,,,,,,Al-Farouq Aminu,,,bad pass ,,Justin Holiday,bad pass ,,,,,,"Holiday STEAL (1 STL), Aminu Bad Pass Turnover (P1.T1)"
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Tyler Dorsey,Delon Wright,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,0,0,00:11:35,00:00:25,00:00:04,9,MEM,miss,,,,,,,,,,Tyler Dorsey,0,,,missed,,Layup,1,11,6,23.9,5.6,MISS Dorsey 1' Layup
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Tyler Dorsey,Delon Wright,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,0,0,00:11:33,00:00:27,00:00:02,10,POR,rebound,,,,,,,,,,Enes Kanter,,,,,,rebound defensive,,,,,,Kanter REBOUND (Off:0 Def:1)
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Tyler Dorsey,Delon Wright,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,0,2,00:11:17,00:00:43,00:00:16,12,POR,shot,Damian Lillard,,,,,,,,,Al-Farouq Aminu,2,,,made,,unknown,1,-5,6,24.5,88.4,Aminu 1' Cutting Layup Shot (2 PTS) (Lillard 1 AST)
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Tyler Dorsey,Delon Wright,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,0,2,00:11:00,00:01:00,00:00:17,14,MEM,miss,,,,,,,,,,Justin Holiday,0,,,missed,,Pullup Jump Shot,20,158,120,9.2,17.0,MISS Holiday 20' Pullup Jump Shot
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Tyler Dorsey,Delon Wright,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,0,2,00:10:57,00:01:03,00:00:03,15,POR,rebound,,,,,,,,,,Al-Farouq Aminu,,,,,,rebound defensive,,,,,,Aminu REBOUND (Off:0 Def:1)
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Tyler Dorsey,Delon Wright,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,0,2,00:10:45,00:01:15,00:00:12,16,MEM,foul,,,,,,,,Al-Farouq Aminu,,Tyler Dorsey,,,s.foul,,,s.foul,,,,,,Dorsey S.FOUL (P1.T1) (T.Brown)
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Tyler Dorsey,Delon Wright,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,0,3,00:10:45,00:01:15,00:00:00,18,POR,free throw,,,,,,,1,,2,Al-Farouq Aminu,1,,,made,,Free Throw 1 of 2,,,,,,Aminu Free Throw 1 of 2 (3 PTS)
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Tyler Dorsey,Delon Wright,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,0,4,00:10:45,00:01:15,00:00:00,19,POR,free throw,,,,,,,2,,2,Al-Farouq Aminu,1,,,made,,Free Throw 2 of 2,,,,,,Aminu Free Throw 2 of 2 (4 PTS)
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Tyler Dorsey,Delon Wright,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,2,4,00:10:27,00:01:33,00:00:18,20,MEM,shot,Julian Washburn,,,,,,,,,Ivan Rabb,2,,,made,,Turnaround Fadeaway ,13,-19,124,26.9,17.4,Rabb 13' Turnaround Fadeaway (2 PTS) (Washburn 1 AST)
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Tyler Dorsey,Delon Wright,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,2,4,00:10:01,00:01:59,00:00:26,22,POR,turnover,,,,,,,,,,Maurice Harkless,,,bad pass ,,Tyler Dorsey,bad pass ,,,,,,"Dorsey STEAL (1 STL), Harkless Bad Pass Turnover (P1.T2)"
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Tyler Dorsey,Delon Wright,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,2,4,00:09:50,00:02:10,00:00:11,24,MEM,turnover,,,,,,,,,,Justin Holiday,,,bad pass ,,Rodney Hood,bad pass ,,,,,,"Holiday Bad Pass Turnover (P1.T1), Hood STEAL (1 STL)"
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Tyler Dorsey,Delon Wright,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,2,4,00:09:35,00:02:25,00:00:15,26,MEM,foul,,,,,,,,Maurice Harkless,,Tyler Dorsey,,,s.foul,,,s.foul,,,,,,Dorsey S.FOUL (P2.T2) (J.Capers)
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Tyler Dorsey,Delon Wright,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,2,4,00:09:35,00:02:25,00:00:00,28,POR,free throw,,,,,,,1,,2,Maurice Harkless,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Harkless Free Throw 1 of 2
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Tyler Dorsey,Delon Wright,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,2,4,00:09:35,00:02:25,00:00:00,29,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,TRAIL BLAZERS Rebound
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Delon Wright,Chandler Parsons,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,2,4,00:09:35,00:02:25,00:00:00,30,MEM,sub,,,,,Chandler Parsons,Tyler Dorsey,,,,Tyler Dorsey,,,,,,sub,,,,,,SUB: Parsons FOR Dorsey
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Delon Wright,Chandler Parsons,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,2,5,00:09:35,00:02:25,00:00:00,32,POR,free throw,,,,,,,2,,2,Maurice Harkless,1,,,made,,Free Throw 2 of 2,,,,,,Harkless Free Throw 2 of 2 (1 PTS)
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Delon Wright,Chandler Parsons,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,5,5,00:09:29,00:02:31,00:00:06,33,MEM,shot,Delon Wright,,,,,,,,,Julian Washburn,3,,,made,,Jump Shot,23,-227,10,47.7,6.0,Washburn  3PT Jump Shot (3 PTS) (Wright 1 AST)
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Delon Wright,Chandler Parsons,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,5,8,00:09:11,00:02:49,00:00:18,35,POR,shot,Maurice Harkless,,,,,,,,,Damian Lillard,3,,,made,,Jump Shot,23,-226,2,2.4,88.8,Lillard  3PT Jump Shot (3 PTS) (Harkless 1 AST)
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Delon Wright,Chandler Parsons,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,7,8,00:08:58,00:03:02,00:00:13,38,MEM,shot,Justin Holiday,,,,,,,,,Delon Wright,2,,,made,,Driving Reverse Layup,1,6,5,24.4,5.5,Wright 1' Driving Reverse Layup (2 PTS) (Holiday 1 AST)
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Delon Wright,Chandler Parsons,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,7,11,00:08:44,00:03:16,00:00:14,40,POR,shot,Damian Lillard,,,,,,,,,Rodney Hood,3,,,made,,Jump Shot,26,-183,183,6.7,70.7,Hood 26' 3PT Jump Shot (3 PTS) (Lillard 2 AST)
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Delon Wright,Chandler Parsons,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,7,11,00:08:29,00:03:31,00:00:15,42,MEM,miss,,,,,,,,,,Chandler Parsons,0,,,missed,,Pullup Jump Shot,21,100,184,15.0,23.4,MISS Parsons 21' Pullup Jump Shot
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Delon Wright,Chandler Parsons,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,7,11,00:08:26,00:03:34,00:00:03,43,POR,rebound,,,,,,,,,,Damian Lillard,,,,,,rebound defensive,,,,,,Lillard REBOUND (Off:0 Def:1)
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Delon Wright,Chandler Parsons,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,7,13,00:08:17,00:03:43,00:00:09,44,POR,shot,Maurice Harkless,,,,,,,,,Enes Kanter,2,,,made,,Driving Reverse Layup,1,8,5,25.8,88.5,Kanter 1' Driving Reverse Layup (2 PTS) (Harkless 2 AST)
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Delon Wright,Chandler Parsons,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,10,13,00:08:02,00:03:58,00:00:15,46,MEM,shot,Chandler Parsons,,,,,,,,,Delon Wright,3,,,made,,Jump Shot,23,-225,36,47.5,8.6,Wright  3PT Jump Shot (5 PTS) (Parsons 1 AST)
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Delon Wright,Chandler Parsons,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,10,13,00:07:34,00:04:26,00:00:28,48,POR,miss,,,,,,,,,,Rodney Hood,0,,,missed,,Jump Shot,25,-186,168,6.4,72.2,MISS Hood 25' 3PT Jump Shot
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Delon Wright,Chandler Parsons,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,10,13,00:07:33,00:04:27,00:00:01,49,MEM,rebound,,,,,,,,,,Ivan Rabb,,,,,,rebound defensive,,,,,,Rabb REBOUND (Off:0 Def:1)
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Delon Wright,Chandler Parsons,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,12,13,00:07:17,00:04:43,00:00:16,50,MEM,shot,Julian Washburn,,,,,,,,,Chandler Parsons,2,,,made,,unknown,2,13,14,23.7,6.4,Parsons 2' Driving Layup (2 PTS) (Washburn 2 AST)
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Delon Wright,Chandler Parsons,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,12,13,00:06:50,00:05:10,00:00:27,51,POR,miss,,,,,,,,,,Al-Farouq Aminu,0,,,missed,,Jump Shot,25,101,227,35.1,66.3,MISS Aminu 25' 3PT Jump Shot
"=""0021801175""",2018-2019 Regular Season,2019-04-03,Justin Holiday,Julian Washburn,Ivan Rabb,Delon Wright,Chandler Parsons,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,Rodney Hood,Damian Lillard,1,12,13,00:06:48,00:05:12,00:00:02,52,MEM,rebound,,,,,,,,,,Delon Wright,,,,,,rebound defensive,,,,,,Wright REBOUND (Off:0 Def:1)
