game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0021801177,2018-2019 Regular Season,4/4/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Sterling Brown,Eric Bledsoe,Tobias Harris,Mike Scott,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0021801177,2018-2019 Regular Season,4/4/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Sterling Brown,Eric Bledsoe,Tobias Harris,Mike Scott,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,0:12:00,0:00:00,0:00:00,4,MIL,jump ball,,Brook Lopez,Joel Embiid,,,,,,,Joel Embiid,,Giannis Antetokounmpo,,,,jump ball,,,,,,Jump Ball Embiid vs. Lopez: Tip to Antetokounmpo
0021801177,2018-2019 Regular Season,4/4/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Sterling Brown,Eric Bledsoe,Tobias Harris,Mike Scott,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,0:11:47,0:00:13,0:00:13,7,MIL,miss,,,,,,,,,,Brook Lopez,0,,,missed,,Jump Shot,25,-209,141,45.9,19.1,MISS Lopez 25' 3PT Jump Shot
0021801177,2018-2019 Regular Season,4/4/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Sterling Brown,Eric Bledsoe,Tobias Harris,Mike Scott,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,0:11:43,0:00:17,0:00:04,8,PHI,rebound,,,,,,,,,,Tobias Harris,,,,,,rebound defensive,,,,,,Harris REBOUND (Off:0 Def:1)
0021801177,2018-2019 Regular Season,4/4/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Sterling Brown,Eric Bledsoe,Tobias Harris,Mike Scott,Joel Embiid,JJ Redick,Ben Simmons,1,0,3,0:11:37,0:00:23,0:00:06,9,PHI,shot,Ben Simmons,,,,,,,,,JJ Redick,3,,,made,,Jump Shot,24,233,59,48.3,83.1,Redick 24' 3PT Jump Shot (3 PTS) (Simmons 1 AST)
0021801177,2018-2019 Regular Season,4/4/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Sterling Brown,Eric Bledsoe,Tobias Harris,Mike Scott,Joel Embiid,JJ Redick,Ben Simmons,1,0,3,0:11:29,0:00:31,0:00:08,11,PHI,foul,,,,,,,,Giannis Antetokounmpo,,Ben Simmons,,,s.foul,,,s.foul,,,,,,Simmons S.FOUL (P1.T1) (E.Lewis)
0021801177,2018-2019 Regular Season,4/4/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Sterling Brown,Eric Bledsoe,Tobias Harris,Mike Scott,Joel Embiid,JJ Redick,Ben Simmons,1,1,3,0:11:29,0:00:31,0:00:00,13,MIL,free throw,,,,,,,1,,2,Giannis Antetokounmpo,1,,,made,,Free Throw 1 of 2,,,,,,Antetokounmpo Free Throw 1 of 2 (1 PTS)
0021801177,2018-2019 Regular Season,4/4/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Sterling Brown,Eric Bledsoe,Tobias Harris,Mike Scott,Joel Embiid,JJ Redick,Ben Simmons,1,2,3,0:11:29,0:00:31,0:00:00,14,MIL,free throw,,,,,,,2,,2,Giannis Antetokounmpo,1,,,made,,Free Throw 2 of 2,,,,,,Antetokounmpo Free Throw 2 of 2 (2 PTS)
0021801177,2018-2019 Regular Season,4/4/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Sterling Brown,Eric Bledsoe,Tobias Harris,Mike Scott,Joel Embiid,JJ Redick,Ben Simmons,1,2,5,0:11:07,0:00:53,0:00:22,15,PHI,shot,Joel Embiid,,,,,,,,,Tobias Harris,2,,,made,,Pullup Jump Shot,5,33,33,28.3,85.7,Harris 5' Pullup Jump Shot (2 PTS) (Embiid 1 AST)
0021801177,2018-2019 Regular Season,4/4/2019,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Sterling Brown,Eric Bledsoe,Tobias Harris,Mike Scott,Joel Embiid,JJ Redick,Ben Simmons,1,5,5,0:10:53,0:01:07,0:00:14,17,MIL,shot,Sterling Brown,,,,,,,,,Khris Middleton,3,,,made,,Jump Shot,27,149,220,10.1,27,Middleton 27' 3PT Jump Shot (3 PTS) (Brown 1 AST)
