game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801184""",2018-2019 Regular Season,2019-04-05,Mario Hezonja,Lance Thomas,Mitchell Robinson,Kevin Knox,Damyean Dotson,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801184""",2018-2019 Regular Season,2019-04-05,Mario Hezonja,Lance Thomas,Mitchell Robinson,Kevin Knox,Damyean Dotson,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,1,0,0,00:12:00,00:00:00,00:00:00,4,HOU,jump ball,,Mitchell Robinson,Clint Capela,,,,,,,Clint Capela,,PJ Tucker,,,,jump ball,,,,,,Jump Ball Capela vs. Robinson: Tip to Tucker
"=""0021801184""",2018-2019 Regular Season,2019-04-05,Mario Hezonja,Lance Thomas,Mitchell Robinson,Kevin Knox,Damyean Dotson,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,1,0,3,00:11:48,00:00:12,00:00:12,7,HOU,shot,Chris Paul,,,,,,,,,PJ Tucker,3,,,made,,Jump Shot,23,228,8,47.8,88.2,Tucker  3PT Jump Shot (3 PTS) (Paul 1 AST)
"=""0021801184""",2018-2019 Regular Season,2019-04-05,Mario Hezonja,Lance Thomas,Mitchell Robinson,Kevin Knox,Damyean Dotson,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,1,2,3,00:11:23,00:00:37,00:00:25,9,NYK,shot,,,,,,,,,,Damyean Dotson,2,,,made,,Fadeaway Jumper,16,114,106,13.6,15.6,Dotson 16' Fadeaway Jumper (2 PTS)
"=""0021801184""",2018-2019 Regular Season,2019-04-05,Mario Hezonja,Lance Thomas,Mitchell Robinson,Kevin Knox,Damyean Dotson,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,1,2,5,00:11:13,00:00:47,00:00:10,10,HOU,shot,James Harden,,,,,,,,,Clint Capela,2,,,made,,unknown,1,0,-14,25.0,90.4,Capela 1' Cutting Layup Shot (2 PTS) (Harden 1 AST)
"=""0021801184""",2018-2019 Regular Season,2019-04-05,Mario Hezonja,Lance Thomas,Mitchell Robinson,Kevin Knox,Damyean Dotson,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,1,2,5,00:10:53,00:01:07,00:00:20,12,NYK,turnover,,,,,,,,,,Kevin Knox,,,lost ball ,,PJ Tucker,lost ball ,,,,,,"Knox Lost Ball Turnover (P1.T1), Tucker STEAL (1 STL)"
"=""0021801184""",2018-2019 Regular Season,2019-04-05,Mario Hezonja,Lance Thomas,Mitchell Robinson,Kevin Knox,Damyean Dotson,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,1,2,5,00:10:44,00:01:16,00:00:09,43,NYK,violation,,,,,,,,,,Mitchell Robinson,,,,,,violation:kicked ball,,,,,,Robinson Violation:Kicked Ball (.)
"=""0021801184""",2018-2019 Regular Season,2019-04-05,Mario Hezonja,Lance Thomas,Mitchell Robinson,Kevin Knox,Damyean Dotson,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,1,2,5,00:10:34,00:01:26,00:00:10,16,HOU,miss,,,,Mitchell Robinson,,,,,,Clint Capela,0,,,missed,,Hook Shot,10,-85,60,16.5,83.0,"Robinson BLOCK (1 BLK), MISS Capela 10' Hook Shot"
"=""0021801184""",2018-2019 Regular Season,2019-04-05,Mario Hezonja,Lance Thomas,Mitchell Robinson,Kevin Knox,Damyean Dotson,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,1,2,5,00:10:29,00:01:31,00:00:05,18,NYK,rebound,,,,,,,,,,Kevin Knox,,,,,,rebound defensive,,,,,,Knox REBOUND (Off:0 Def:1)
"=""0021801184""",2018-2019 Regular Season,2019-04-05,Mario Hezonja,Lance Thomas,Mitchell Robinson,Kevin Knox,Damyean Dotson,Eric Gordon,PJ Tucker,Clint Capela,James Harden,Chris Paul,1,2,5,00:10:23,00:01:37,00:00:06,19,NYK,miss,,,,,,,,,,Lance Thomas,0,,,missed,,Step Back Jump Shot,11,-106,42,35.6,9.2,MISS Thomas 11' Step Back Jump Shot
