game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801185""",2018-2019 Regular Season,2019-04-05,Justise Winslow,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801185""",2018-2019 Regular Season,2019-04-05,Justise Winslow,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,0,0,00:12:00,00:00:00,00:00:00,4,MIN,jump ball,,Bam Adebayo,Karl-Anthony Towns,,,,,,,Karl-Anthony Towns,,Dario Saric,,,,jump ball,,,,,,Jump Ball Towns vs. Adebayo: Tip to Saric
"=""0021801185""",2018-2019 Regular Season,2019-04-05,Justise Winslow,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,0,0,00:11:40,00:00:20,00:00:20,7,MIN,miss,,,,,,,,,,Tyus Jones,0,,,missed,,Pullup Jump Shot,16,-14,164,23.6,72.6,MISS Jones 16' Pullup Jump Shot
"=""0021801185""",2018-2019 Regular Season,2019-04-05,Justise Winslow,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,0,0,00:11:37,00:00:23,00:00:03,8,MIA,rebound,,,,,,,,,,Kelly Olynyk,,,,,,rebound defensive,,,,,,Olynyk REBOUND (Off:0 Def:1)
"=""0021801185""",2018-2019 Regular Season,2019-04-05,Justise Winslow,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,0,0,00:11:31,00:00:29,00:00:06,9,MIA,turnover,,,,,,,,,,Justise Winslow,,,lost ball ,,Tyus Jones,lost ball ,,,,,,"Winslow Lost Ball Turnover (P1.T1), Jones STEAL (1 STL)"
"=""0021801185""",2018-2019 Regular Season,2019-04-05,Justise Winslow,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,0,2,00:11:27,00:00:33,00:00:04,11,MIN,shot,,,,,,,,,,Tyus Jones,2,,,made,,Driving Finger Roll Layup,2,3,16,25.3,87.4,Jones 2' Driving Finger Roll Layup (2 PTS)
"=""0021801185""",2018-2019 Regular Season,2019-04-05,Justise Winslow,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,0,2,00:11:07,00:00:53,00:00:20,12,MIA,miss,,,,,,,,,,Justise Winslow,0,,,missed,,Jump Shot,23,-229,38,47.9,8.8,MISS Winslow  3PT Jump Shot
"=""0021801185""",2018-2019 Regular Season,2019-04-05,Justise Winslow,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,0,2,00:11:05,00:00:55,00:00:02,13,MIN,rebound,,,,,,,,,,Tyus Jones,,,,,,rebound defensive,,,,,,Jones REBOUND (Off:0 Def:1)
"=""0021801185""",2018-2019 Regular Season,2019-04-05,Justise Winslow,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,0,2,00:10:55,00:01:05,00:00:10,14,MIN,miss,,,,,,,,,,Andrew Wiggins,0,,,missed,,Jump Shot,26,170,193,42.0,69.7,MISS Wiggins 26' 3PT Jump Shot
"=""0021801185""",2018-2019 Regular Season,2019-04-05,Justise Winslow,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,0,2,00:10:53,00:01:07,00:00:02,15,MIA,rebound,,,,,,,,,,Kelly Olynyk,,,,,,rebound defensive,,,,,,Olynyk REBOUND (Off:0 Def:2)
"=""0021801185""",2018-2019 Regular Season,2019-04-05,Justise Winslow,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,3,2,00:10:47,00:01:13,00:00:06,16,MIA,shot,Justise Winslow,,,,,,,,,Dion Waiters,3,,,made,,Pullup Jump Shot,26,-79,249,32.9,29.9,Waiters 26' 3PT Pullup Jump Shot (3 PTS) (Winslow 1 AST)
"=""0021801185""",2018-2019 Regular Season,2019-04-05,Justise Winslow,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,3,5,00:10:27,00:01:33,00:00:20,18,MIN,shot,Dario Saric,,,,,,,,,Andrew Wiggins,3,,,made,,Jump Shot,23,230,27,48.0,86.3,Wiggins  3PT Jump Shot (3 PTS) (Saric 1 AST)
"=""0021801185""",2018-2019 Regular Season,2019-04-05,Justise Winslow,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,6,5,00:10:08,00:01:52,00:00:19,20,MIA,shot,Justise Winslow,,,,,,,,,Dion Waiters,3,,,made,,Jump Shot,25,146,207,10.4,25.7,Waiters 25' 3PT Jump Shot (6 PTS) (Winslow 2 AST)
"=""0021801185""",2018-2019 Regular Season,2019-04-05,Justise Winslow,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,6,7,00:09:56,00:02:04,00:00:12,22,MIN,shot,Karl-Anthony Towns,,,,,,,,,Andrew Wiggins,2,,,made,,unknown,2,17,15,26.7,87.5,Wiggins 2' Cutting Layup Shot (5 PTS) (Towns 1 AST)
"=""0021801185""",2018-2019 Regular Season,2019-04-05,Justise Winslow,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,6,7,00:09:56,00:02:04,00:00:00,24,MIA,foul,,,,,,,,Andrew Wiggins,,Dion Waiters,,,s.foul,,,s.foul,,,,,,Waiters S.FOUL (P1.T1) (J.Van Duyne)
"=""0021801185""",2018-2019 Regular Season,2019-04-05,Justise Winslow,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,6,8,00:09:56,00:02:04,00:00:00,26,MIN,free throw,,,,,,,1,,1,Andrew Wiggins,1,,,made,,Free Throw 1 of 1,,,,,,Wiggins Free Throw 1 of 1 (6 PTS)
"=""0021801185""",2018-2019 Regular Season,2019-04-05,Justise Winslow,Kelly Olynyk,Bam Adebayo,Dion Waiters,Goran Dragic,Andrew Wiggins,Dario Saric,Karl-Anthony Towns,Josh Okogie,Tyus Jones,1,8,8,00:09:49,00:02:11,00:00:07,27,MIA,shot,Goran Dragic,,,,,,,,,Bam Adebayo,2,,,made,,Alley Oop Dunk,2,2,22,24.8,7.2,Adebayo 2' Alley Oop Dunk (2 PTS) (Dragic 1 AST)
