game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801188""",2018-2019 Regular Season,2019-04-05,Harrison Barnes,Nemanja Bjelica,Marvin Bagley III,Buddy Hield,De'Aaron Fox,Joe Ingles,Jae Crowder,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801188""",2018-2019 Regular Season,2019-04-05,Harrison Barnes,Nemanja Bjelica,Marvin Bagley III,Buddy Hield,De'Aaron Fox,Joe Ingles,Jae Crowder,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,0,00:12:00,00:00:00,00:00:00,4,UTA,jump ball,,Marvin Bagley III,Rudy Gobert,,,,,,,Rudy Gobert,,Donovan Mitchell,,,,jump ball,,,,,,Jump Ball Gobert vs. Bagley III: Tip to Mitchell
"=""0021801188""",2018-2019 Regular Season,2019-04-05,Harrison Barnes,Nemanja Bjelica,Marvin Bagley III,Buddy Hield,De'Aaron Fox,Joe Ingles,Jae Crowder,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,2,00:11:43,00:00:17,00:00:17,7,UTA,shot,Donovan Mitchell,,,,,,,,,Rudy Gobert,2,,,made,,unknown,5,11,52,26.1,83.8,Gobert 5' Cutting Dunk Shot (2 PTS) (Mitchell 1 AST)
"=""0021801188""",2018-2019 Regular Season,2019-04-05,Harrison Barnes,Nemanja Bjelica,Marvin Bagley III,Buddy Hield,De'Aaron Fox,Joe Ingles,Jae Crowder,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,2,00:11:21,00:00:39,00:00:22,9,SAC,miss,,,,,,,,,,Nemanja Bjelica,0,,,missed,,Turnaround Hook Shot,10,12,103,23.8,15.3,MISS Bjelica 10' Turnaround Hook Shot
"=""0021801188""",2018-2019 Regular Season,2019-04-05,Harrison Barnes,Nemanja Bjelica,Marvin Bagley III,Buddy Hield,De'Aaron Fox,Joe Ingles,Jae Crowder,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,2,00:11:17,00:00:43,00:00:04,10,UTA,rebound,,,,,,,,,,Rudy Gobert,,,,,,rebound defensive,,,,,,Gobert REBOUND (Off:0 Def:1)
"=""0021801188""",2018-2019 Regular Season,2019-04-05,Harrison Barnes,Nemanja Bjelica,Marvin Bagley III,Buddy Hield,De'Aaron Fox,Joe Ingles,Jae Crowder,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,2,00:11:09,00:00:51,00:00:08,11,UTA,miss,,,,,,,,,,Rudy Gobert,0,,,missed,,Reverse Layup,2,-19,4,23.1,88.6,MISS Gobert 2' Reverse Layup
"=""0021801188""",2018-2019 Regular Season,2019-04-05,Harrison Barnes,Nemanja Bjelica,Marvin Bagley III,Buddy Hield,De'Aaron Fox,Joe Ingles,Jae Crowder,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,2,00:11:06,00:00:54,00:00:03,12,SAC,rebound,,,,,,,,,,Marvin Bagley III,,,,,,rebound defensive,,,,,,Bagley III REBOUND (Off:0 Def:1)
"=""0021801188""",2018-2019 Regular Season,2019-04-05,Harrison Barnes,Nemanja Bjelica,Marvin Bagley III,Buddy Hield,De'Aaron Fox,Joe Ingles,Jae Crowder,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,2,00:10:58,00:01:02,00:00:08,13,SAC,miss,,,,,,,,,,De'Aaron Fox,0,,,missed,,Pullup Jump Shot,7,63,36,18.7,8.6,MISS Fox 7' Pullup Jump Shot
"=""0021801188""",2018-2019 Regular Season,2019-04-05,Harrison Barnes,Nemanja Bjelica,Marvin Bagley III,Buddy Hield,De'Aaron Fox,Joe Ingles,Jae Crowder,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,2,00:10:54,00:01:06,00:00:04,14,UTA,rebound,,,,,,,,,,Ricky Rubio,,,,,,rebound defensive,,,,,,Rubio REBOUND (Off:0 Def:1)
"=""0021801188""",2018-2019 Regular Season,2019-04-05,Harrison Barnes,Nemanja Bjelica,Marvin Bagley III,Buddy Hield,De'Aaron Fox,Joe Ingles,Jae Crowder,Rudy Gobert,Donovan Mitchell,Ricky Rubio,1,0,2,00:10:44,00:01:16,00:00:10,15,SAC,foul,,,,,,,,Ricky Rubio,,De'Aaron Fox,,,p.foul,,,p.foul,,,,,,Fox P.FOUL (P1.T1) (T.Brothers)
