game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801191""",2018-2019 Regular Season,2019-04-05,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Brandon Knight,Collin Sexton,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801191""",2018-2019 Regular Season,2019-04-05,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Brandon Knight,Collin Sexton,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,7,,violation,,,,,,,,,,,,,,,,violation: delay of game violation,,,,,,
"=""0021801191""",2018-2019 Regular Season,2019-04-05,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Brandon Knight,Collin Sexton,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,4,GSW,jump ball,,Tristan Thompson,Andrew Bogut,,,,,,,Andrew Bogut,,Stephen Curry,,,,jump ball,,,,,,Jump Ball Bogut vs. Thompson: Tip to Curry
"=""0021801191""",2018-2019 Regular Season,2019-04-05,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Brandon Knight,Collin Sexton,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,3,00:11:46,00:00:14,00:00:14,8,GSW,shot,Stephen Curry,,,,,,,,,Draymond Green,3,,,made,,Jump Shot,27,88,258,33.8,63.2,Green 27' 3PT Jump Shot (3 PTS) (Curry 1 AST)
"=""0021801191""",2018-2019 Regular Season,2019-04-05,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Brandon Knight,Collin Sexton,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,3,00:11:25,00:00:35,00:00:21,10,CLE,miss,,,,,,,,,,Collin Sexton,0,,,missed,,Jump Shot,21,200,52,5.0,10.2,MISS Sexton 21' Jump Shot
"=""0021801191""",2018-2019 Regular Season,2019-04-05,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Brandon Knight,Collin Sexton,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,3,00:11:22,00:00:38,00:00:03,11,GSW,rebound,,,,,,,,,,Andrew Bogut,,,,,,rebound defensive,,,,,,Bogut REBOUND (Off:0 Def:1)
"=""0021801191""",2018-2019 Regular Season,2019-04-05,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Brandon Knight,Collin Sexton,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,6,00:11:13,00:00:47,00:00:09,12,GSW,shot,Klay Thompson,,,,,,,,,Draymond Green,3,,,made,,Jump Shot,23,231,14,48.1,87.6,Green  3PT Jump Shot (6 PTS) (Thompson 1 AST)
"=""0021801191""",2018-2019 Regular Season,2019-04-05,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Brandon Knight,Collin Sexton,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,6,00:10:46,00:01:14,00:00:27,15,CLE,miss,,,,,,,,,,Cedi Osman,0,,,missed,,Turnaround Fadeaway ,18,8,180,24.2,23.0,MISS Osman 18' Turnaround Fadeaway Shot
"=""0021801191""",2018-2019 Regular Season,2019-04-05,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Brandon Knight,Collin Sexton,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,6,00:10:45,00:01:15,00:00:01,16,GSW,rebound,,,,,,,,,,Andrew Bogut,,,,,,rebound defensive,,,,,,Bogut REBOUND (Off:0 Def:2)
"=""0021801191""",2018-2019 Regular Season,2019-04-05,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Brandon Knight,Collin Sexton,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,6,00:10:38,00:01:22,00:00:07,17,GSW,miss,,,,,,,,,,Draymond Green,0,,,missed,,Jump Shot,28,181,218,43.1,67.2,MISS Green 28' 3PT Jump Shot
"=""0021801191""",2018-2019 Regular Season,2019-04-05,Cedi Osman,Larry Nance Jr.,Tristan Thompson,Brandon Knight,Collin Sexton,Kevin Durant,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,6,00:10:36,00:01:24,00:00:02,18,CLE,rebound,,,,,,,,,,Collin Sexton,,,,,,rebound defensive,,,,,,Sexton REBOUND (Off:0 Def:1)
