game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,0,00:12:00,00:00:00,00:00:00,4,SAC,jump ball,,Jahlil Okafor,Willie Cauley-Stein,,,,,,,Willie Cauley-Stein,,Buddy Hield,,,,jump ball,,,,,,Jump Ball Cauley-Stein vs. Okafor: Tip to Hield
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,0,3,00:11:44,00:00:16,00:00:16,7,SAC,shot,Willie Cauley-Stein,,,,,,,,,Nemanja Bjelica,3,,,made,,Jump Shot,25,85,239,33.5,65.1,Bjelica 25' 3PT Jump Shot (3 PTS) (Cauley-Stein 1 AST)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,3,00:11:28,00:00:32,00:00:16,9,NOP,shot,,,,,,,,,,Elfrid Payton,2,,,made,,Floating Jump Shot,6,-49,36,29.9,8.6,Payton 6' Floating Jump Shot (2 PTS)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,3,00:11:18,00:00:42,00:00:10,10,SAC,miss,,,,Ian Clark,,,,,,De'Aaron Fox,0,,,missed,,unknown,6,17,55,26.7,83.5,"Clark BLOCK (1 BLK), MISS Fox 6' Driving Floating Jump Shot"
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,2,3,00:11:18,00:00:42,00:00:00,12,NOP,rebound,,,,,,,,,,Kenrich Williams,,,,,,rebound defensive,,,,,,Williams REBOUND (Off:0 Def:1)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,4,3,00:11:03,00:00:57,00:00:15,13,NOP,shot,Ian Clark,,,,,,,,,Jahlil Okafor,2,,,made,,Dunk,1,0,6,25.0,5.6,Okafor 1' Dunk (2 PTS) (Clark 1 AST)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,4,5,00:10:48,00:01:12,00:00:15,15,SAC,shot,,,,,,,,,,Harrison Barnes,2,,,made,,Turnaround Jump Shot,5,2,47,25.2,84.3,Barnes 5' Turnaround Jump Shot (2 PTS)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,4,5,00:10:47,00:01:13,00:00:01,16,,violation,,,,,,,,,,,,,,,,violation: delay of game violation,,,,,,
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,7,5,00:10:37,00:01:23,00:00:10,17,NOP,shot,Elfrid Payton,,,,,,,,,Ian Clark,3,,,made,,Jump Shot,26,-183,184,43.3,23.4,Clark 26' 3PT Jump Shot (3 PTS) (Payton 1 AST)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,7,5,00:10:31,00:01:29,00:00:06,19,NOP,foul,,,,,,,,Willie Cauley-Stein,,Christian Wood,,,s.foul,,,s.foul,,,,,,Wood S.FOUL (P1.T1) (L.Richardson)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,7,6,00:10:31,00:01:29,00:00:00,21,SAC,free throw,,,,,,,1,,2,Willie Cauley-Stein,1,,,made,,Free Throw 1 of 2,,,,,,Cauley-Stein Free Throw 1 of 2 (1 PTS)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,7,7,00:10:31,00:01:29,00:00:00,22,SAC,free throw,,,,,,,2,,2,Willie Cauley-Stein,1,,,made,,Free Throw 2 of 2,,,,,,Cauley-Stein Free Throw 2 of 2 (2 PTS)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,7,7,00:10:24,00:01:36,00:00:07,23,NOP,miss,,,,,,,,,,Ian Clark,0,,,missed,,Jump Shot,23,233,11,1.7,6.1,MISS Clark  3PT Jump Shot
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,7,7,00:10:21,00:01:39,00:00:03,24,SAC,rebound,,,,,,,,,,Willie Cauley-Stein,,,,,,rebound defensive,,,,,,Cauley-Stein REBOUND (Off:0 Def:1)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,7,7,00:10:18,00:01:42,00:00:03,25,SAC,miss,,,,Elfrid Payton,,,,,,Buddy Hield,0,,,missed,,Jump Shot,26,130,222,38.0,66.8,"Payton BLOCK (1 BLK), MISS Hield 26' 3PT Jump Shot"
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,7,7,00:10:15,00:01:45,00:00:03,27,SAC,rebound,,,,,,,,,,Buddy Hield,,,,,,rebound offensive,,,,,,Hield REBOUND (Off:1 Def:0)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,7,10,00:10:13,00:01:47,00:00:02,28,SAC,shot,Buddy Hield,,,,,,,,,Nemanja Bjelica,3,,,made,,Jump Shot,26,180,182,43.0,70.8,Bjelica 26' 3PT Jump Shot (6 PTS) (Hield 1 AST)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,9,10,00:10:05,00:01:55,00:00:08,30,NOP,shot,Elfrid Payton,,,,,,,,,Christian Wood,2,,,made,,Alley Oop Dunk,1,-8,10,25.8,6.0,Wood 1' Alley Oop Dunk (2 PTS) (Payton 2 AST)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,9,10,00:09:53,00:02:07,00:00:12,32,SAC,miss,,,,,,,,,,De'Aaron Fox,0,,,missed,,Jump Shot,3,-26,9,22.4,88.1,MISS Fox 3' Jump Shot
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,9,10,00:09:51,00:02:09,00:00:02,33,NOP,rebound,,,,,,,,,,Christian Wood,,,,,,rebound defensive,,,,,,Wood REBOUND (Off:0 Def:1)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,12,10,00:09:46,00:02:14,00:00:05,34,NOP,shot,Elfrid Payton,,,,,,,,,Ian Clark,3,,,made,,Jump Shot,25,216,127,3.4,17.7,Clark 25' 3PT Jump Shot (6 PTS) (Payton 3 AST)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,12,12,00:09:35,00:02:25,00:00:11,36,SAC,shot,De'Aaron Fox,,,,,,,,,Harrison Barnes,2,,,made,,Layup,2,17,16,26.7,87.4,Barnes 2' Layup (4 PTS) (Fox 1 AST)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,15,12,00:09:24,00:02:36,00:00:11,38,NOP,shot,Kenrich Williams,,,,,,,,,Jahlil Okafor,3,,,made,,Jump Shot,25,-8,252,25.8,30.2,Okafor 25' 3PT Jump Shot (5 PTS) (Williams 1 AST)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,15,14,00:09:17,00:02:43,00:00:07,40,SAC,shot,Buddy Hield,,,,,,,,,Nemanja Bjelica,2,,,made,,Layup,2,-22,3,22.8,88.7,Bjelica 2' Layup (8 PTS) (Hield 2 AST)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,15,14,00:09:09,00:02:51,00:00:08,42,NOP,turnover,,,,,,,,,,Jahlil Okafor,,,traveling ,,,traveling ,,,,,,Okafor Traveling Turnover (P1.T1)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,15,14,00:09:02,00:02:58,00:00:07,43,SAC,miss,,,,,,,,,,Buddy Hield,0,,,missed,,Jump Shot,25,-174,176,7.6,71.4,MISS Hield 25' 3PT Jump Shot
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,15,14,00:08:59,00:03:01,00:00:03,44,NOP,rebound,,,,,,,,,,Christian Wood,,,,,,rebound defensive,,,,,,Wood REBOUND (Off:0 Def:2)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,15,14,00:08:50,00:03:10,00:00:09,45,NOP,turnover,,,,,,,,,,Christian Wood,,,bad pass ,,De'Aaron Fox,bad pass ,,,,,,"Wood Bad Pass Turnover (P1.T2), Fox STEAL (1 STL)"
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,15,16,00:08:47,00:03:13,00:00:03,47,SAC,shot,,,,,,,,,,De'Aaron Fox,2,,,made,,Running Dunk,2,11,16,26.1,87.4,Fox 2' Running Dunk (2 PTS)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,18,16,00:08:37,00:03:23,00:00:10,48,NOP,shot,,,,,,,,,,Ian Clark,3,,,made,,Pullup Jump Shot,25,-202,152,45.2,20.2,Clark 25' 3PT Pullup Jump Shot (9 PTS)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,18,18,00:08:21,00:03:39,00:00:16,49,SAC,shot,De'Aaron Fox,,,,,,,,,Nemanja Bjelica,2,,,made,,Floating Jump Shot,6,-9,55,24.1,83.5,Bjelica 6' Floating Jump Shot (10 PTS) (Fox 2 AST)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,18,18,00:07:59,00:04:01,00:00:22,51,NOP,miss,,,,,,,,,,Christian Wood,0,,,missed,,unknown,4,21,28,22.9,7.8,MISS Wood 4' Cutting Layup Shot
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,18,18,00:07:56,00:04:04,00:00:03,52,NOP,rebound,,,,,,,,,,Christian Wood,,,,,,rebound offensive,,,,,,Wood REBOUND (Off:1 Def:2)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,18,18,00:07:56,00:04:04,00:00:00,53,NOP,miss,,,,,,,,,,Christian Wood,0,,,missed,,unknown,1,0,-6,25.0,4.4,MISS Wood 1' Tip Layup Shot
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,18,18,00:07:55,00:04:05,00:00:01,54,SAC,rebound,,,,,,,,,,De'Aaron Fox,,,,,,rebound defensive,,,,,,Fox REBOUND (Off:0 Def:1)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,18,18,00:07:53,00:04:07,00:00:02,55,SAC,miss,,,,,,,,,,Buddy Hield,0,,,missed,,Jump Shot,25,-217,122,3.3,76.8,MISS Hield 25' 3PT Jump Shot
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,18,18,00:07:50,00:04:10,00:00:03,56,NOP,rebound,,,,,,,,,,Kenrich Williams,,,,,,rebound defensive,,,,,,Williams REBOUND (Off:0 Def:2)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,18,18,00:07:46,00:04:14,00:00:04,57,NOP,turnover,,,,,,,,,,Kenrich Williams,,,bad pass ,,Willie Cauley-Stein,bad pass ,,,,,,"Williams Bad Pass Turnover (P1.T3), Cauley-Stein STEAL (1 STL)"
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,18,20,00:07:39,00:04:21,00:00:07,59,SAC,shot,,,,,,,,,,De'Aaron Fox,2,,,made,,unknown,2,-21,11,22.9,87.9,Fox 2' Driving Layup (4 PTS)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,18,20,00:07:39,00:04:21,00:00:00,60,NOP,foul,,,,,,,,De'Aaron Fox,,Kenrich Williams,,,s.foul,,,s.foul,,,,,,Williams S.FOUL (P1.T2) (B.Taylor)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,18,21,00:07:39,00:04:21,00:00:00,62,SAC,free throw,,,,,,,1,,1,De'Aaron Fox,1,,,made,,Free Throw 1 of 1,,,,,,Fox Free Throw 1 of 1 (5 PTS)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,18,21,00:07:25,00:04:35,00:00:14,63,NOP,miss,,,,,,,,,,Kenrich Williams,0,,,missed,,Jump Shot,25,-208,142,45.8,19.2,MISS Williams 25' 3PT Jump Shot
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,18,21,00:07:20,00:04:40,00:00:05,64,SAC,rebound,,,,,,,,,,De'Aaron Fox,,,,,,rebound defensive,,,,,,Fox REBOUND (Off:0 Def:2)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,18,23,00:07:18,00:04:42,00:00:02,65,SAC,shot,Buddy Hield,,,,,,,,,Nemanja Bjelica,2,,,made,,Alley Oop Dunk,0,3,4,25.3,88.6,Bjelica 1' Alley Oop Dunk (12 PTS) (Hield 3 AST)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,18,23,00:07:12,00:04:48,00:00:06,67,NOP,turnover,,,,,,,,,,Elfrid Payton,,,bad pass ,,De'Aaron Fox,bad pass ,,,,,,"Payton Bad Pass Turnover (P1.T4), Fox STEAL (2 STL)"
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,18,25,00:07:07,00:04:53,00:00:05,69,SAC,shot,,,,,,,,,,De'Aaron Fox,2,,,made,,Running Layup,2,-15,6,23.5,88.4,Fox 2' Running Layup (7 PTS)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,18,25,00:07:02,00:04:58,00:00:05,70,SAC,foul,,,,,,,,Elfrid Payton,,Willie Cauley-Stein,,,p.foul,,,p.foul,,,,,,Cauley-Stein P.FOUL (P1.T1) (B.Forte)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,18,25,00:07:02,00:04:58,00:00:00,72,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,Pelicans Timeout: Regular (Reg.1 Short 0)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,18,25,00:06:54,00:05:06,00:00:08,73,NOP,miss,,,,,,,,,,Elfrid Payton,0,,,missed,,Layup,9,-41,81,29.1,13.1,MISS Payton 9' Layup
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,18,25,00:06:51,00:05:09,00:00:03,74,NOP,rebound,,,,,,,,,,Jahlil Okafor,,,,,,rebound offensive,,,,,,Okafor REBOUND (Off:1 Def:0)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,18,25,00:06:51,00:05:09,00:00:00,75,SAC,foul,,,,,,,,Jahlil Okafor,,Willie Cauley-Stein,,,s.foul,,,s.foul,,,,,,Cauley-Stein S.FOUL (P2.T2) (B.Taylor)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,19,25,00:06:51,00:05:09,00:00:00,77,NOP,free throw,,,,,,,1,,2,Jahlil Okafor,1,,,made,,Free Throw 1 of 2,,,,,,Okafor Free Throw 1 of 2 (6 PTS)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,20,25,00:06:51,00:05:09,00:00:00,78,NOP,free throw,,,,,,,2,,2,Jahlil Okafor,1,,,made,,Free Throw 2 of 2,,,,,,Okafor Free Throw 2 of 2 (7 PTS)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,20,27,00:06:31,00:05:29,00:00:20,79,SAC,shot,,,,,,,,,,Harrison Barnes,2,,,made,,Turnaround Hook Shot,4,-10,40,24.0,85.0,Barnes 4' Turnaround Hook Shot (6 PTS)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,22,27,00:06:25,00:05:35,00:00:06,80,NOP,shot,,,,,,,,,,Kenrich Williams,2,,,made,,Running Layup,2,-6,15,25.6,6.5,Williams 2' Running Layup (2 PTS)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,1,22,27,00:06:21,00:05:39,00:00:04,81,SAC,turnover,,,,,,,,,,De'Aaron Fox,,,traveling ,,,traveling ,,,,,,Fox Traveling Turnover (P1.T1)
"=""0021801207""",2018-2019 Regular Season,2019-04-07,Kenrich Williams,Christian Wood,Jahlil Okafor,Ian Clark,Elfrid Payton,Harrison Barnes,Nemanja Bjelica,Buddy Hield,De'Aaron Fox,Marvin Bagley III,1,22,27,00:06:21,00:05:39,00:00:00,82,SAC,sub,,,,,Marvin Bagley III,Willie Cauley-Stein,,,,Willie Cauley-Stein,,,,,,sub,,,,,,SUB: Bagley III FOR Cauley-Stein
