game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801208""",2018-2019 Regular Season,2019-04-07,Joe Ingles,Thabo Sefolosha,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Jemerrio Jones,Mike Muscala,JaVale McGee,Kentavious Caldwell-Pope,Alex Caruso,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801208""",2018-2019 Regular Season,2019-04-07,Joe Ingles,Thabo Sefolosha,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Jemerrio Jones,Mike Muscala,JaVale McGee,Kentavious Caldwell-Pope,Alex Caruso,1,0,0,00:12:00,00:00:00,00:00:00,4,UTA,jump ball,,Rudy Gobert,JaVale McGee,,,,,,,JaVale McGee,,Donovan Mitchell,,,,jump ball,,,,,,Jump Ball McGee vs. Gobert: Tip to Mitchell
"=""0021801208""",2018-2019 Regular Season,2019-04-07,Joe Ingles,Thabo Sefolosha,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Jemerrio Jones,Mike Muscala,JaVale McGee,Kentavious Caldwell-Pope,Alex Caruso,1,2,0,00:11:45,00:00:15,00:00:15,7,UTA,shot,Joe Ingles,,,,,,,,,Thabo Sefolosha,2,,,made,,Reverse Layup,2,16,11,23.4,6.1,Sefolosha 2' Reverse Layup (2 PTS) (Ingles 1 AST)
"=""0021801208""",2018-2019 Regular Season,2019-04-07,Joe Ingles,Thabo Sefolosha,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Jemerrio Jones,Mike Muscala,JaVale McGee,Kentavious Caldwell-Pope,Alex Caruso,1,2,2,00:11:21,00:00:39,00:00:24,9,LAL,shot,,,,,,,,,,JaVale McGee,2,,,made,,Dunk,1,-6,8,24.4,88.2,McGee 1' Dunk (2 PTS)
"=""0021801208""",2018-2019 Regular Season,2019-04-07,Joe Ingles,Thabo Sefolosha,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Jemerrio Jones,Mike Muscala,JaVale McGee,Kentavious Caldwell-Pope,Alex Caruso,1,2,2,00:11:07,00:00:53,00:00:14,10,UTA,miss,,,,,,,,,,Joe Ingles,0,,,missed,,Jump Shot,25,-204,141,45.4,19.1,MISS Ingles 25' 3PT Jump Shot
"=""0021801208""",2018-2019 Regular Season,2019-04-07,Joe Ingles,Thabo Sefolosha,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Jemerrio Jones,Mike Muscala,JaVale McGee,Kentavious Caldwell-Pope,Alex Caruso,1,2,2,00:11:05,00:00:55,00:00:02,11,LAL,rebound,,,,,,,,,,Jemerrio Jones,,,,,,rebound defensive,,,,,,Jones REBOUND (Off:0 Def:1)
"=""0021801208""",2018-2019 Regular Season,2019-04-07,Joe Ingles,Thabo Sefolosha,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Jemerrio Jones,Mike Muscala,JaVale McGee,Kentavious Caldwell-Pope,Alex Caruso,1,2,2,00:10:52,00:01:08,00:00:13,12,LAL,turnover,,,,,,,,,,JaVale McGee,,,lost ball ,,Donovan Mitchell,lost ball ,,,,,,"Mitchell STEAL (1 STL), McGee Lost Ball Turnover (P1.T1)"
"=""0021801208""",2018-2019 Regular Season,2019-04-07,Joe Ingles,Thabo Sefolosha,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Jemerrio Jones,Mike Muscala,JaVale McGee,Kentavious Caldwell-Pope,Alex Caruso,1,4,2,00:10:47,00:01:13,00:00:05,14,UTA,shot,,,,,,,,,,Donovan Mitchell,2,,,made,,Running Finger Roll Layup,1,2,13,24.8,6.3,Mitchell 1' Running Finger Roll Layup (2 PTS)
"=""0021801208""",2018-2019 Regular Season,2019-04-07,Joe Ingles,Thabo Sefolosha,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Jemerrio Jones,Mike Muscala,JaVale McGee,Kentavious Caldwell-Pope,Alex Caruso,1,4,2,00:10:27,00:01:33,00:00:20,15,LAL,miss,,,,,,,,,,Kentavious Caldwell-Pope,0,,,missed,,Jump Shot,26,-192,178,5.8,71.2,MISS Caldwell-Pope 26' 3PT Jump Shot
"=""0021801208""",2018-2019 Regular Season,2019-04-07,Joe Ingles,Thabo Sefolosha,Rudy Gobert,Royce O'Neale,Donovan Mitchell,Jemerrio Jones,Mike Muscala,JaVale McGee,Kentavious Caldwell-Pope,Alex Caruso,1,4,2,00:10:24,00:01:36,00:00:03,16,LAL,rebound,,,,,,,,,,Mike Muscala,,,,,,rebound offensive,,,,,,Muscala REBOUND (Off:1 Def:0)
