game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801209""",2018-2019 Regular Season,2019-04-09,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Cedi Osman,Larry Nance Jr.,Ante Zizic,Brandon Knight,Collin Sexton,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801209""",2018-2019 Regular Season,2019-04-09,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Cedi Osman,Larry Nance Jr.,Ante Zizic,Brandon Knight,Collin Sexton,1,0,0,00:12:00,00:00:00,00:00:00,4,CHA,jump ball,,Bismack Biyombo,Larry Nance Jr.,,,,,,,Larry Nance Jr.,,Kemba Walker,,,,jump ball,,,,,,Jump Ball Nance Jr. vs. Biyombo: Tip to Walker
"=""0021801209""",2018-2019 Regular Season,2019-04-09,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Cedi Osman,Larry Nance Jr.,Ante Zizic,Brandon Knight,Collin Sexton,1,0,0,00:11:38,00:00:22,00:00:22,7,CHA,turnover,,,,,,,,,,Miles Bridges,,,lost ball ,,Cedi Osman,lost ball ,,,,,,"Bridges Lost Ball Turnover (P1.T1), Osman STEAL (1 STL)"
"=""0021801209""",2018-2019 Regular Season,2019-04-09,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Cedi Osman,Larry Nance Jr.,Ante Zizic,Brandon Knight,Collin Sexton,1,0,2,00:11:22,00:00:38,00:00:16,9,CLE,shot,Collin Sexton,,,,,,,,,Ante Zizic,2,,,made,,Turnaround Jump Shot,10,-34,95,21.6,79.5,Zizic 10' Turnaround Jump Shot (2 PTS) (Sexton 1 AST)
"=""0021801209""",2018-2019 Regular Season,2019-04-09,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Cedi Osman,Larry Nance Jr.,Ante Zizic,Brandon Knight,Collin Sexton,1,3,2,00:11:04,00:00:56,00:00:18,11,CHA,shot,Kemba Walker,,,,,,,,,Dwayne Bacon,3,,,made,,Jump Shot,24,-231,57,48.1,10.7,Bacon 24' 3PT Jump Shot (3 PTS) (Walker 1 AST)
"=""0021801209""",2018-2019 Regular Season,2019-04-09,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Cedi Osman,Larry Nance Jr.,Ante Zizic,Brandon Knight,Collin Sexton,1,3,2,00:10:45,00:01:15,00:00:19,13,CLE,miss,,,,,,,,,,Cedi Osman,0,,,missed,,unknown,1,4,-6,25.4,89.6,MISS Osman 1' Driving Layup
"=""0021801209""",2018-2019 Regular Season,2019-04-09,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Cedi Osman,Larry Nance Jr.,Ante Zizic,Brandon Knight,Collin Sexton,1,3,2,00:10:42,00:01:18,00:00:03,14,CHA,rebound,,,,,,,,,,Miles Bridges,,,,,,rebound defensive,,,,,,Bridges REBOUND (Off:0 Def:1)
"=""0021801209""",2018-2019 Regular Season,2019-04-09,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Cedi Osman,Larry Nance Jr.,Ante Zizic,Brandon Knight,Collin Sexton,1,3,2,00:10:37,00:01:23,00:00:05,15,CHA,miss,,,,,,,,,,Dwayne Bacon,0,,,missed,,Jump Shot,31,177,258,7.3,30.8,MISS Bacon 31' 3PT Jump Shot
"=""0021801209""",2018-2019 Regular Season,2019-04-09,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Cedi Osman,Larry Nance Jr.,Ante Zizic,Brandon Knight,Collin Sexton,1,3,2,00:10:34,00:01:26,00:00:03,16,CLE,rebound,,,,,,,,,,Brandon Knight,,,,,,rebound defensive,,,,,,Knight REBOUND (Off:0 Def:1)
"=""0021801209""",2018-2019 Regular Season,2019-04-09,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Cedi Osman,Larry Nance Jr.,Ante Zizic,Brandon Knight,Collin Sexton,1,3,5,00:10:19,00:01:41,00:00:15,17,CLE,shot,Collin Sexton,,,,,,,,,Brandon Knight,3,,,made,,Jump Shot,30,-120,274,13.0,61.6,Knight 30' 3PT Jump Shot (3 PTS) (Sexton 2 AST)
"=""0021801209""",2018-2019 Regular Season,2019-04-09,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Cedi Osman,Larry Nance Jr.,Ante Zizic,Brandon Knight,Collin Sexton,1,3,5,00:10:05,00:01:55,00:00:14,20,CLE,foul,,,,,,,,Bismack Biyombo,,Ante Zizic,,,s.foul,,,s.foul,,,,,,Zizic S.FOUL (P1.T1) (J.Goldenberg)
"=""0021801209""",2018-2019 Regular Season,2019-04-09,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Cedi Osman,Larry Nance Jr.,Ante Zizic,Brandon Knight,Collin Sexton,1,4,5,00:10:05,00:01:55,00:00:00,22,CHA,free throw,,,,,,,1,,2,Bismack Biyombo,1,,,made,,Free Throw 1 of 2,,,,,,Biyombo Free Throw 1 of 2 (1 PTS)
"=""0021801209""",2018-2019 Regular Season,2019-04-09,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Cedi Osman,Larry Nance Jr.,Ante Zizic,Brandon Knight,Collin Sexton,1,4,5,00:10:05,00:01:55,00:00:00,23,CHA,free throw,,,,,,,2,,2,Bismack Biyombo,0,,,missed,,Free Throw 2 of 2,,,,,,MISS Biyombo Free Throw 2 of 2
"=""0021801209""",2018-2019 Regular Season,2019-04-09,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Cedi Osman,Larry Nance Jr.,Ante Zizic,Brandon Knight,Collin Sexton,1,4,5,00:10:02,00:01:58,00:00:03,24,CLE,rebound,,,,,,,,,,Cedi Osman,,,,,,rebound defensive,,,,,,Osman REBOUND (Off:0 Def:1)
"=""0021801209""",2018-2019 Regular Season,2019-04-09,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Cedi Osman,Larry Nance Jr.,Ante Zizic,Brandon Knight,Collin Sexton,1,4,5,00:09:48,00:02:12,00:00:14,25,CLE,miss,,,,Nicolas Batum,,,,,,Cedi Osman,0,,,missed,,unknown,7,38,53,28.8,83.7,"Batum BLOCK (1 BLK), MISS Osman 7' Driving Floating Jump Shot"
"=""0021801209""",2018-2019 Regular Season,2019-04-09,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Cedi Osman,Larry Nance Jr.,Ante Zizic,Brandon Knight,Collin Sexton,1,4,5,00:09:44,00:02:16,00:00:04,27,CLE,rebound,,,,,,,,,,Ante Zizic,,,,,,rebound offensive,,,,,,Zizic REBOUND (Off:1 Def:0)
"=""0021801209""",2018-2019 Regular Season,2019-04-09,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Cedi Osman,Larry Nance Jr.,Ante Zizic,Brandon Knight,Collin Sexton,1,4,5,00:09:43,00:02:17,00:00:01,28,CLE,miss,,,,,,,,,,Ante Zizic,0,,,missed,,Putback Layup,2,0,15,25.0,87.5,MISS Zizic 2' Putback Layup
"=""0021801209""",2018-2019 Regular Season,2019-04-09,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Cedi Osman,Larry Nance Jr.,Ante Zizic,Brandon Knight,Collin Sexton,1,4,5,00:09:40,00:02:20,00:00:03,29,CHA,rebound,,,,,,,,,,Bismack Biyombo,,,,,,rebound defensive,,,,,,Biyombo REBOUND (Off:0 Def:1)
"=""0021801209""",2018-2019 Regular Season,2019-04-09,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Cedi Osman,Larry Nance Jr.,Ante Zizic,Brandon Knight,Collin Sexton,1,6,5,00:09:35,00:02:25,00:00:05,30,CHA,shot,,,,,,,,,,Kemba Walker,2,,,made,,Step Back Jump Shot,18,14,180,23.6,23.0,Walker 18' Step Back Jump Shot (2 PTS)
"=""0021801209""",2018-2019 Regular Season,2019-04-09,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Cedi Osman,Larry Nance Jr.,Ante Zizic,Brandon Knight,Collin Sexton,1,6,7,00:09:18,00:02:42,00:00:17,31,CLE,shot,Collin Sexton,,,,,,,,,Ante Zizic,2,,,made,,unknown,1,-2,10,24.8,88.0,Zizic 1' Driving Layup (4 PTS) (Sexton 3 AST)
"=""0021801209""",2018-2019 Regular Season,2019-04-09,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,Cedi Osman,Larry Nance Jr.,Ante Zizic,Brandon Knight,Collin Sexton,1,9,7,00:08:56,00:03:04,00:00:22,33,CHA,shot,Miles Bridges,,,,,,,,,Dwayne Bacon,3,,,made,,Jump Shot,26,-220,130,47.0,18.0,Bacon 26' 3PT Jump Shot (6 PTS) (Bridges 1 AST)
