game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801210""",2018-2019 Regular Season,2019-04-09,Justin Holiday,Bruno Caboclo,Tyler Zeller,Tyler Dorsey,Delon Wright,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801210""",2018-2019 Regular Season,2019-04-09,Justin Holiday,Bruno Caboclo,Tyler Zeller,Tyler Dorsey,Delon Wright,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,0,0,00:12:00,00:00:00,00:00:00,4,DET,jump ball,,Tyler Zeller,Andre Drummond,,,,,,,Andre Drummond,,Blake Griffin,,,,jump ball,,,,,,Jump Ball Drummond vs. Zeller: Tip to Griffin
"=""0021801210""",2018-2019 Regular Season,2019-04-09,Justin Holiday,Bruno Caboclo,Tyler Zeller,Tyler Dorsey,Delon Wright,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,0,2,00:11:44,00:00:16,00:00:16,7,DET,shot,,,,,,,,,,Bruce Brown,2,,,made,,unknown,8,0,84,25.0,80.6,Brown 8' Driving Floating Bank Jump Shot (2 PTS)
"=""0021801210""",2018-2019 Regular Season,2019-04-09,Justin Holiday,Bruno Caboclo,Tyler Zeller,Tyler Dorsey,Delon Wright,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,0,2,00:11:30,00:00:30,00:00:14,8,MEM,miss,,,,,,,,,,Bruno Caboclo,0,,,missed,,Jump Bank Shot,7,-68,15,31.8,6.5,MISS Caboclo 7' Jump Bank Shot
"=""0021801210""",2018-2019 Regular Season,2019-04-09,Justin Holiday,Bruno Caboclo,Tyler Zeller,Tyler Dorsey,Delon Wright,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,0,2,00:11:28,00:00:32,00:00:02,9,DET,rebound,,,,,,,,,,Andre Drummond,,,,,,rebound defensive,,,,,,Drummond REBOUND (Off:0 Def:1)
"=""0021801210""",2018-2019 Regular Season,2019-04-09,Justin Holiday,Bruno Caboclo,Tyler Zeller,Tyler Dorsey,Delon Wright,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,0,2,00:11:18,00:00:42,00:00:10,10,DET,miss,,,,,,,,,,Reggie Jackson,0,,,missed,,Fadeaway Jumper,12,120,5,37.0,88.5,MISS Jackson 12' Fadeaway Jumper
"=""0021801210""",2018-2019 Regular Season,2019-04-09,Justin Holiday,Bruno Caboclo,Tyler Zeller,Tyler Dorsey,Delon Wright,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,0,2,00:11:17,00:00:43,00:00:01,11,MEM,rebound,,,,,,,,,,Justin Holiday,,,,,,rebound defensive,,,,,,Holiday REBOUND (Off:0 Def:1)
"=""0021801210""",2018-2019 Regular Season,2019-04-09,Justin Holiday,Bruno Caboclo,Tyler Zeller,Tyler Dorsey,Delon Wright,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,2,2,00:11:06,00:00:54,00:00:11,13,MEM,shot,Tyler Zeller,,,,,,,,,Bruno Caboclo,2,,,made,,unknown,1,9,10,24.1,6.0,Caboclo 1' Driving Dunk (2 PTS) (Zeller 1 AST)
"=""0021801210""",2018-2019 Regular Season,2019-04-09,Justin Holiday,Bruno Caboclo,Tyler Zeller,Tyler Dorsey,Delon Wright,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,2,2,00:10:41,00:01:19,00:00:25,15,DET,miss,,,,Justin Holiday,,,,,,Andre Drummond,0,,,missed,,unknown,4,40,18,29.0,87.2,"Holiday BLOCK (1 BLK), MISS Drummond 4' Driving Layup"
"=""0021801210""",2018-2019 Regular Season,2019-04-09,Justin Holiday,Bruno Caboclo,Tyler Zeller,Tyler Dorsey,Delon Wright,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,2,2,00:10:39,00:01:21,00:00:02,17,MEM,rebound,,,,,,,,,,Justin Holiday,,,,,,rebound defensive,,,,,,Holiday REBOUND (Off:0 Def:2)
"=""0021801210""",2018-2019 Regular Season,2019-04-09,Justin Holiday,Bruno Caboclo,Tyler Zeller,Tyler Dorsey,Delon Wright,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,2,2,00:10:36,00:01:24,00:00:03,18,MEM,miss,,,,,,,,,,Tyler Dorsey,0,,,missed,,Jump Shot,26,96,240,15.4,29.0,MISS Dorsey 26' 3PT Jump Shot
"=""0021801210""",2018-2019 Regular Season,2019-04-09,Justin Holiday,Bruno Caboclo,Tyler Zeller,Tyler Dorsey,Delon Wright,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,2,2,00:10:32,00:01:28,00:00:04,19,DET,rebound,,,,,,,,,,Bruce Brown,,,,,,rebound defensive,,,,,,Brown REBOUND (Off:0 Def:1)
"=""0021801210""",2018-2019 Regular Season,2019-04-09,Justin Holiday,Bruno Caboclo,Tyler Zeller,Tyler Dorsey,Delon Wright,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,2,2,00:10:17,00:01:43,00:00:15,20,MEM,violation,,,,,,,,,,Justin Holiday,,,,,,violation:kicked ball,,,,,,Holiday Violation:Kicked Ball (E.Lewis)
"=""0021801210""",2018-2019 Regular Season,2019-04-09,Justin Holiday,Bruno Caboclo,Tyler Zeller,Tyler Dorsey,Delon Wright,Bruce Brown,Blake Griffin,Andre Drummond,Wayne Ellington,Reggie Jackson,1,2,2,00:10:08,00:01:52,00:00:09,21,DET,miss,,,,,,,,,,Wayne Ellington,0,,,missed,,Jump Shot,24,-230,79,2.0,81.1,MISS Ellington 24' 3PT Jump Shot
