game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801216""",2018-2019 Regular Season,2019-04-09,Mikal Bridges,Dragan Bender,Ray Spalding,Josh Jackson,Elie Okobo,Justin Jackson,Dirk Nowitzki,Dwight Powell,Devin Harris,Luka Doncic,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801216""",2018-2019 Regular Season,2019-04-09,Mikal Bridges,Dragan Bender,Ray Spalding,Josh Jackson,Elie Okobo,Justin Jackson,Dirk Nowitzki,Dwight Powell,Devin Harris,Luka Doncic,1,0,0,00:12:00,00:00:00,00:00:00,4,PHX,jump ball,,Ray Spalding,Dwight Powell,,,,,,,Dwight Powell,,Mikal Bridges,,,,jump ball,,,,,,Jump Ball Powell vs. Spalding: Tip to Bridges
"=""0021801216""",2018-2019 Regular Season,2019-04-09,Mikal Bridges,Dragan Bender,Ray Spalding,Josh Jackson,Elie Okobo,Justin Jackson,Dirk Nowitzki,Dwight Powell,Devin Harris,Luka Doncic,1,0,0,00:11:39,00:00:21,00:00:21,7,PHX,turnover,,,,,,,,,,Elie Okobo,,,bad pass ,,Luka Doncic,bad pass ,,,,,,"Okobo Bad Pass Turnover (P1.T1), Doncic STEAL (1 STL)"
"=""0021801216""",2018-2019 Regular Season,2019-04-09,Mikal Bridges,Dragan Bender,Ray Spalding,Josh Jackson,Elie Okobo,Justin Jackson,Dirk Nowitzki,Dwight Powell,Devin Harris,Luka Doncic,1,0,2,00:11:27,00:00:33,00:00:12,9,DAL,shot,Luka Doncic,,,,,,,,,Dirk Nowitzki,2,,,made,,Jump Shot,20,51,194,30.1,69.6,Nowitzki 20' Jump Shot (2 PTS) (Doncic 1 AST)
"=""0021801216""",2018-2019 Regular Season,2019-04-09,Mikal Bridges,Dragan Bender,Ray Spalding,Josh Jackson,Elie Okobo,Justin Jackson,Dirk Nowitzki,Dwight Powell,Devin Harris,Luka Doncic,1,3,2,00:11:03,00:00:57,00:00:24,11,PHX,shot,Elie Okobo,,,,,,,,,Dragan Bender,3,,,made,,Jump Shot,26,85,241,16.5,29.1,Bender 26' 3PT Jump Shot (3 PTS) (Okobo 1 AST)
"=""0021801216""",2018-2019 Regular Season,2019-04-09,Mikal Bridges,Dragan Bender,Ray Spalding,Josh Jackson,Elie Okobo,Justin Jackson,Dirk Nowitzki,Dwight Powell,Devin Harris,Luka Doncic,1,3,2,00:10:47,00:01:13,00:00:16,13,DAL,miss,,,,,,,,,,Dirk Nowitzki,0,,,missed,,Turnaround Fadeaway ,18,-149,104,10.1,78.6,MISS Nowitzki 18' Turnaround Fadeaway Shot
"=""0021801216""",2018-2019 Regular Season,2019-04-09,Mikal Bridges,Dragan Bender,Ray Spalding,Josh Jackson,Elie Okobo,Justin Jackson,Dirk Nowitzki,Dwight Powell,Devin Harris,Luka Doncic,1,3,2,00:10:44,00:01:16,00:00:03,14,PHX,rebound,,,,,,,,,,Josh Jackson,,,,,,rebound defensive,,,,,,Jackson REBOUND (Off:0 Def:1)
"=""0021801216""",2018-2019 Regular Season,2019-04-09,Mikal Bridges,Dragan Bender,Ray Spalding,Josh Jackson,Elie Okobo,Justin Jackson,Dirk Nowitzki,Dwight Powell,Devin Harris,Luka Doncic,1,3,2,00:10:40,00:01:20,00:00:04,15,PHX,miss,,,,,,,,,,Elie Okobo,0,,,missed,,Running Layup,1,-8,-1,25.8,4.9,MISS Okobo 1' Running Layup
"=""0021801216""",2018-2019 Regular Season,2019-04-09,Mikal Bridges,Dragan Bender,Ray Spalding,Josh Jackson,Elie Okobo,Justin Jackson,Dirk Nowitzki,Dwight Powell,Devin Harris,Luka Doncic,1,3,2,00:10:38,00:01:22,00:00:02,16,DAL,rebound,,,,,,,,,,Luka Doncic,,,,,,rebound defensive,,,,,,Doncic REBOUND (Off:0 Def:1)
"=""0021801216""",2018-2019 Regular Season,2019-04-09,Mikal Bridges,Dragan Bender,Ray Spalding,Josh Jackson,Elie Okobo,Justin Jackson,Dirk Nowitzki,Dwight Powell,Devin Harris,Luka Doncic,1,3,5,00:10:32,00:01:28,00:00:06,17,DAL,shot,Devin Harris,,,,,,,,,Dirk Nowitzki,3,,,made,,Jump Shot,26,70,246,32.0,64.4,Nowitzki 26' 3PT Jump Shot (5 PTS) (Harris 1 AST)
"=""0021801216""",2018-2019 Regular Season,2019-04-09,Mikal Bridges,Dragan Bender,Ray Spalding,Josh Jackson,Elie Okobo,Justin Jackson,Dirk Nowitzki,Dwight Powell,Devin Harris,Luka Doncic,1,6,5,00:10:16,00:01:44,00:00:16,19,PHX,shot,Ray Spalding,,,,,,,,,Elie Okobo,3,,,made,,Pullup Jump Shot,25,-81,234,33.1,28.4,Okobo 25' 3PT Pullup Jump Shot (3 PTS) (Spalding 1 AST)
"=""0021801216""",2018-2019 Regular Season,2019-04-09,Mikal Bridges,Dragan Bender,Ray Spalding,Josh Jackson,Elie Okobo,Justin Jackson,Dirk Nowitzki,Dwight Powell,Devin Harris,Luka Doncic,1,6,5,00:10:00,00:02:00,00:00:16,21,DAL,miss,,,,,,,,,,Dirk Nowitzki,0,,,missed,,Fadeaway Jumper,20,-107,165,14.3,72.5,MISS Nowitzki 20' Fadeaway Jumper
"=""0021801216""",2018-2019 Regular Season,2019-04-09,Mikal Bridges,Dragan Bender,Ray Spalding,Josh Jackson,Elie Okobo,Justin Jackson,Dirk Nowitzki,Dwight Powell,Devin Harris,Luka Doncic,1,6,5,00:09:56,00:02:04,00:00:04,22,PHX,rebound,,,,,,,,,,Ray Spalding,,,,,,rebound defensive,,,,,,Spalding REBOUND (Off:0 Def:1)
"=""0021801216""",2018-2019 Regular Season,2019-04-09,Mikal Bridges,Dragan Bender,Ray Spalding,Josh Jackson,Elie Okobo,Justin Jackson,Dirk Nowitzki,Dwight Powell,Devin Harris,Luka Doncic,1,6,5,00:09:48,00:02:12,00:00:08,23,PHX,miss,,,,,,,,,,Dragan Bender,0,,,missed,,Jump Shot,25,-3,245,25.3,29.5,MISS Bender 25' 3PT Jump Shot
"=""0021801216""",2018-2019 Regular Season,2019-04-09,Mikal Bridges,Dragan Bender,Ray Spalding,Josh Jackson,Elie Okobo,Justin Jackson,Dirk Nowitzki,Dwight Powell,Devin Harris,Luka Doncic,1,6,5,00:09:45,00:02:15,00:00:03,24,DAL,rebound,,,,,,,,,,Luka Doncic,,,,,,rebound defensive,,,,,,Doncic REBOUND (Off:0 Def:2)
