game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801219""",2018-2019 Regular Season,2019-04-09,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,Jemerrio Jones,Mike Muscala,JaVale McGee,Kentavious Caldwell-Pope,Alex Caruso,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801219""",2018-2019 Regular Season,2019-04-09,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,Jemerrio Jones,Mike Muscala,JaVale McGee,Kentavious Caldwell-Pope,Alex Caruso,1,0,0,00:12:00,00:00:00,00:00:00,4,LAL,jump ball,,Enes Kanter,JaVale McGee,,,,,,,JaVale McGee,,Mike Muscala,,,,jump ball,,,,,,Jump Ball McGee vs. Kanter: Tip to Muscala
"=""0021801219""",2018-2019 Regular Season,2019-04-09,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,Jemerrio Jones,Mike Muscala,JaVale McGee,Kentavious Caldwell-Pope,Alex Caruso,1,0,3,00:11:41,00:00:19,00:00:19,7,LAL,shot,Alex Caruso,,,,,,,,,Mike Muscala,3,,,made,,Jump Shot,23,-224,53,2.6,83.7,Muscala  3PT Jump Shot (3 PTS) (Caruso 1 AST)
"=""0021801219""",2018-2019 Regular Season,2019-04-09,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,Jemerrio Jones,Mike Muscala,JaVale McGee,Kentavious Caldwell-Pope,Alex Caruso,1,0,3,00:11:19,00:00:41,00:00:22,9,POR,miss,,,,,,,,,,Enes Kanter,0,,,missed,,Reverse Layup,1,-3,13,25.3,6.3,MISS Kanter 1' Reverse Layup
"=""0021801219""",2018-2019 Regular Season,2019-04-09,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,Jemerrio Jones,Mike Muscala,JaVale McGee,Kentavious Caldwell-Pope,Alex Caruso,1,0,3,00:11:18,00:00:42,00:00:01,11,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Trail Blazers Rebound
"=""0021801219""",2018-2019 Regular Season,2019-04-09,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,Jemerrio Jones,Mike Muscala,JaVale McGee,Kentavious Caldwell-Pope,Alex Caruso,1,0,3,00:11:14,00:00:46,00:00:04,12,POR,miss,,,,Jemerrio Jones,,,,,,Maurice Harkless,0,,,missed,,Turnaround Fadeaway ,3,-32,10,28.2,6.0,"MISS Harkless 3' Turnaround Fadeaway Shot, Jones BLOCK (1 BLK)"
"=""0021801219""",2018-2019 Regular Season,2019-04-09,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,Jemerrio Jones,Mike Muscala,JaVale McGee,Kentavious Caldwell-Pope,Alex Caruso,1,0,3,00:11:13,00:00:47,00:00:01,14,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,LAKERS Rebound
"=""0021801219""",2018-2019 Regular Season,2019-04-09,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,Jemerrio Jones,Mike Muscala,JaVale McGee,Kentavious Caldwell-Pope,Alex Caruso,1,0,3,00:10:56,00:01:04,00:00:17,16,LAL,miss,,,,,,,,,,JaVale McGee,0,,,missed,,Driving Hook Shot,8,36,69,28.6,82.1,MISS McGee 8' Driving Hook Shot
"=""0021801219""",2018-2019 Regular Season,2019-04-09,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,Jemerrio Jones,Mike Muscala,JaVale McGee,Kentavious Caldwell-Pope,Alex Caruso,1,0,3,00:10:53,00:01:07,00:00:03,17,POR,rebound,,,,,,,,,,Maurice Harkless,,,,,,rebound defensive,,,,,,Harkless REBOUND (Off:0 Def:1)
"=""0021801219""",2018-2019 Regular Season,2019-04-09,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,Jemerrio Jones,Mike Muscala,JaVale McGee,Kentavious Caldwell-Pope,Alex Caruso,1,0,3,00:10:48,00:01:12,00:00:05,18,POR,turnover,,,,,,,,,,Damian Lillard,,,,,,unknown,,,,,,Lillard Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
