game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801220""",2018-2019 Regular Season,2019-04-10,Doug McDermott,TJ Leaf,Kyle O'Quinn,Tyreke Evans,Darren Collison,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801220""",2018-2019 Regular Season,2019-04-10,Doug McDermott,TJ Leaf,Kyle O'Quinn,Tyreke Evans,Darren Collison,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,0,0,00:12:00,00:00:00,00:00:00,4,IND,jump ball,,Kyle O'Quinn,John Collins,,,,,,,John Collins,,TJ Leaf,,,,jump ball,,,,,,Jump Ball Collins vs. O'Quinn: Tip to Leaf
"=""0021801220""",2018-2019 Regular Season,2019-04-10,Doug McDermott,TJ Leaf,Kyle O'Quinn,Tyreke Evans,Darren Collison,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,2,0,00:11:40,00:00:20,00:00:20,7,IND,shot,Kyle O'Quinn,,,,,,,,,Darren Collison,2,,,made,,Pullup Jump Shot,14,-49,132,29.9,18.2,Collison 14' Pullup Jump Shot (2 PTS) (O'Quinn 1 AST)
"=""0021801220""",2018-2019 Regular Season,2019-04-10,Doug McDermott,TJ Leaf,Kyle O'Quinn,Tyreke Evans,Darren Collison,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,2,0,00:11:29,00:00:31,00:00:11,9,ATL,miss,,,,,,,,,,Alex Len,0,,,missed,,Jump Shot,26,-1,259,24.9,63.1,MISS Len 26' 3PT Jump Shot
"=""0021801220""",2018-2019 Regular Season,2019-04-10,Doug McDermott,TJ Leaf,Kyle O'Quinn,Tyreke Evans,Darren Collison,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,2,0,00:11:25,00:00:35,00:00:04,10,IND,rebound,,,,,,,,,,TJ Leaf,,,,,,rebound defensive,,,,,,Leaf REBOUND (Off:0 Def:1)
"=""0021801220""",2018-2019 Regular Season,2019-04-10,Doug McDermott,TJ Leaf,Kyle O'Quinn,Tyreke Evans,Darren Collison,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,5,0,00:11:13,00:00:47,00:00:12,11,IND,shot,Darren Collison,,,,,,,,,Tyreke Evans,3,,,made,,Jump Shot,24,230,74,2.0,12.4,Evans 24' 3PT Jump Shot (3 PTS) (Collison 1 AST)
"=""0021801220""",2018-2019 Regular Season,2019-04-10,Doug McDermott,TJ Leaf,Kyle O'Quinn,Tyreke Evans,Darren Collison,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,5,2,00:11:00,00:01:00,00:00:13,13,ATL,shot,Trae Young,,,,,,,,,Taurean Prince,2,,,made,,unknown,1,8,10,25.8,88.0,Prince 1' Driving Layup (2 PTS) (Young 1 AST)
"=""0021801220""",2018-2019 Regular Season,2019-04-10,Doug McDermott,TJ Leaf,Kyle O'Quinn,Tyreke Evans,Darren Collison,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,5,2,00:10:42,00:01:18,00:00:18,15,IND,miss,,,,,,,,,,Doug McDermott,0,,,missed,,unknown,1,3,11,24.7,6.1,MISS McDermott 1' Driving Layup
"=""0021801220""",2018-2019 Regular Season,2019-04-10,Doug McDermott,TJ Leaf,Kyle O'Quinn,Tyreke Evans,Darren Collison,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,5,2,00:10:39,00:01:21,00:00:03,16,ATL,rebound,,,,,,,,,,John Collins,,,,,,rebound defensive,,,,,,Collins REBOUND (Off:0 Def:1)
"=""0021801220""",2018-2019 Regular Season,2019-04-10,Doug McDermott,TJ Leaf,Kyle O'Quinn,Tyreke Evans,Darren Collison,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,5,2,00:10:36,00:01:24,00:00:03,17,ATL,miss,,,,,,,,,,Trae Young,0,,,missed,,Running Jump Shot,29,-49,290,20.1,60.0,MISS Young 29' 3PT Running Jump Shot
"=""0021801220""",2018-2019 Regular Season,2019-04-10,Doug McDermott,TJ Leaf,Kyle O'Quinn,Tyreke Evans,Darren Collison,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,5,2,00:10:32,00:01:28,00:00:04,18,IND,rebound,,,,,,,,,,Tyreke Evans,,,,,,rebound defensive,,,,,,Evans REBOUND (Off:0 Def:1)
"=""0021801220""",2018-2019 Regular Season,2019-04-10,Doug McDermott,TJ Leaf,Kyle O'Quinn,Tyreke Evans,Darren Collison,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,5,2,00:10:22,00:01:38,00:00:10,19,IND,miss,,,,,,,,,,Kyle O'Quinn,0,,,missed,,Jump Shot,17,142,92,10.8,14.2,MISS O'Quinn 17' Jump Shot
"=""0021801220""",2018-2019 Regular Season,2019-04-10,Doug McDermott,TJ Leaf,Kyle O'Quinn,Tyreke Evans,Darren Collison,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,5,2,00:10:19,00:01:41,00:00:03,20,ATL,rebound,,,,,,,,,,John Collins,,,,,,rebound defensive,,,,,,Collins REBOUND (Off:0 Def:2)
"=""0021801220""",2018-2019 Regular Season,2019-04-10,Doug McDermott,TJ Leaf,Kyle O'Quinn,Tyreke Evans,Darren Collison,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,5,2,00:10:10,00:01:50,00:00:09,21,ATL,miss,,,,,,,,,,Taurean Prince,0,,,missed,,Pullup Jump Shot,18,-107,149,14.3,74.1,MISS Prince 18' Pullup Jump Shot
"=""0021801220""",2018-2019 Regular Season,2019-04-10,Doug McDermott,TJ Leaf,Kyle O'Quinn,Tyreke Evans,Darren Collison,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,5,2,00:10:03,00:01:57,00:00:07,22,IND,rebound,,,,,,,,,,Kyle O'Quinn,,,,,,rebound defensive,,,,,,O'Quinn REBOUND (Off:0 Def:1)
"=""0021801220""",2018-2019 Regular Season,2019-04-10,Doug McDermott,TJ Leaf,Kyle O'Quinn,Tyreke Evans,Darren Collison,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,8,2,00:09:58,00:02:02,00:00:05,23,IND,shot,,,,,,,,,,Tyreke Evans,3,,,made,,Pullup Jump Shot,25,134,214,11.6,26.4,Evans 25' 3PT Pullup Jump Shot (6 PTS)
"=""0021801220""",2018-2019 Regular Season,2019-04-10,Doug McDermott,TJ Leaf,Kyle O'Quinn,Tyreke Evans,Darren Collison,Taurean Prince,John Collins,Alex Len,Kevin Huerter,Trae Young,1,8,2,00:09:46,00:02:14,00:00:12,24,IND,foul,,,,,,,,Trae Young,,Darren Collison,,,p.foul,,,p.foul,,,,,,Collison P.FOUL (P1.T1) (M.Lindsay)
