game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801222""",2018-2019 Regular Season,2019-04-10,Wes Iwundu,Aaron Gordon,Khem Birch,Evan Fournier,D.J. Augustin,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801222""",2018-2019 Regular Season,2019-04-10,Wes Iwundu,Aaron Gordon,Khem Birch,Evan Fournier,D.J. Augustin,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,0,0,00:12:00,00:00:00,00:00:00,4,CHA,jump ball,,Khem Birch,Bismack Biyombo,,,,,,,Bismack Biyombo,,Kemba Walker,,,,jump ball,,,,,,Jump Ball Biyombo vs. Birch: Tip to Walker
"=""0021801222""",2018-2019 Regular Season,2019-04-10,Wes Iwundu,Aaron Gordon,Khem Birch,Evan Fournier,D.J. Augustin,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,0,0,00:11:41,00:00:19,00:00:19,7,CHA,miss,,,,,,,,,,Miles Bridges,0,,,missed,,Layup,2,13,10,26.3,88.0,MISS Bridges 2' Layup
"=""0021801222""",2018-2019 Regular Season,2019-04-10,Wes Iwundu,Aaron Gordon,Khem Birch,Evan Fournier,D.J. Augustin,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,0,0,00:11:39,00:00:21,00:00:02,8,ORL,rebound,,,,,,,,,,Aaron Gordon,,,,,,rebound defensive,,,,,,Gordon REBOUND (Off:0 Def:1)
"=""0021801222""",2018-2019 Regular Season,2019-04-10,Wes Iwundu,Aaron Gordon,Khem Birch,Evan Fournier,D.J. Augustin,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,0,0,00:11:36,00:00:24,00:00:03,9,ORL,turnover,,,,,,,,,,Aaron Gordon,,,lost ball ,,Miles Bridges,lost ball ,,,,,,"Gordon Lost Ball Turnover (P1.T1), Bridges STEAL (1 STL)"
"=""0021801222""",2018-2019 Regular Season,2019-04-10,Wes Iwundu,Aaron Gordon,Khem Birch,Evan Fournier,D.J. Augustin,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,0,2,00:11:29,00:00:31,00:00:07,11,CHA,shot,Nicolas Batum,,,,,,,,,Miles Bridges,2,,,made,,Alley Oop Dunk,2,-9,18,24.1,87.2,Bridges 2' Alley Oop Dunk (2 PTS) (Batum 1 AST)
"=""0021801222""",2018-2019 Regular Season,2019-04-10,Wes Iwundu,Aaron Gordon,Khem Birch,Evan Fournier,D.J. Augustin,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,0,2,00:11:13,00:00:47,00:00:16,13,ORL,miss,,,,,,,,,,Aaron Gordon,0,,,missed,,unknown,2,-19,6,26.9,5.6,MISS Gordon 2' Driving Layup
"=""0021801222""",2018-2019 Regular Season,2019-04-10,Wes Iwundu,Aaron Gordon,Khem Birch,Evan Fournier,D.J. Augustin,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,0,2,00:11:10,00:00:50,00:00:03,15,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Magic Rebound
"=""0021801222""",2018-2019 Regular Season,2019-04-10,Wes Iwundu,Aaron Gordon,Khem Birch,Evan Fournier,D.J. Augustin,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,2,2,00:11:00,00:01:00,00:00:10,17,ORL,shot,Wes Iwundu,,,,,,,,,Aaron Gordon,2,,,made,,Jump Shot,12,89,74,16.1,12.4,Gordon 12' Jump Shot (2 PTS) (Iwundu 1 AST)
"=""0021801222""",2018-2019 Regular Season,2019-04-10,Wes Iwundu,Aaron Gordon,Khem Birch,Evan Fournier,D.J. Augustin,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,2,2,00:10:45,00:01:15,00:00:15,19,CHA,turnover,,,,,,,,,,Dwayne Bacon,,,step out of bounds turnover,,,step out of bounds turnover,,,,,,Bacon Step Out of Bounds Turnover (P1.T1)
"=""0021801222""",2018-2019 Regular Season,2019-04-10,Wes Iwundu,Aaron Gordon,Khem Birch,Evan Fournier,D.J. Augustin,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,2,2,00:10:23,00:01:37,00:00:22,20,ORL,miss,,,,,,,,,,Aaron Gordon,0,,,missed,,Fadeaway Jumper,12,66,106,18.4,15.6,MISS Gordon 12' Fadeaway Jumper
"=""0021801222""",2018-2019 Regular Season,2019-04-10,Wes Iwundu,Aaron Gordon,Khem Birch,Evan Fournier,D.J. Augustin,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,2,2,00:10:19,00:01:41,00:00:04,21,CHA,rebound,,,,,,,,,,Nicolas Batum,,,,,,rebound defensive,,,,,,Batum REBOUND (Off:0 Def:1)
"=""0021801222""",2018-2019 Regular Season,2019-04-10,Wes Iwundu,Aaron Gordon,Khem Birch,Evan Fournier,D.J. Augustin,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,2,4,00:10:10,00:01:50,00:00:09,22,CHA,shot,Nicolas Batum,,,,,,,,,Kemba Walker,2,,,made,,Step Back Jump Shot,13,-50,122,20.0,76.8,Walker 13' Step Back Jump Shot (2 PTS) (Batum 2 AST)
"=""0021801222""",2018-2019 Regular Season,2019-04-10,Wes Iwundu,Aaron Gordon,Khem Birch,Evan Fournier,D.J. Augustin,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,4,4,00:09:54,00:02:06,00:00:16,24,ORL,shot,,,,,,,,,,D.J. Augustin,2,,,made,,Layup,1,-5,14,25.5,6.4,Augustin 1' Layup (2 PTS)
"=""0021801222""",2018-2019 Regular Season,2019-04-10,Wes Iwundu,Aaron Gordon,Khem Birch,Evan Fournier,D.J. Augustin,Nicolas Batum,Miles Bridges,Bismack Biyombo,Dwayne Bacon,Kemba Walker,1,4,4,00:09:37,00:02:23,00:00:17,25,CHA,miss,,,,,,,,,,Kemba Walker,0,,,missed,,Pullup Jump Shot,26,-145,211,10.5,67.9,MISS Walker 26' 3PT Pullup Jump Shot
