game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801226""",2018-2019 Regular Season,2019-04-10,Terrance Ferguson,Jerami Grant,Steven Adams,Dennis Schroder,Russell Westbrook,Khris Middleton,Ersan Ilyasova,D.J. Wilson,Bonzie Colson,Tim Frazier,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801226""",2018-2019 Regular Season,2019-04-10,Terrance Ferguson,Jerami Grant,Steven Adams,Dennis Schroder,Russell Westbrook,Khris Middleton,Ersan Ilyasova,D.J. Wilson,Bonzie Colson,Tim Frazier,1,0,0,00:12:00,00:00:00,00:00:00,4,OKC,jump ball,,Steven Adams,D.J. Wilson,,,,,,,D.J. Wilson,,Jerami Grant,,,,jump ball,,,,,,Jump Ball Wilson vs. Adams: Tip to Grant
"=""0021801226""",2018-2019 Regular Season,2019-04-10,Terrance Ferguson,Jerami Grant,Steven Adams,Dennis Schroder,Russell Westbrook,Khris Middleton,Ersan Ilyasova,D.J. Wilson,Bonzie Colson,Tim Frazier,1,0,0,00:11:39,00:00:21,00:00:21,7,OKC,miss,,,,,,,,,,Steven Adams,0,,,missed,,Hook Bank Shot,2,-19,15,26.9,6.5,MISS Adams 2' Hook Bank Shot
"=""0021801226""",2018-2019 Regular Season,2019-04-10,Terrance Ferguson,Jerami Grant,Steven Adams,Dennis Schroder,Russell Westbrook,Khris Middleton,Ersan Ilyasova,D.J. Wilson,Bonzie Colson,Tim Frazier,1,0,0,00:11:37,00:00:23,00:00:02,8,MIL,rebound,,,,,,,,,,Khris Middleton,,,,,,rebound defensive,,,,,,Middleton REBOUND (Off:0 Def:1)
"=""0021801226""",2018-2019 Regular Season,2019-04-10,Terrance Ferguson,Jerami Grant,Steven Adams,Dennis Schroder,Russell Westbrook,Khris Middleton,Ersan Ilyasova,D.J. Wilson,Bonzie Colson,Tim Frazier,1,0,2,00:11:21,00:00:39,00:00:16,9,MIL,shot,Khris Middleton,,,,,,,,,D.J. Wilson,2,,,made,,unknown,2,14,20,26.4,87.0,Wilson 2' Cutting Layup Shot (2 PTS) (Middleton 1 AST)
"=""0021801226""",2018-2019 Regular Season,2019-04-10,Terrance Ferguson,Jerami Grant,Steven Adams,Dennis Schroder,Russell Westbrook,Khris Middleton,Ersan Ilyasova,D.J. Wilson,Bonzie Colson,Tim Frazier,1,3,2,00:11:08,00:00:52,00:00:13,11,OKC,shot,Russell Westbrook,,,,,,,,,Terrance Ferguson,3,,,made,,Jump Shot,24,-237,-4,48.7,4.6,Ferguson 24' 3PT Jump Shot (3 PTS) (Westbrook 1 AST)
"=""0021801226""",2018-2019 Regular Season,2019-04-10,Terrance Ferguson,Jerami Grant,Steven Adams,Dennis Schroder,Russell Westbrook,Khris Middleton,Ersan Ilyasova,D.J. Wilson,Bonzie Colson,Tim Frazier,1,3,5,00:10:59,00:01:01,00:00:09,13,MIL,shot,Tim Frazier,,,,,,,,,D.J. Wilson,3,,,made,,Jump Shot,25,241,68,49.1,82.2,Wilson 25' 3PT Jump Shot (5 PTS) (Frazier 1 AST)
"=""0021801226""",2018-2019 Regular Season,2019-04-10,Terrance Ferguson,Jerami Grant,Steven Adams,Dennis Schroder,Russell Westbrook,Khris Middleton,Ersan Ilyasova,D.J. Wilson,Bonzie Colson,Tim Frazier,1,3,5,00:10:48,00:01:12,00:00:11,16,OKC,miss,,,,,,,,,,Jerami Grant,0,,,missed,,Jump Shot,14,-73,115,32.3,16.5,MISS Grant 14' Jump Shot
"=""0021801226""",2018-2019 Regular Season,2019-04-10,Terrance Ferguson,Jerami Grant,Steven Adams,Dennis Schroder,Russell Westbrook,Khris Middleton,Ersan Ilyasova,D.J. Wilson,Bonzie Colson,Tim Frazier,1,3,5,00:10:46,00:01:14,00:00:02,17,MIL,rebound,,,,,,,,,,D.J. Wilson,,,,,,rebound defensive,,,,,,Wilson REBOUND (Off:0 Def:1)
"=""0021801226""",2018-2019 Regular Season,2019-04-10,Terrance Ferguson,Jerami Grant,Steven Adams,Dennis Schroder,Russell Westbrook,Khris Middleton,Ersan Ilyasova,D.J. Wilson,Bonzie Colson,Tim Frazier,1,3,8,00:10:41,00:01:19,00:00:05,18,MIL,shot,,,,,,,,,,Tim Frazier,3,,,made,,Pullup Jump Shot,26,104,236,35.4,65.4,Frazier 26' 3PT Pullup Jump Shot (3 PTS)
