game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801227""",2018-2019 Regular Season,2019-04-10,Justin Jackson,Dirk Nowitzki,Dwight Powell,Devin Harris,Jalen Brunson,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801227""",2018-2019 Regular Season,2019-04-10,Justin Jackson,Dirk Nowitzki,Dwight Powell,Devin Harris,Jalen Brunson,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,0,00:12:00,00:00:00,00:00:00,4,SAS,jump ball,,Dwight Powell,Jakob Poeltl,,,,,,,Jakob Poeltl,,Derrick White,,,,jump ball,,,,,,Jump Ball Poeltl vs. Powell: Tip to White
"=""0021801227""",2018-2019 Regular Season,2019-04-10,Justin Jackson,Dirk Nowitzki,Dwight Powell,Devin Harris,Jalen Brunson,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,2,00:11:36,00:00:24,00:00:24,7,SAS,shot,,,,,,,,,,LaMarcus Aldridge,2,,,made,,Step Back Jump Shot,16,-76,142,17.4,74.8,Aldridge 16' Step Back Jump Shot (2 PTS)
"=""0021801227""",2018-2019 Regular Season,2019-04-10,Justin Jackson,Dirk Nowitzki,Dwight Powell,Devin Harris,Jalen Brunson,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,2,00:11:22,00:00:38,00:00:14,8,DAL,miss,,,,,,,,,,Dirk Nowitzki,0,,,missed,,Jump Shot,11,-95,61,34.5,11.1,MISS Nowitzki 11' Jump Shot
"=""0021801227""",2018-2019 Regular Season,2019-04-10,Justin Jackson,Dirk Nowitzki,Dwight Powell,Devin Harris,Jalen Brunson,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,0,2,00:11:22,00:00:38,00:00:00,9,DAL,rebound,,,,,,,,,,Dwight Powell,,,,,,rebound offensive,,,,,,Powell REBOUND (Off:1 Def:0)
"=""0021801227""",2018-2019 Regular Season,2019-04-10,Justin Jackson,Dirk Nowitzki,Dwight Powell,Devin Harris,Jalen Brunson,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,3,2,00:11:15,00:00:45,00:00:07,10,DAL,shot,Dwight Powell,,,,,,,,,Justin Jackson,3,,,made,,Pullup Jump Shot,27,62,266,18.8,31.6,Jackson 27' 3PT Pullup Jump Shot (3 PTS) (Powell 1 AST)
"=""0021801227""",2018-2019 Regular Season,2019-04-10,Justin Jackson,Dirk Nowitzki,Dwight Powell,Devin Harris,Jalen Brunson,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,3,2,00:11:07,00:00:53,00:00:08,11,SAS,miss,,,,Devin Harris,,,,,,DeMar DeRozan,0,,,missed,,Turnaround Jump Shot,10,-103,-14,14.7,90.4,"Harris BLOCK (1 BLK), MISS DeRozan 10' Turnaround Jump Shot"
"=""0021801227""",2018-2019 Regular Season,2019-04-10,Justin Jackson,Dirk Nowitzki,Dwight Powell,Devin Harris,Jalen Brunson,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,3,2,00:11:07,00:00:53,00:00:00,13,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,SPURS Rebound
"=""0021801227""",2018-2019 Regular Season,2019-04-10,Justin Jackson,Dirk Nowitzki,Dwight Powell,Devin Harris,Jalen Brunson,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,3,2,00:11:00,00:01:00,00:00:07,15,SAS,miss,,,,,,,,,,Jakob Poeltl,0,,,missed,,Jump Shot,16,-99,122,15.1,76.8,MISS Poeltl 16' Jump Shot
"=""0021801227""",2018-2019 Regular Season,2019-04-10,Justin Jackson,Dirk Nowitzki,Dwight Powell,Devin Harris,Jalen Brunson,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,3,2,00:10:57,00:01:03,00:00:03,17,SAS,rebound,,,,,,,,,,Jakob Poeltl,,,,,,rebound offensive,,,,,,Poeltl REBOUND (Off:1 Def:0)
"=""0021801227""",2018-2019 Regular Season,2019-04-10,Justin Jackson,Dirk Nowitzki,Dwight Powell,Devin Harris,Jalen Brunson,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,3,4,00:10:54,00:01:06,00:00:03,18,SAS,shot,Jakob Poeltl,,,,,,,,,LaMarcus Aldridge,2,,,made,,Jump Shot,17,-133,101,11.7,78.9,Aldridge 17' Jump Shot (4 PTS) (Poeltl 1 AST)
"=""0021801227""",2018-2019 Regular Season,2019-04-10,Justin Jackson,Dirk Nowitzki,Dwight Powell,Devin Harris,Jalen Brunson,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,3,4,00:10:34,00:01:26,00:00:20,20,DAL,miss,,,,,,,,,,Dirk Nowitzki,0,,,missed,,Jump Shot,25,30,253,22.0,30.3,MISS Nowitzki 25' 3PT Jump Shot
"=""0021801227""",2018-2019 Regular Season,2019-04-10,Justin Jackson,Dirk Nowitzki,Dwight Powell,Devin Harris,Jalen Brunson,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,3,4,00:10:34,00:01:26,00:00:00,21,SAS,rebound,,,,,,,,,,Derrick White,,,,,,rebound defensive,,,,,,White REBOUND (Off:0 Def:1)
"=""0021801227""",2018-2019 Regular Season,2019-04-10,Justin Jackson,Dirk Nowitzki,Dwight Powell,Devin Harris,Jalen Brunson,DeMar DeRozan,LaMarcus Aldridge,Jakob Poeltl,Bryn Forbes,Derrick White,1,3,7,00:10:17,00:01:43,00:00:17,22,SAS,shot,Jakob Poeltl,,,,,,,,,Bryn Forbes,3,,,made,,Jump Shot,27,-179,206,7.1,68.4,Forbes 27' 3PT Jump Shot (3 PTS) (Poeltl 2 AST)
