game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021801230""",2018-2019 Regular Season,2019-04-10,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jake Layman,Skal Labissiere,Meyers Leonard,Gary Trent Jr.,Anfernee Simons,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0021801230""",2018-2019 Regular Season,2019-04-10,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jake Layman,Skal Labissiere,Meyers Leonard,Gary Trent Jr.,Anfernee Simons,1,0,0,00:12:00,00:00:00,00:00:00,4,POR,jump ball,,Willie Cauley-Stein,Skal Labissiere,,,,,,,Skal Labissiere,,Jake Layman,,,,jump ball,,,,,,Jump Ball Labissiere vs. Cauley-Stein: Tip to Layman
"=""0021801230""",2018-2019 Regular Season,2019-04-10,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jake Layman,Skal Labissiere,Meyers Leonard,Gary Trent Jr.,Anfernee Simons,1,0,2,00:11:45,00:00:15,00:00:15,7,POR,shot,,,,,,,,,,Skal Labissiere,2,,,made,,Turnaround Hook Shot,5,-1,54,24.9,83.6,Labissiere 5' Turnaround Hook Shot (2 PTS)
"=""0021801230""",2018-2019 Regular Season,2019-04-10,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jake Layman,Skal Labissiere,Meyers Leonard,Gary Trent Jr.,Anfernee Simons,1,2,2,00:11:23,00:00:37,00:00:22,8,SAC,shot,De'Aaron Fox,,,,,,,,,Willie Cauley-Stein,2,,,made,,unknown,1,3,14,24.7,6.4,Cauley-Stein 1' Cutting Dunk Shot (2 PTS) (Fox 1 AST)
"=""0021801230""",2018-2019 Regular Season,2019-04-10,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jake Layman,Skal Labissiere,Meyers Leonard,Gary Trent Jr.,Anfernee Simons,1,2,4,00:11:11,00:00:49,00:00:12,10,POR,shot,Gary Trent Jr.,,,,,,,,,Skal Labissiere,2,,,made,,Dunk,0,0,1,25.0,88.9,Labissiere  Dunk (4 PTS) (Trent Jr. 1 AST)
"=""0021801230""",2018-2019 Regular Season,2019-04-10,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jake Layman,Skal Labissiere,Meyers Leonard,Gary Trent Jr.,Anfernee Simons,1,2,4,00:10:59,00:01:01,00:00:12,12,SAC,miss,,,,,,,,,,Nemanja Bjelica,0,,,missed,,Jump Shot,28,-106,256,35.6,30.6,MISS Bjelica 28' 3PT Jump Shot
"=""0021801230""",2018-2019 Regular Season,2019-04-10,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jake Layman,Skal Labissiere,Meyers Leonard,Gary Trent Jr.,Anfernee Simons,1,2,4,00:10:55,00:01:05,00:00:04,13,POR,rebound,,,,,,,,,,Skal Labissiere,,,,,,rebound defensive,,,,,,Labissiere REBOUND (Off:0 Def:1)
"=""0021801230""",2018-2019 Regular Season,2019-04-10,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jake Layman,Skal Labissiere,Meyers Leonard,Gary Trent Jr.,Anfernee Simons,1,2,7,00:10:47,00:01:13,00:00:08,14,POR,shot,,,,,,,,,,Anfernee Simons,3,,,made,,Pullup Jump Shot,25,-111,228,13.9,66.2,Simons 25' 3PT Pullup Jump Shot (3 PTS)
"=""0021801230""",2018-2019 Regular Season,2019-04-10,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jake Layman,Skal Labissiere,Meyers Leonard,Gary Trent Jr.,Anfernee Simons,1,2,7,00:10:37,00:01:23,00:00:10,15,SAC,turnover,,,,,,,,,,De'Aaron Fox,,,lost ball ,,Anfernee Simons,lost ball ,,,,,,"Fox Lost Ball Turnover (P1.T1), Simons STEAL (1 STL)"
"=""0021801230""",2018-2019 Regular Season,2019-04-10,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jake Layman,Skal Labissiere,Meyers Leonard,Gary Trent Jr.,Anfernee Simons,1,2,7,00:10:31,00:01:29,00:00:06,17,POR,turnover,,,,,,,,,,Jake Layman,,,out of bounds lost ball turnover,,,out of bounds lost ball turnover,,,,,,Layman Out of Bounds Lost Ball Turnover (P1.T1)
"=""0021801230""",2018-2019 Regular Season,2019-04-10,Harrison Barnes,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Jake Layman,Skal Labissiere,Meyers Leonard,Gary Trent Jr.,Anfernee Simons,1,2,7,00:10:16,00:01:44,00:00:15,18,SAC,miss,,,,,,,,,,Harrison Barnes,0,,,missed,,Jump Shot,27,122,246,12.8,29.6,MISS Barnes 27' 3PT Jump Shot
