game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0041800141""",2019 Playoff,2019-04-13,Shai Gilgeous-Alexander,Danilo Gallinari,Ivica Zubac,Landry Shamet,Patrick Beverley,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0041800141""",2019 Playoff,2019-04-13,Shai Gilgeous-Alexander,Danilo Gallinari,Ivica Zubac,Landry Shamet,Patrick Beverley,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,4,LAC,jump ball,,Ivica Zubac,DeMarcus Cousins,,,,,,,DeMarcus Cousins,,Shai Gilgeous-Alexander,,,,jump ball,,,,,,Jump Ball Cousins vs. Zubac: Tip to Gilgeous-Alexander
"=""0041800141""",2019 Playoff,2019-04-13,Shai Gilgeous-Alexander,Danilo Gallinari,Ivica Zubac,Landry Shamet,Patrick Beverley,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,0,0,00:11:42,00:00:18,00:00:18,7,LAC,miss,,,,Kevin Durant,,,,,,Ivica Zubac,0,,,missed,,Jump Shot,6,-25,58,27.5,10.8,"MISS Zubac 6' Jump Shot, Durant BLOCK (1 BLK)"
"=""0041800141""",2019 Playoff,2019-04-13,Shai Gilgeous-Alexander,Danilo Gallinari,Ivica Zubac,Landry Shamet,Patrick Beverley,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,0,0,00:11:41,00:00:19,00:00:01,9,LAC,rebound,,,,,,,,,,Patrick Beverley,,,,,,rebound offensive,,,,,,Beverley REBOUND (Off:1 Def:0)
"=""0041800141""",2019 Playoff,2019-04-13,Shai Gilgeous-Alexander,Danilo Gallinari,Ivica Zubac,Landry Shamet,Patrick Beverley,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,0,0,00:11:35,00:00:25,00:00:06,10,LAC,miss,,,,,,,,,,Shai Gilgeous-Alexander,0,,,missed,,Jump Shot,23,226,-20,2.4,3.0,MISS Gilgeous-Alexander  3PT Jump Shot
"=""0041800141""",2019 Playoff,2019-04-13,Shai Gilgeous-Alexander,Danilo Gallinari,Ivica Zubac,Landry Shamet,Patrick Beverley,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,0,0,00:11:33,00:00:27,00:00:02,11,GSW,rebound,,,,,,,,,,Stephen Curry,,,,,,rebound defensive,,,,,,Curry REBOUND (Off:0 Def:1)
"=""0041800141""",2019 Playoff,2019-04-13,Shai Gilgeous-Alexander,Danilo Gallinari,Ivica Zubac,Landry Shamet,Patrick Beverley,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,0,0,00:11:22,00:00:38,00:00:11,12,GSW,miss,,,,,,,,,,DeMarcus Cousins,0,,,missed,,Turnaround Jump Shot,8,-72,29,17.8,86.1,MISS Cousins 8' Turnaround Jump Shot
"=""0041800141""",2019 Playoff,2019-04-13,Shai Gilgeous-Alexander,Danilo Gallinari,Ivica Zubac,Landry Shamet,Patrick Beverley,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,0,0,00:11:21,00:00:39,00:00:01,13,LAC,rebound,,,,,,,,,,Danilo Gallinari,,,,,,rebound defensive,,,,,,Gallinari REBOUND (Off:0 Def:1)
"=""0041800141""",2019 Playoff,2019-04-13,Shai Gilgeous-Alexander,Danilo Gallinari,Ivica Zubac,Landry Shamet,Patrick Beverley,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,3,0,00:11:09,00:00:51,00:00:12,14,LAC,shot,Patrick Beverley,,,,,,,,,Danilo Gallinari,3,,,made,,Jump Shot,30,158,250,9.2,30.0,Gallinari 30' 3PT Jump Shot (3 PTS) (Beverley 1 AST)
"=""0041800141""",2019 Playoff,2019-04-13,Shai Gilgeous-Alexander,Danilo Gallinari,Ivica Zubac,Landry Shamet,Patrick Beverley,Kevin Durant,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,3,2,00:10:45,00:01:15,00:00:24,16,GSW,shot,Stephen Curry,,,,,,,,,DeMarcus Cousins,2,,,made,,unknown,2,-1,21,24.9,86.9,Cousins 2' Cutting Dunk Shot (2 PTS) (Curry 1 AST)
