game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
0041800162,2019 Playoff,4/16/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,1,0,0,0:12:00,0:00:00,0:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
0041800162,2019 Playoff,4/16/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,1,0,0,0:12:00,0:00:00,0:00:00,4,OKC,jump ball,,Steven Adams,Enes Kanter,,,,,,,Enes Kanter,,Jerami Grant,,,,jump ball,,,,,,Jump Ball Kanter vs. Adams: Tip to Grant
0041800162,2019 Playoff,4/16/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,1,2,0,0:11:46,0:00:14,0:00:14,7,OKC,shot,Russell Westbrook,,,,,,,,,Steven Adams,2,,,made,,Turnaround Hook Shot,5,27,37,22.3,8.7,Adams 5' Turnaround Hook Shot (2 PTS) (Westbrook 1 AST)
0041800162,2019 Playoff,4/16/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,1,2,0,0:11:28,0:00:32,0:00:18,9,POR,miss,,,,,,,,,,Enes Kanter,0,,,missed,,Hook Shot,2,20,10,27,88,MISS Kanter 2' Hook Shot
0041800162,2019 Playoff,4/16/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,1,2,0,0:11:26,0:00:34,0:00:02,10,OKC,rebound,,,,,,,,,,Paul George,,,,,,rebound defensive,,,,,,George REBOUND (Off:0 Def:1)
0041800162,2019 Playoff,4/16/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,1,2,0,0:11:22,0:00:38,0:00:04,13,OKC,turnover,,,,,,,,,,Paul George,,,,,,unknown,,,,,,George Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
0041800162,2019 Playoff,4/16/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,1,2,0,0:11:09,0:00:51,0:00:13,14,POR,turnover,,,,,,,,,,CJ McCollum,,,,,,unknown,,,,,,McCollum Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
0041800162,2019 Playoff,4/16/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,1,2,0,0:11:01,0:00:59,0:00:08,15,OKC,foul,,,,,,,,Damian Lillard,,Steven Adams,,,off.foul,,,off.foul,,,,,,Adams OFF.Foul (P1) (S.Foster)
0041800162,2019 Playoff,4/16/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,1,2,0,0:11:01,0:00:59,0:00:00,17,OKC,turnover,,,,,,,,,,Steven Adams,,,offensive foul turnover,,,offensive foul turnover,,,,,,Adams Offensive Foul Turnover (P1.T2)
0041800162,2019 Playoff,4/16/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,1,2,0,0:10:45,0:01:15,0:00:16,18,POR,miss,,,,,,,,,,Maurice Harkless,0,,,missed,,Jump Shot,25,-185,168,6.5,72.2,MISS Harkless 25' 3PT Jump Shot
0041800162,2019 Playoff,4/16/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,1,2,0,0:10:43,0:01:17,0:00:02,19,OKC,rebound,,,,,,,,,,Terrance Ferguson,,,,,,rebound defensive,,,,,,Ferguson REBOUND (Off:0 Def:1)
0041800162,2019 Playoff,4/16/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,1,2,0,0:10:38,0:01:22,0:00:05,20,OKC,miss,,,,Maurice Harkless,,,,,,Paul George,0,,,missed,,Jump Shot,25,225,100,2.5,15,"MISS George 25' 3PT Jump Shot, Harkless BLOCK (1 BLK)"
0041800162,2019 Playoff,4/16/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,1,2,0,0:10:36,0:01:24,0:00:02,22,OKC,rebound,,,,,,,,,,Paul George,,,,,,rebound offensive,,,,,,George REBOUND (Off:1 Def:1)
0041800162,2019 Playoff,4/16/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,1,2,0,0:10:30,0:01:30,0:00:06,23,OKC,miss,,,,,,,,,,Jerami Grant,0,,,missed,,Jump Shot,23,228,40,2.2,9,MISS Grant  3PT Jump Shot
0041800162,2019 Playoff,4/16/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,1,2,0,0:10:27,0:01:33,0:00:03,24,POR,rebound,,,,,,,,,,Maurice Harkless,,,,,,rebound defensive,,,,,,Harkless REBOUND (Off:0 Def:1)
0041800162,2019 Playoff,4/16/2019,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,1,2,0,0:10:18,0:01:42,0:00:09,25,POR,miss,,,,,,,,,,Damian Lillard,0,,,missed,,Pullup Jump Shot,25,180,179,43,71.1,MISS Lillard 25' 3PT Pullup Jump Shot
