game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0041800102""",2019 Playoff,2019-04-17,Luke Kennard,Thon Maker,Andre Drummond,Wayne Ellington,Reggie Jackson,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Sterling Brown,Eric Bledsoe,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0041800102""",2019 Playoff,2019-04-17,Luke Kennard,Thon Maker,Andre Drummond,Wayne Ellington,Reggie Jackson,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Sterling Brown,Eric Bledsoe,1,0,0,00:12:00,00:00:00,00:00:00,4,DET,jump ball,,Andre Drummond,Brook Lopez,,,,,,,Brook Lopez,,Thon Maker,,,,jump ball,,,,,,Jump Ball Lopez vs. Drummond: Tip to Maker
"=""0041800102""",2019 Playoff,2019-04-17,Luke Kennard,Thon Maker,Andre Drummond,Wayne Ellington,Reggie Jackson,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Sterling Brown,Eric Bledsoe,1,3,0,00:11:42,00:00:18,00:00:18,7,DET,shot,Reggie Jackson,,,,,,,,,Luke Kennard,3,,,made,,Jump Shot,26,92,247,15.8,29.7,Kennard 26' 3PT Jump Shot (3 PTS) (Jackson 1 AST)
"=""0041800102""",2019 Playoff,2019-04-17,Luke Kennard,Thon Maker,Andre Drummond,Wayne Ellington,Reggie Jackson,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Sterling Brown,Eric Bledsoe,1,3,2,00:11:27,00:00:33,00:00:15,9,MIL,shot,Khris Middleton,,,,,,,,,Brook Lopez,2,,,made,,unknown,2,14,15,26.4,87.5,Lopez 2' Turnaround Fadeaway Bank Jump Shot (2 PTS) (Middleton 1 AST)
"=""0041800102""",2019 Playoff,2019-04-17,Luke Kennard,Thon Maker,Andre Drummond,Wayne Ellington,Reggie Jackson,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Sterling Brown,Eric Bledsoe,1,3,2,00:11:07,00:00:53,00:00:20,11,MIL,foul,,,,,,,,Reggie Jackson,,Eric Bledsoe,,,s.foul,,,s.foul,,,,,,Bledsoe S.FOUL (P1.T1) (R.Mott)
"=""0041800102""",2019 Playoff,2019-04-17,Luke Kennard,Thon Maker,Andre Drummond,Wayne Ellington,Reggie Jackson,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Sterling Brown,Eric Bledsoe,1,4,2,00:11:07,00:00:53,00:00:00,13,DET,free throw,,,,,,,1,,2,Reggie Jackson,1,,,made,,Free Throw 1 of 2,,,,,,Jackson Free Throw 1 of 2 (1 PTS)
"=""0041800102""",2019 Playoff,2019-04-17,Luke Kennard,Thon Maker,Andre Drummond,Wayne Ellington,Reggie Jackson,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Sterling Brown,Eric Bledsoe,1,4,2,00:11:07,00:00:53,00:00:00,14,DET,free throw,,,,,,,2,,2,Reggie Jackson,0,,,missed,,Free Throw 2 of 2,,,,,,MISS Jackson Free Throw 2 of 2
"=""0041800102""",2019 Playoff,2019-04-17,Luke Kennard,Thon Maker,Andre Drummond,Wayne Ellington,Reggie Jackson,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Sterling Brown,Eric Bledsoe,1,4,2,00:11:03,00:00:57,00:00:04,15,DET,rebound,,,,,,,,,,Thon Maker,,,,,,rebound offensive,,,,,,Maker REBOUND (Off:1 Def:0)
"=""0041800102""",2019 Playoff,2019-04-17,Luke Kennard,Thon Maker,Andre Drummond,Wayne Ellington,Reggie Jackson,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Sterling Brown,Eric Bledsoe,1,4,2,00:10:59,00:01:01,00:00:04,16,DET,miss,,,,,,,,,,Wayne Ellington,0,,,missed,,Jump Shot,29,-142,257,39.2,30.7,MISS Ellington 29' 3PT Jump Shot
"=""0041800102""",2019 Playoff,2019-04-17,Luke Kennard,Thon Maker,Andre Drummond,Wayne Ellington,Reggie Jackson,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Sterling Brown,Eric Bledsoe,1,4,2,00:10:56,00:01:04,00:00:03,17,MIL,rebound,,,,,,,,,,Giannis Antetokounmpo,,,,,,rebound defensive,,,,,,Antetokounmpo REBOUND (Off:0 Def:1)
"=""0041800102""",2019 Playoff,2019-04-17,Luke Kennard,Thon Maker,Andre Drummond,Wayne Ellington,Reggie Jackson,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Sterling Brown,Eric Bledsoe,1,4,2,00:10:47,00:01:13,00:00:09,18,MIL,miss,,,,,,,,,,Brook Lopez,0,,,missed,,Pullup Jump Shot,15,13,151,26.3,73.9,MISS Lopez 15' Pullup Jump Shot
