game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0041800134""",2019 Playoff,2019-04-21,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0041800134""",2019 Playoff,2019-04-21,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,0,0,00:12:00,00:00:00,00:00:00,4,IND,jump ball,,Aron Baynes,Myles Turner,,,,,,,Myles Turner,,Thaddeus Young,,,,jump ball,,,,,,Jump Ball Turner vs. Baynes: Tip to Young
"=""0041800134""",2019 Playoff,2019-04-21,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,0,0,00:11:44,00:00:16,00:00:16,7,IND,miss,,,,,,,,,,Thaddeus Young,0,,,missed,,Layup,5,41,26,29.1,86.4,MISS Young 5' Layup
"=""0041800134""",2019 Playoff,2019-04-21,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,0,0,00:11:42,00:00:18,00:00:02,8,BOS,rebound,,,,,,,,,,Jayson Tatum,,,,,,rebound defensive,,,,,,Tatum REBOUND (Off:0 Def:1)
"=""0041800134""",2019 Playoff,2019-04-21,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,0,0,00:11:27,00:00:33,00:00:15,9,IND,foul,,,,,,,,Kyrie Irving,,Darren Collison,,,s.foul,,,s.foul,,,,,,Collison S.FOUL (P1.T1) (J.Goble)
"=""0041800134""",2019 Playoff,2019-04-21,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,0,0,00:11:27,00:00:33,00:00:00,11,BOS,free throw,,,,,,,1,,2,Kyrie Irving,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Irving Free Throw 1 of 2
"=""0041800134""",2019 Playoff,2019-04-21,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,0,0,00:11:27,00:00:33,00:00:00,12,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,Celtics Rebound
"=""0041800134""",2019 Playoff,2019-04-21,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,1,0,00:11:27,00:00:33,00:00:00,13,BOS,free throw,,,,,,,2,,2,Kyrie Irving,1,,,made,,Free Throw 2 of 2,,,,,,Irving Free Throw 2 of 2 (1 PTS)
"=""0041800134""",2019 Playoff,2019-04-21,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,1,0,00:11:16,00:00:44,00:00:11,14,IND,miss,,,,,,,,,,Bojan Bogdanovic,0,,,missed,,unknown,14,126,64,37.6,82.6,MISS Bogdanovic 14' Step Back Bank Jump Shot
"=""0041800134""",2019 Playoff,2019-04-21,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,1,0,00:11:13,00:00:47,00:00:03,15,BOS,rebound,,,,,,,,,,Al Horford,,,,,,rebound defensive,,,,,,Horford REBOUND (Off:0 Def:1)
"=""0041800134""",2019 Playoff,2019-04-21,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,3,0,00:11:09,00:00:51,00:00:04,16,BOS,shot,,,,,,,,,,Jaylen Brown,2,,,made,,unknown,2,3,16,24.7,6.6,Brown 2' Driving Layup (2 PTS)
"=""0041800134""",2019 Playoff,2019-04-21,Jayson Tatum,Al Horford,Aron Baynes,Jaylen Brown,Kyrie Irving,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Wesley Matthews,Darren Collison,1,3,0,00:10:58,00:01:02,00:00:11,17,IND,foul,,,,,,,,Kyrie Irving,,Bojan Bogdanovic,,,offensive charge foul,,,offensive charge foul,,,,,,Bogdanovic Offensive Charge Foul (P1.T2) (J.Goble)
