game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0041800216""",2019 Playoff,2019-05-09,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0041800216""",2019 Playoff,2019-05-09,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:12:00,00:00:00,00:00:00,4,PHI,jump ball,,Marc Gasol,Joel Embiid,,,,,,,Joel Embiid,,Tobias Harris,,,,jump ball,,,,,,Jump Ball Embiid vs. Gasol: Tip to Harris
"=""0041800216""",2019 Playoff,2019-05-09,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:47,00:00:13,00:00:13,7,PHI,miss,,,,,,,,,,Tobias Harris,0,,,missed,,Jump Shot,26,-180,183,7.0,70.7,MISS Harris 26' 3PT Jump Shot
"=""0041800216""",2019 Playoff,2019-05-09,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:43,00:00:17,00:00:04,8,TOR,rebound,,,,,,,,,,Kyle Lowry,,,,,,rebound defensive,,,,,,Lowry REBOUND (Off:0 Def:1)
"=""0041800216""",2019 Playoff,2019-05-09,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:28,00:00:32,00:00:15,9,TOR,turnover,,,,,,,,,,Danny Green,,,,,,unknown,,,,,,Green Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0041800216""",2019 Playoff,2019-05-09,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:28,00:00:32,00:00:00,10,TOR,foul,,,,,,,,Tobias Harris,,Marc Gasol,,,l.b.foul,,,l.b.foul,,,,,,Gasol L.B.FOUL (P1.T1) (T.Washington)
"=""0041800216""",2019 Playoff,2019-05-09,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:19,00:00:41,00:00:09,12,PHI,miss,,,,,,,,,,JJ Redick,0,,,missed,,Pullup Jump Shot,26,-14,263,23.6,62.7,MISS Redick 26' 3PT Pullup Jump Shot
"=""0041800216""",2019 Playoff,2019-05-09,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:17,00:00:43,00:00:02,13,TOR,rebound,,,,,,,,,,Marc Gasol,,,,,,rebound defensive,,,,,,Gasol REBOUND (Off:0 Def:1)
"=""0041800216""",2019 Playoff,2019-05-09,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:07,00:00:53,00:00:10,14,TOR,miss,,,,,,,,,,Pascal Siakam,0,,,missed,,Driving Finger Roll Layup,2,-14,10,26.4,6.0,MISS Siakam 2' Driving Finger Roll Layup
"=""0041800216""",2019 Playoff,2019-05-09,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:05,00:00:55,00:00:02,15,PHI,rebound,,,,,,,,,,Tobias Harris,,,,,,rebound defensive,,,,,,Harris REBOUND (Off:0 Def:1)
"=""0041800216""",2019 Playoff,2019-05-09,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Jimmy Butler,Tobias Harris,Joel Embiid,JJ Redick,Ben Simmons,1,0,0,00:11:03,00:00:57,00:00:02,43,PHI,miss,,,,Marc Gasol,,,,,,Ben Simmons,0,,,missed,,unknown,2,5,15,25.5,87.5,"Gasol BLOCK (1 BLK), MISS Simmons 2' Driving Layup"
