game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0041800236""",2019 Playoff,2019-05-09,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0041800236""",2019 Playoff,2019-05-09,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,1,0,0,00:12:00,00:00:00,00:00:00,4,POR,jump ball,,Paul Millsap,Enes Kanter,,,,,,,Enes Kanter,,Maurice Harkless,,,,jump ball,,,,,,Jump Ball Kanter vs. Millsap: Tip to Harkless
"=""0041800236""",2019 Playoff,2019-05-09,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,1,0,0,00:11:37,00:00:23,00:00:23,7,POR,miss,,,,,,,,,,Maurice Harkless,0,,,missed,,unknown,2,-12,17,23.8,87.3,MISS Harkless 2' Driving Layup
"=""0041800236""",2019 Playoff,2019-05-09,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,1,0,0,00:11:34,00:00:26,00:00:03,8,DEN,rebound,,,,,,,,,,Gary Harris,,,,,,rebound defensive,,,,,,Harris REBOUND (Off:0 Def:1)
"=""0041800236""",2019 Playoff,2019-05-09,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,1,0,0,00:11:19,00:00:41,00:00:15,9,DEN,turnover,,,,,,,,,,Nikola Jokic,,,bad pass ,,Maurice Harkless,bad pass ,,,,,,"Jokic Bad Pass Turnover (P1.T1), Harkless STEAL (1 STL)"
"=""0041800236""",2019 Playoff,2019-05-09,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,1,0,2,00:11:16,00:00:44,00:00:03,11,POR,shot,Al-Farouq Aminu,,,,,,,,,Maurice Harkless,2,,,made,,unknown,1,-2,5,24.8,88.5,Harkless 1' Cutting Dunk Shot (2 PTS) (Aminu 1 AST)
"=""0041800236""",2019 Playoff,2019-05-09,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,1,2,2,00:10:57,00:01:03,00:00:19,13,DEN,shot,Nikola Jokic,,,,,,,,,Torrey Craig,2,,,made,,Layup,1,-3,5,25.3,5.5,Craig 1' Layup (2 PTS) (Jokic 1 AST)
"=""0041800236""",2019 Playoff,2019-05-09,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,1,2,2,00:10:42,00:01:18,00:00:15,15,POR,miss,,,,Paul Millsap,,,,,,Al-Farouq Aminu,0,,,missed,,unknown,6,3,62,25.3,82.8,"Millsap BLOCK (1 BLK), MISS Aminu 6' Driving Floating Jump Shot"
"=""0041800236""",2019 Playoff,2019-05-09,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,1,2,2,00:10:40,00:01:20,00:00:02,17,POR,rebound,,,,,,,,,,Al-Farouq Aminu,,,,,,rebound offensive,,,,,,Aminu REBOUND (Off:1 Def:0)
"=""0041800236""",2019 Playoff,2019-05-09,Torrey Craig,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Maurice Harkless,Al-Farouq Aminu,Enes Kanter,CJ McCollum,Damian Lillard,1,2,2,00:10:35,00:01:25,00:00:05,18,POR,turnover,,,,,,,,,,Enes Kanter,,,,,,unknown,,,,,,Kanter Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
