game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0041800311""",2019 Playoff,2019-05-14,Al-Farouq Aminu,Maurice Harkless,Enes Kanter,CJ McCollum,Damian Lillard,Andre Iguodala,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0041800311""",2019 Playoff,2019-05-14,Al-Farouq Aminu,Maurice Harkless,Enes Kanter,CJ McCollum,Damian Lillard,Andre Iguodala,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,4,GSW,jump ball,,Enes Kanter,Andrew Bogut,,,,,,,Andrew Bogut,,Draymond Green,,,,jump ball,,,,,,Jump Ball Bogut vs. Kanter: Tip to Green
"=""0041800311""",2019 Playoff,2019-05-14,Al-Farouq Aminu,Maurice Harkless,Enes Kanter,CJ McCollum,Damian Lillard,Andre Iguodala,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,0,00:11:46,00:00:14,00:00:14,7,GSW,miss,,,,,,,,,,Stephen Curry,0,,,missed,,Pullup Jump Shot,26,8,264,25.8,62.6,MISS Curry 26' 3PT Pullup Jump Shot
"=""0041800311""",2019 Playoff,2019-05-14,Al-Farouq Aminu,Maurice Harkless,Enes Kanter,CJ McCollum,Damian Lillard,Andre Iguodala,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,0,00:11:44,00:00:16,00:00:02,8,POR,rebound,,,,,,,,,,Enes Kanter,,,,,,rebound defensive,,,,,,Kanter REBOUND (Off:0 Def:1)
"=""0041800311""",2019 Playoff,2019-05-14,Al-Farouq Aminu,Maurice Harkless,Enes Kanter,CJ McCollum,Damian Lillard,Andre Iguodala,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,0,00:11:31,00:00:29,00:00:13,9,POR,miss,,,,,,,,,,CJ McCollum,0,,,missed,,unknown,12,117,44,13.3,9.4,MISS McCollum 13' Driving Floating Jump Shot
"=""0041800311""",2019 Playoff,2019-05-14,Al-Farouq Aminu,Maurice Harkless,Enes Kanter,CJ McCollum,Damian Lillard,Andre Iguodala,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,0,00:11:30,00:00:30,00:00:01,10,POR,rebound,,,,,,,,,,Enes Kanter,,,,,,rebound offensive,,,,,,Kanter REBOUND (Off:1 Def:1)
"=""0041800311""",2019 Playoff,2019-05-14,Al-Farouq Aminu,Maurice Harkless,Enes Kanter,CJ McCollum,Damian Lillard,Andre Iguodala,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,0,00:11:28,00:00:32,00:00:02,11,POR,miss,,,,,,,,,,Enes Kanter,0,,,missed,,Putback Layup,4,2,42,24.8,9.2,MISS Kanter 4' Putback Layup
"=""0041800311""",2019 Playoff,2019-05-14,Al-Farouq Aminu,Maurice Harkless,Enes Kanter,CJ McCollum,Damian Lillard,Andre Iguodala,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,1,0,0,00:11:27,00:00:33,00:00:01,12,POR,rebound,,,,,,,,,,Al-Farouq Aminu,,,,,,rebound offensive,,,,,,Aminu REBOUND (Off:1 Def:0)
"=""0041800311""",2019 Playoff,2019-05-14,Al-Farouq Aminu,Maurice Harkless,Enes Kanter,CJ McCollum,Damian Lillard,Andre Iguodala,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,1,2,0,00:11:25,00:00:35,00:00:02,13,POR,shot,Al-Farouq Aminu,,,,,,,,,CJ McCollum,2,,,made,,Layup,4,25,36,22.5,8.6,McCollum 4' Layup (2 PTS) (Aminu 1 AST)
"=""0041800311""",2019 Playoff,2019-05-14,Al-Farouq Aminu,Maurice Harkless,Enes Kanter,CJ McCollum,Damian Lillard,Andre Iguodala,Draymond Green,Andrew Bogut,Klay Thompson,Stephen Curry,1,2,0,00:11:12,00:00:48,00:00:13,15,GSW,turnover,,,,,,,,,,Andrew Bogut,,,lost ball ,,Enes Kanter,lost ball ,,,,,,"Kanter STEAL (1 STL), Bogut Lost Ball Turnover (P1.T1)"
