game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0041800305""",2019 Playoff,2019-05-23,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0041800305""",2019 Playoff,2019-05-23,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:12:00,00:00:00,00:00:00,4,MIL,jump ball,,Marc Gasol,Brook Lopez,,,,,,,Brook Lopez,,Giannis Antetokounmpo,,,,jump ball,,,,,,Jump Ball Lopez vs. Gasol: Tip to Antetokounmpo
"=""0041800305""",2019 Playoff,2019-05-23,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:11:45,00:00:15,00:00:15,7,TOR,foul,,,,,,,,Giannis Antetokounmpo,,Kawhi Leonard,,,s.foul,,,s.foul,,,,,,Leonard S.FOUL (P1.T1) (P.Fraher)
"=""0041800305""",2019 Playoff,2019-05-23,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:11:45,00:00:15,00:00:00,9,MIL,free throw,,,,,,,1,,2,Giannis Antetokounmpo,0,,,missed,,Free Throw 1 of 2,,,,,,MISS Antetokounmpo Free Throw 1 of 2
"=""0041800305""",2019 Playoff,2019-05-23,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:11:45,00:00:15,00:00:00,10,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,BUCKS Rebound
"=""0041800305""",2019 Playoff,2019-05-23,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:11:45,00:00:15,00:00:00,11,MIL,free throw,,,,,,,2,,2,Giannis Antetokounmpo,0,,,missed,,Free Throw 2 of 2,,,,,,MISS Antetokounmpo Free Throw 2 of 2
"=""0041800305""",2019 Playoff,2019-05-23,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:11:41,00:00:19,00:00:04,12,MIL,rebound,,,,,,,,,,Khris Middleton,,,,,,rebound offensive,,,,,,Middleton REBOUND (Off:1 Def:0)
"=""0041800305""",2019 Playoff,2019-05-23,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:11:40,00:00:20,00:00:01,13,MIL,miss,,,,,,,,,,Khris Middleton,0,,,missed,,Floating Jump Shot,15,-145,-8,10.5,89.8,MISS Middleton 15' Floating Jump Shot
"=""0041800305""",2019 Playoff,2019-05-23,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:11:37,00:00:23,00:00:03,14,TOR,rebound,,,,,,,,,,Marc Gasol,,,,,,rebound defensive,,,,,,Gasol REBOUND (Off:0 Def:1)
"=""0041800305""",2019 Playoff,2019-05-23,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:11:26,00:00:34,00:00:11,15,TOR,miss,,,,,,,,,,Danny Green,0,,,missed,,Jump Shot,23,-230,17,48.0,6.7,MISS Green  3PT Jump Shot
"=""0041800305""",2019 Playoff,2019-05-23,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,0,00:11:23,00:00:37,00:00:03,16,MIL,rebound,,,,,,,,,,Khris Middleton,,,,,,rebound defensive,,,,,,Middleton REBOUND (Off:1 Def:1)
"=""0041800305""",2019 Playoff,2019-05-23,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,2,00:11:19,00:00:41,00:00:04,17,MIL,shot,Khris Middleton,,,,,,,,,Eric Bledsoe,2,,,made,,Running Jump Shot,16,-110,111,14.0,77.9,Bledsoe 16' Running Jump Shot (2 PTS) (Middleton 1 AST)
"=""0041800305""",2019 Playoff,2019-05-23,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,2,00:11:03,00:00:57,00:00:16,18,TOR,turnover,,,,,,,,,,Marc Gasol,,,bad pass ,,Brook Lopez,bad pass ,,,,,,"Gasol Bad Pass Turnover (P1.T1), Lopez STEAL (1 STL)"
"=""0041800305""",2019 Playoff,2019-05-23,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,0,5,00:10:57,00:01:03,00:00:06,20,MIL,shot,Giannis Antetokounmpo,,,,,,,,,Malcolm Brogdon,3,,,made,,Jump Shot,25,-246,16,0.4,87.4,Brogdon 25' 3PT Jump Shot (3 PTS) (Antetokounmpo 1 AST)
"=""0041800305""",2019 Playoff,2019-05-23,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,3,5,00:10:41,00:01:19,00:00:16,22,TOR,shot,,,,,,,,,,Kawhi Leonard,3,,,made,,Pullup Jump Shot,27,-76,255,32.6,30.5,Leonard 27' 3PT Pullup Jump Shot (3 PTS)
"=""0041800305""",2019 Playoff,2019-05-23,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,3,5,00:10:29,00:01:31,00:00:12,23,TOR,foul,,,,,,,,Eric Bledsoe,,Pascal Siakam,,,s.foul,,,s.foul,,,,,,Siakam S.FOUL (P1.T2) (T.Brothers)
"=""0041800305""",2019 Playoff,2019-05-23,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,3,6,00:10:29,00:01:31,00:00:00,25,MIL,free throw,,,,,,,1,,2,Eric Bledsoe,1,,,made,,Free Throw 1 of 2,,,,,,Bledsoe Free Throw 1 of 2 (3 PTS)
"=""0041800305""",2019 Playoff,2019-05-23,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,3,7,00:10:29,00:01:31,00:00:00,26,MIL,free throw,,,,,,,2,,2,Eric Bledsoe,1,,,made,,Free Throw 2 of 2,,,,,,Bledsoe Free Throw 2 of 2 (4 PTS)
"=""0041800305""",2019 Playoff,2019-05-23,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,3,7,00:10:25,00:01:35,00:00:04,27,TOR,foul,,,,,,,,Brook Lopez,,Pascal Siakam,,,off.foul,,,off.foul,,,,,,Siakam OFF.Foul (P2) (T.Brothers)
"=""0041800305""",2019 Playoff,2019-05-23,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,3,7,00:10:25,00:01:35,00:00:00,29,TOR,turnover,,,,,,,,,,Pascal Siakam,,,offensive foul turnover,,,offensive foul turnover,,,,,,Siakam Offensive Foul Turnover (P1.T2)
"=""0041800305""",2019 Playoff,2019-05-23,Kawhi Leonard,Marc Gasol,Danny Green,Kyle Lowry,Norman Powell,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,3,7,00:10:25,00:01:35,00:00:00,30,TOR,sub,,,,,Norman Powell,Pascal Siakam,,,,Pascal Siakam,,,,,,sub,,,,,,SUB: Powell FOR Siakam
"=""0041800305""",2019 Playoff,2019-05-23,Kawhi Leonard,Marc Gasol,Danny Green,Kyle Lowry,Norman Powell,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,3,7,00:10:14,00:01:46,00:00:11,32,MIL,miss,,,,,,,,,,Giannis Antetokounmpo,0,,,missed,,Driving Finger Roll Layup,2,-3,18,24.7,87.2,MISS Antetokounmpo 2' Driving Finger Roll Layup
"=""0041800305""",2019 Playoff,2019-05-23,Kawhi Leonard,Marc Gasol,Danny Green,Kyle Lowry,Norman Powell,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,3,7,00:10:12,00:01:48,00:00:02,33,TOR,rebound,,,,,,,,,,Kawhi Leonard,,,,,,rebound defensive,,,,,,Leonard REBOUND (Off:0 Def:1)
"=""0041800305""",2019 Playoff,2019-05-23,Kawhi Leonard,Marc Gasol,Danny Green,Kyle Lowry,Norman Powell,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,3,7,00:10:06,00:01:54,00:00:06,34,TOR,miss,,,,,,,,,,Kyle Lowry,0,,,missed,,Jump Shot,23,-226,17,47.6,6.7,MISS Lowry  3PT Jump Shot
"=""0041800305""",2019 Playoff,2019-05-23,Kawhi Leonard,Marc Gasol,Danny Green,Kyle Lowry,Norman Powell,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,3,7,00:10:02,00:01:58,00:00:04,35,MIL,rebound,,,,,,,,,,Malcolm Brogdon,,,,,,rebound defensive,,,,,,Brogdon REBOUND (Off:0 Def:1)
"=""0041800305""",2019 Playoff,2019-05-23,Kawhi Leonard,Marc Gasol,Danny Green,Kyle Lowry,Norman Powell,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,3,7,00:09:59,00:02:01,00:00:03,36,MIL,turnover,,,,,,,,,,Eric Bledsoe,,,bad pass ,,Kyle Lowry,bad pass ,,,,,,"Lowry STEAL (1 STL), Bledsoe Bad Pass Turnover (P1.T1)"
"=""0041800305""",2019 Playoff,2019-05-23,Kawhi Leonard,Marc Gasol,Danny Green,Kyle Lowry,Norman Powell,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,3,7,00:09:52,00:02:08,00:00:07,38,TOR,miss,,,,,,,,,,Kyle Lowry,0,,,missed,,Jump Shot,28,127,246,12.3,29.6,MISS Lowry 28' 3PT Jump Shot
"=""0041800305""",2019 Playoff,2019-05-23,Kawhi Leonard,Marc Gasol,Danny Green,Kyle Lowry,Norman Powell,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,1,3,7,00:09:47,00:02:13,00:00:05,39,MIL,rebound,,,,,,,,,,Malcolm Brogdon,,,,,,rebound defensive,,,,,,Brogdon REBOUND (Off:0 Def:2)
