game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0041800306""",2019 Playoff,2019-05-25,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0041800306""",2019 Playoff,2019-05-25,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,1,0,0,00:12:00,00:00:00,00:00:00,4,TOR,jump ball,,Brook Lopez,Marc Gasol,,,,,,,Marc Gasol,,Kyle Lowry,,,,jump ball,,,,,,Jump Ball Gasol vs. Lopez: Tip to Lowry
"=""0041800306""",2019 Playoff,2019-05-25,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,1,0,2,00:11:38,00:00:22,00:00:22,7,TOR,shot,Danny Green,,,,,,,,,Kyle Lowry,2,,,made,,unknown,14,23,142,27.3,74.8,Lowry 14' Driving Floating Jump Shot (2 PTS) (Green 1 AST)
"=""0041800306""",2019 Playoff,2019-05-25,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,1,3,2,00:11:22,00:00:38,00:00:16,9,MIL,shot,Eric Bledsoe,,,,,,,,,Khris Middleton,3,,,made,,Jump Shot,26,200,173,5.0,22.3,Middleton 26' 3PT Jump Shot (3 PTS) (Bledsoe 1 AST)
"=""0041800306""",2019 Playoff,2019-05-25,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,1,3,2,00:10:58,00:01:02,00:00:24,11,MIL,violation,,,,,,,,,,Khris Middleton,,,,,,violation:kicked ball,,,,,,Middleton Violation:Kicked Ball (E.Lewis)
"=""0041800306""",2019 Playoff,2019-05-25,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,1,3,4,00:10:45,00:01:15,00:00:13,12,TOR,shot,,,,,,,,,,Pascal Siakam,2,,,made,,Driving Hook Shot,4,11,36,26.1,85.4,Siakam 4' Driving Hook Shot (2 PTS)
"=""0041800306""",2019 Playoff,2019-05-25,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,1,3,4,00:10:28,00:01:32,00:00:17,14,MIL,turnover,,,,,,,,,,Eric Bledsoe,,,lost ball ,,Danny Green,lost ball ,,,,,,"Bledsoe Lost Ball Turnover (P1.T1), Green STEAL (1 STL)"
"=""0041800306""",2019 Playoff,2019-05-25,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,1,3,4,00:10:20,00:01:40,00:00:08,16,TOR,miss,,,,,,,,,,Danny Green,0,,,missed,,Jump Shot,23,232,0,48.2,89.0,MISS Green  3PT Jump Shot
"=""0041800306""",2019 Playoff,2019-05-25,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,1,3,4,00:10:16,00:01:44,00:00:04,17,MIL,rebound,,,,,,,,,,Brook Lopez,,,,,,rebound defensive,,,,,,Lopez REBOUND (Off:0 Def:1)
"=""0041800306""",2019 Playoff,2019-05-25,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,1,3,4,00:10:08,00:01:52,00:00:08,18,MIL,miss,,,,,,,,,,Eric Bledsoe,0,,,missed,,Driving Bank Hook Shot,3,15,22,23.5,7.2,MISS Bledsoe 3' Driving Bank Hook Shot
"=""0041800306""",2019 Playoff,2019-05-25,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,1,3,4,00:10:04,00:01:56,00:00:04,19,MIL,rebound,,,,,,,,,,Giannis Antetokounmpo,,,,,,rebound offensive,,,,,,Antetokounmpo REBOUND (Off:1 Def:0)
"=""0041800306""",2019 Playoff,2019-05-25,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,1,3,4,00:10:04,00:01:56,00:00:00,20,MIL,miss,,,,,,,,,,Giannis Antetokounmpo,0,,,missed,,unknown,1,0,-6,25.0,4.4,MISS Antetokounmpo 1' Tip Dunk Shot
"=""0041800306""",2019 Playoff,2019-05-25,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,1,3,4,00:10:03,00:01:57,00:00:01,21,TOR,rebound,,,,,,,,,,Marc Gasol,,,,,,rebound defensive,,,,,,Gasol REBOUND (Off:0 Def:1)
"=""0041800306""",2019 Playoff,2019-05-25,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,1,3,6,00:09:55,00:02:05,00:00:08,22,TOR,shot,,,,,,,,,,Kawhi Leonard,2,,,made,,Step Back Jump Shot,12,-116,24,13.4,86.6,Leonard 12' Step Back Jump Shot (2 PTS)
"=""0041800306""",2019 Playoff,2019-05-25,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,1,3,6,00:09:39,00:02:21,00:00:16,23,MIL,miss,,,,,,,,,,Giannis Antetokounmpo,0,,,missed,,Jump Shot,23,228,41,2.2,9.1,MISS Antetokounmpo  3PT Jump Shot
"=""0041800306""",2019 Playoff,2019-05-25,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,1,3,6,00:09:38,00:02:22,00:00:01,24,TOR,rebound,,,,,,,,,,Kawhi Leonard,,,,,,rebound defensive,,,,,,Leonard REBOUND (Off:0 Def:1)
"=""0041800306""",2019 Playoff,2019-05-25,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,1,3,6,00:09:30,00:02:30,00:00:08,25,TOR,turnover,,,,,,,,,,Kawhi Leonard,,,,,,unknown,,,,,,Leonard Out of Bounds - Bad Pass Turnover Turnover (P1.T1)
"=""0041800306""",2019 Playoff,2019-05-25,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,1,6,6,00:09:15,00:02:45,00:00:15,26,MIL,shot,Giannis Antetokounmpo,,,,,,,,,Malcolm Brogdon,3,,,made,,Jump Shot,26,-182,186,43.2,23.6,Brogdon 26' 3PT Jump Shot (3 PTS) (Antetokounmpo 1 AST)
"=""0041800306""",2019 Playoff,2019-05-25,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,1,6,6,00:08:59,00:03:01,00:00:16,28,TOR,miss,,,,,,,,,,Kawhi Leonard,0,,,missed,,Turnaround Fadeaway ,14,138,19,38.8,87.1,MISS Leonard 14' Turnaround Fadeaway Shot
"=""0041800306""",2019 Playoff,2019-05-25,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,1,6,6,00:08:57,00:03:03,00:00:02,29,MIL,rebound,,,,,,,,,,Khris Middleton,,,,,,rebound defensive,,,,,,Middleton REBOUND (Off:0 Def:1)
"=""0041800306""",2019 Playoff,2019-05-25,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,1,9,6,00:08:47,00:03:13,00:00:10,31,MIL,shot,,,,,,,,,,Khris Middleton,3,,,made,,Pullup Jump Shot,27,-27,273,27.7,32.3,Middleton 27' 3PT Pullup Jump Shot (6 PTS)
"=""0041800306""",2019 Playoff,2019-05-25,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,1,9,6,00:08:29,00:03:31,00:00:18,32,TOR,miss,,,,,,,,,,Kyle Lowry,0,,,missed,,Step Back Jump Shot,19,-64,183,18.6,70.7,MISS Lowry 19' Step Back Jump Shot
"=""0041800306""",2019 Playoff,2019-05-25,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,1,9,6,00:08:27,00:03:33,00:00:02,33,MIL,rebound,,,,,,,,,,Giannis Antetokounmpo,,,,,,rebound defensive,,,,,,Antetokounmpo REBOUND (Off:1 Def:1)
"=""0041800306""",2019 Playoff,2019-05-25,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,1,9,6,00:08:19,00:03:41,00:00:08,34,MIL,turnover,,,,,,,,,,Giannis Antetokounmpo,,,bad pass ,,Danny Green,bad pass ,,,,,,"Antetokounmpo Bad Pass Turnover (P1.T2), Green STEAL (2 STL)"
"=""0041800306""",2019 Playoff,2019-05-25,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,1,9,6,00:08:12,00:03:48,00:00:07,36,TOR,turnover,,,,,,,,,,Kawhi Leonard,,,lost ball ,,Giannis Antetokounmpo,lost ball ,,,,,,"Antetokounmpo STEAL (1 STL), Leonard Lost Ball Turnover (P2.T2)"
"=""0041800306""",2019 Playoff,2019-05-25,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,1,9,6,00:08:06,00:03:54,00:00:06,38,MIL,turnover,,,,,,,,,,Malcolm Brogdon,,,bad pass ,,Kawhi Leonard,bad pass ,,,,,,"Brogdon Bad Pass Turnover (P1.T3), Leonard STEAL (1 STL)"
"=""0041800306""",2019 Playoff,2019-05-25,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,1,9,6,00:07:53,00:04:07,00:00:13,40,TOR,miss,,,,,,,,,,Danny Green,0,,,missed,,Jump Shot,24,242,19,49.2,87.1,MISS Green 24' 3PT Jump Shot
"=""0041800306""",2019 Playoff,2019-05-25,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,1,9,6,00:07:51,00:04:09,00:00:02,41,MIL,rebound,,,,,,,,,,Eric Bledsoe,,,,,,rebound defensive,,,,,,Bledsoe REBOUND (Off:0 Def:1)
"=""0041800306""",2019 Playoff,2019-05-25,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,1,9,6,00:07:44,00:04:16,00:00:07,42,,timeout,,,,,,,,,,,,,,,, timeout: regular,,,,,,Bucks Timeout: Regular (Reg.1 Short 0)
