game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0041800404""",2019 Playoff,2019-06-07,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Andre Iguodala,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,2,,start of period,,,,,,,,,,,,,,,,start of period,,,,,,
"=""0041800404""",2019 Playoff,2019-06-07,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Andre Iguodala,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,0,0,00:12:00,00:00:00,00:00:00,4,TOR,jump ball,,Marc Gasol,DeMarcus Cousins,,,,,,,DeMarcus Cousins,,Kawhi Leonard,,,,jump ball,,,,,,Jump Ball Cousins vs. Gasol: Tip to Leonard
"=""0041800404""",2019 Playoff,2019-06-07,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Andre Iguodala,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,0,0,00:11:37,00:00:23,00:00:23,7,TOR,miss,,,,,,,,,,Danny Green,0,,,missed,,Jump Bank Shot,13,-103,80,35.3,13.0,MISS Green 13' Jump Bank Shot
"=""0041800404""",2019 Playoff,2019-06-07,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Andre Iguodala,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,0,0,00:11:36,00:00:24,00:00:01,8,GSW,rebound,,,,,,,,,,Andre Iguodala,,,,,,rebound defensive,,,,,,Iguodala REBOUND (Off:0 Def:1)
"=""0041800404""",2019 Playoff,2019-06-07,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Andre Iguodala,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,0,0,00:11:10,00:00:50,00:00:26,9,GSW,turnover,,,,,,,,,,DeMarcus Cousins,,,bad pass ,,Kawhi Leonard,bad pass ,,,,,,"Leonard STEAL (1 STL), Cousins Bad Pass Turnover (P1.T1)"
"=""0041800404""",2019 Playoff,2019-06-07,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Andre Iguodala,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,0,0,00:11:03,00:00:57,00:00:07,11,TOR,turnover,,,,,,,,,,Danny Green,,,lost ball ,,Andre Iguodala,lost ball ,,,,,,"Green Lost Ball Turnover (P1.T1), Iguodala STEAL (1 STL)"
"=""0041800404""",2019 Playoff,2019-06-07,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Andre Iguodala,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,0,0,00:10:57,00:01:03,00:00:06,13,GSW,turnover,,,,,,,,,,DeMarcus Cousins,,,lost ball ,,Danny Green,lost ball ,,,,,,"Green STEAL (1 STL), Cousins Lost Ball Turnover (P2.T2)"
"=""0041800404""",2019 Playoff,2019-06-07,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Andre Iguodala,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,0,0,00:10:53,00:01:07,00:00:04,15,TOR,miss,,,,,,,,,,Danny Green,0,,,missed,,Jump Shot,27,-192,191,44.2,24.1,MISS Green 27' 3PT Jump Shot
"=""0041800404""",2019 Playoff,2019-06-07,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Andre Iguodala,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,0,0,00:10:51,00:01:09,00:00:02,16,GSW,rebound,,,,,,,,,,Draymond Green,,,,,,rebound defensive,,,,,,Green REBOUND (Off:0 Def:1)
"=""0041800404""",2019 Playoff,2019-06-07,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Andre Iguodala,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,0,0,00:10:43,00:01:17,00:00:08,17,GSW,miss,,,,,,,,,,Draymond Green,0,,,missed,,Jump Shot,6,2,55,25.2,83.5,MISS Green 6' Jump Shot
"=""0041800404""",2019 Playoff,2019-06-07,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Andre Iguodala,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,0,0,00:10:43,00:01:17,00:00:00,19,,rebound,,,,,,,,,,,,,,,,team rebound,,,,,,WARRIORS Rebound
"=""0041800404""",2019 Playoff,2019-06-07,Kawhi Leonard,Pascal Siakam,Marc Gasol,Danny Green,Kyle Lowry,Andre Iguodala,Draymond Green,DeMarcus Cousins,Klay Thompson,Stephen Curry,1,0,0,00:10:43,00:01:17,00:00:00,21,GSW,miss,,,,,,,,,,Stephen Curry,0,,,missed,,Jump Shot,30,115,272,36.5,61.8,MISS Curry 30' 3PT Jump Shot
